,id,timestamp_est,anonymous_id,language,question,detected_lang,cluster,tags
0,0,2020-03-18 17:57:10,7302144e-abbe-4fa4-aaf1-cf5eb674a862,en,What is Dialogue's position on sick notes?,en,unclassified,
1,1,2020-03-19 11:16:11,5a65a4bd-05aa-4ca8-b6da-5f807bde3294,en,What are Dialogue services?,en,unclassified,
2,2,2020-03-19 14:17:16,6d60c897-dd96-483d-b528-b65fcae4c1b0,en,Should I practice social distancing?,en,personal-isolation,
3,4,2020-03-19 14:16:05,f264fd4b-de03-4dc0-8531-fa9d0a1b0633,en,I'd love to know how long I can be contagious?,en,unclassified,
4,7,2020-03-19 13:40:45,f75ca552-9cf8-4f52-8151-25c0cea0a8b0,en,Get I get infected from a dog?,en,covid-animals,
5,8,2020-03-19 23:02:18,58cd9504-720d-44cd-89a2-4cc83cde7b90,en,Someone from quarantaine came to my office and stayed 20min. Is it a risk,en,covid-contagious,
6,9,2020-03-19 14:20:01,8939cba6-f923-44fe-9cf4-8a56e198778b,en,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",en,personal-caution,
7,10,2020-03-19 14:10:38,cb2c4687-5420-4370-a4fe-776ee5d10fc4,en,can I go outside,en,situation-lockdown,
8,13,2020-03-19 14:08:52,04fd4b84-3015-492f-aa37-eacf6e432a70,en,If you start showing flu symptoms should you consult a doctor or stay home?,en,personal-whatif,
9,15,2020-03-19 14:40:43,4c2c5c1b-2327-45d5-8c63-901cac28ea30,en,Can I go for a run? Does running/exercise compromise my immune system?,en,situation-lockdown,
10,16,2020-03-19 14:17:16,6d60c897-dd96-483d-b528-b65fcae4c1b0,en,If I think I have symptoms of COVID19 should I go to the emergency room?,en,personal-symptoms,
11,18,2020-03-19 14:06:18,f75ca552-9cf8-4f52-8151-25c0cea0a8b0,en,"I had an asthma attack when I was young, but didn't have an episode for over 15 years. Am I still at risk?",en,covid-contagious,
12,19,2020-03-19 17:59:25,ce80a1dc-7cbd-4922-8b00-b491a17da62e,en,mental health,en,unclassified,
13,27,2020-03-20 10:45:23,0e7ed3f5-c36e-4d36-a831-23abbb3f10f9,en,What are the symptoms? Is vomiting one of them ?,en,covid-symptoms,
14,31,2020-03-20 17:02:53,a061e1ea-7076-45c7-b063-fe37c9207e8f,en,is covid-19 dangerous,en,covid-contagious,
