_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question_,answers,questions,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question__gold
2721199630,finalized,3,4/20/2020 22:12:18,"How do I know what a Health emergency is?
What does this global health emergency mean?
What is an emergency or health emergency?","A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721199631,finalized,3,4/20/2020 21:16:50,"Does the Quebec government declare a health emergency demonstrate commitment to its citizens?
How many times before has Quebec declared a health emergency?
The Quebec government took action on this global emergency?","Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721199632,finalized,3,4/20/2020 21:54:01,"How to know when the COVID-19 pandemic has reached its peak?
How to know that a pandemic reaches its worst point
¿when the pandemic reaches its peak?","A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721199633,finalized,3,4/20/2020 21:39:16,"Where can I receive information about this?
Which are the reliable sources to inform me?
Where could I get information about the pandemic situation?","For up-to-date information, consult the Government of Quebec’s official website often https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/ .
 Listen to the radio or watch television and read newspapers. The Ministère de la Santé et des Services sociaux will be providing health guidelines for the public to follow and information about where to get treatment.
 Always follow government advisories and instructions. Advisories and instructions may change as the situation unfolds.
 To learn how to recognize a credible source of information, go to the page https://www.quebec.ca/en/health/advice-and-prevention/accidents-injuries-and-diseases-prevention/how-to-recognize-a-reliable-source-of-information-on-health/ .
 ",Where can I get information about the situation?,
2721199634,finalized,3,4/20/2020 20:15:49,"Can pregnant women who are giving birth be accompanied by a family member?
Is it necessary for a woman about to give birth to be accompanied by a loved one?
Can the husband/coach of a pregnant woman accompany her to the hospital?","At present, pregnant women can be accompanied by a loved one when giving birth in Québec hospitals. However, hospitals may adopt certain specific measures, as is the case at the Montreal Jewish General Hospital. To obtain additional information in this regard, pregnant women can contact their hospital.
 ",Can pregnant women who are giving birth be accompanied by a loved one?,
2721199635,finalized,3,4/20/2020 20:49:50,"What are the steps I should take if I am returning from a trip?
What should I do if I have a cold system and difficulty breathing
If I am traveling, should I isolate myself when I return?","Anyone returning from a stay outside Canada must self-isolate for 14 days. Such isolation covers both travellers who are sick or display symptoms and those who do not have symptoms and are in perfect health.
 Individuals in self-isolation must stay at home, monitor their symptoms and call tel:+1-877-644-4545 if they have a cough, https://www.quebec.ca/en/health/health-issues/a-z/general-information-about-coronavirus/#c46539 , difficulty breathing or sudden loss of sense of smell and taste without nasal congestion. These people must not go outside at all, even to go for a walk. Certain practices are also recommended if they live with other people who have not travelled. To obtain additional information on the procedures to follow, please https://www.quebec.ca/en/health/health-issues/a-z/general-information-about-coronavirus/#c53183 .
 ",I am returning from a trip. What do I have to do?,
2721199636,finalized,3,4/20/2020 21:40:05,"what laws were taken into account to protect staff who must be absent from work
Can my employer fire me if I have to isolate myself?
Can I be fired from my job?","The Gouvernement du Québec is asking employers to be understanding and flexible toward employees who are returning from travelling or who have symptoms.
 ",I work in the private sector and I have to self-isolate. Can my employer fire me?,
2721199637,finalized,3,4/20/2020 20:33:34,"What should I do if I am isolated?
What procedures should I follow if I need to self isolate
If i have the virus and want to protect other people,  what steps should i take to self isolate?","Individuals in voluntary self-isolation must stay at home, monitor their symptoms and call 1 877 644-4545 if they have a cough, https://www.quebec.ca/en/health/health-issues/a-z/general-information-about-coronavirus/#c46539 , difficulty breathing or sudden loss of sense of smell and taste without nasal congestion. These people must not go outside at all, even to go for a walk. Certain practices are also recommended if they live with other people who have not travelled. To obtain additional information on the procedures to follow, please https://www.quebec.ca/en/health/health-issues/a-z/general-information-about-coronavirus/#c53183 .
 ","If I must go into self-isolation, what instructions must I follow?",
2721199638,finalized,3,4/20/2020 22:05:07,"Is it necessary to return to my residence, despite being outside my country?
in the case of being out of my country as I return home?
What are the measures to be taken by people who are abroad?","The Gouvernement du Québec suggests that individuals who are abroad come home if possible.
 The Government of Canada in its https://travel.gc.ca/travelling/advisories?_ga=2.155976444.612942516.1584366966-332147478.1583942171 section recommends that individuals who are abroad find out about the commercial options avilable to them to return to Canada and to return sooner than planned if such options become more limited.
 ","If I am abroad, do I have to immediately come home?",
2721199639,finalized,3,4/20/2020 21:32:09,"Who is most at risk?
Which countries have the highest risk of a pandemic?
How do I get online or where do I get information about which countries are at higher risk of covid-19","For this information, you are advised to consult the https://travel.gc.ca/travelling/advisories?_ga=2.105850506.886082967.1584121752-1553186751.1579968697 section on the Government of Canada site.
 ",Which countries are most at risk?,
