_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question_,answers,questions,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question__gold
2721199630,4/20/2020 20:12:24,5570406572,4/20/2020 20:06:35,false,feca,1,45449998,USA,NJ,Clifton,104.131.66.8,How do I know what a Health emergency is?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721199630,4/20/2020 20:42:11,5570451444,4/20/2020 20:36:50,false,feca,1,45631005,USA,GA,Atlanta,107.150.30.162,What does this global health emergency mean?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721199630,4/20/2020 22:12:18,5570583296,4/20/2020 21:43:04,false,feca,1,45541176,USA,NJ,Clifton,45.55.160.105,What is an emergency or health emergency?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721199631,4/20/2020 20:46:25,5570460293,4/20/2020 20:31:56,false,neodev,1,45432941,USA,TX,Dallas,155.94.250.71,Does the Quebec government declare a health emergency demonstrate commitment to its citizens?,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721199631,4/20/2020 20:56:25,5570475650,4/20/2020 20:31:30,false,feca,1,45657507,USA,NY,New York,107.170.166.118,How many times before has Quebec declared a health emergency?,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721199631,4/20/2020 21:16:50,5570508404,4/20/2020 21:02:42,false,feca,1,45284386,USA,TX,Dallas,198.96.95.188,The Quebec government took action on this global emergency?,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721199632,4/20/2020 20:14:21,5570408897,4/20/2020 20:07:00,false,feca,1,45456566,USA,NJ,Clifton,138.197.31.58,How to know when the COVID-19 pandemic has reached its peak?,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721199632,4/20/2020 20:54:59,5570473354,4/20/2020 20:36:06,false,feca,1,45232536,USA,DE,"",108.59.0.13,How to know that a pandemic reaches its worst point,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721199632,4/20/2020 21:54:01,5570562010,4/20/2020 21:36:39,false,feca,1,45598427,USA,NY,New York,107.170.166.118,¿when the pandemic reaches its peak?,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721199633,4/20/2020 20:36:00,5570441717,4/20/2020 20:34:08,false,feca,1,45754194,USA,NJ,Clifton,104.131.75.86,Where can I receive information about this?,"For up-to-date information, consult the Government of Quebec’s official website often https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/ .
 Listen to the radio or watch television and read newspapers. The Ministère de la Santé et des Services sociaux will be providing health guidelines for the public to follow and information about where to get treatment.
 Always follow government advisories and instructions. Advisories and instructions may change as the situation unfolds.
 To learn how to recognize a credible source of information, go to the page https://www.quebec.ca/en/health/advice-and-prevention/accidents-injuries-and-diseases-prevention/how-to-recognize-a-reliable-source-of-information-on-health/ .
 ",Where can I get information about the situation?,
2721199633,4/20/2020 20:38:00,5570445152,4/20/2020 20:34:00,false,feca,1,45361507,USA,GA,Atlanta,206.217.143.137,Which are the reliable sources to inform me?,"For up-to-date information, consult the Government of Quebec’s official website often https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/ .
 Listen to the radio or watch television and read newspapers. The Ministère de la Santé et des Services sociaux will be providing health guidelines for the public to follow and information about where to get treatment.
 Always follow government advisories and instructions. Advisories and instructions may change as the situation unfolds.
 To learn how to recognize a credible source of information, go to the page https://www.quebec.ca/en/health/advice-and-prevention/accidents-injuries-and-diseases-prevention/how-to-recognize-a-reliable-source-of-information-on-health/ .
 ",Where can I get information about the situation?,
2721199633,4/20/2020 21:39:16,5570541020,4/20/2020 21:11:38,false,feca,1.0,45489394,USA,NJ,Clifton,138.197.26.4,Where could I get information about the pandemic situation?,"For up-to-date information, consult the Government of Quebec’s official website often https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/ .
 Listen to the radio or watch television and read newspapers. The Ministère de la Santé et des Services sociaux will be providing health guidelines for the public to follow and information about where to get treatment.
 Always follow government advisories and instructions. Advisories and instructions may change as the situation unfolds.
 To learn how to recognize a credible source of information, go to the page https://www.quebec.ca/en/health/advice-and-prevention/accidents-injuries-and-diseases-prevention/how-to-recognize-a-reliable-source-of-information-on-health/ .
 ",Where can I get information about the situation?,
2721199634,4/20/2020 20:05:33,5570395211,4/20/2020 20:04:29,false,feca,1.0,45724978,USA,NY,New York,107.170.127.117,Can pregnant women who are giving birth be accompanied by a family member?,"At present, pregnant women can be accompanied by a loved one when giving birth in Québec hospitals. However, hospitals may adopt certain specific measures, as is the case at the Montreal Jewish General Hospital. To obtain additional information in this regard, pregnant women can contact their hospital.
 ",Can pregnant women who are giving birth be accompanied by a loved one?,
2721199634,4/20/2020 20:15:03,5570409620,4/20/2020 20:05:48,false,feca,1,45573778,USA,NV,185.242.5.0/24,185.242.5.99,Is it necessary for a woman about to give birth to be accompanied by a loved one?,"At present, pregnant women can be accompanied by a loved one when giving birth in Québec hospitals. However, hospitals may adopt certain specific measures, as is the case at the Montreal Jewish General Hospital. To obtain additional information in this regard, pregnant women can contact their hospital.
 ",Can pregnant women who are giving birth be accompanied by a loved one?,
2721199634,4/20/2020 20:15:49,5570410420,4/20/2020 20:12:04,false,instagc,1,34854490,USA,CA,West Covina,172.115.192.166,Can the husband/coach of a pregnant woman accompany her to the hospital?,"At present, pregnant women can be accompanied by a loved one when giving birth in Québec hospitals. However, hospitals may adopt certain specific measures, as is the case at the Montreal Jewish General Hospital. To obtain additional information in this regard, pregnant women can contact their hospital.
 ",Can pregnant women who are giving birth be accompanied by a loved one?,
