_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question,answers,questions,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question_gold
2721531204,finalized,7,4/21/2020 12:08:43,"What would a health risk emergency be like?
What steps should be followed when falling in an emergency?
What is considered a health emergency?
What is the health risk to declare a health emergency?
What is the state of health emergency?
How can the Ministry of Social Affairs and Services protect the health of the population?
how to treat this health emergency?","A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721531205,finalized,7,4/21/2020 16:48:52,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
First occasion that Quebec declares a health emergency?
Is it the first time that Quebec says that it has declared a state of emergency?
¿is the first time for quebec to declare a health emergency
This will be the first time that Quebec has declared a state of emergency?
Is this the first time that Quebec has declared an emergency?
Is this the first time that a health emergency has been declared in Quebec?","Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721531206,finalized,7,4/21/2020 12:03:42,"How do we know that the pandemic has reached its peak?
How do you know if the pandemic has reached its maximum attack point?
At what point can we identify the maximum peak of the pandemic?
What is the best way to tell if the pandemic has reached its peak?
When will the pandemic peak?
When does the epidemic reach its climax?
How to know when the pandemic begins its peak?","A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721531207,finalized,7,4/21/2020 12:10:15,"Where can I find information about the current situation?
Through which digital or text media can obtain information about the spread of the pandemic
Where could I be well informed about the situation that is occurring?
Where could I get the necessary information about the emergency situation?
Where can I find the best recommendations and steps to follow in this period?
Where can I find information on the current situation of the pandemic?
where can i get updated information?","For up-to-date information, consult the Government of Quebec’s official website often https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/ .
 Listen to the radio or watch television and read newspapers. The Ministère de la Santé et des Services sociaux will be providing health guidelines for the public to follow and information about where to get treatment.
 Always follow government advisories and instructions. Advisories and instructions may change as the situation unfolds.
 To learn how to recognize a credible source of information, go to the page https://www.quebec.ca/en/health/advice-and-prevention/accidents-injuries-and-diseases-prevention/how-to-recognize-a-reliable-source-of-information-on-health/ .
 ",Where can I get information about the situation?,
2721531208,finalized,7,4/21/2020 20:57:40,"would husband can accomplished pregnant wife to hsopital?
When can pregnant women who are giving birth be accompanied by a loved one?
Who will be permitted to accompany a pregnant woman who is giving birth?
Can pregnant women be accompanied by a loved one at delivery?
Who can accompany the pregnant woman who is giving birth at the Quebec hospitals?
Can someone who is about to give birth be accompanied by someone?
What is the case of pregnant women who give birth?","At present, pregnant women can be accompanied by a loved one when giving birth in Québec hospitals. However, hospitals may adopt certain specific measures, as is the case at the Montreal Jewish General Hospital. To obtain additional information in this regard, pregnant women can contact their hospital.
 ",Can pregnant women who are giving birth be accompanied by a loved one?,
2721531209,finalized,7,4/22/2020 00:09:50,"I have been away, what rules must I follow?
For how long should i isolate myself to be sure i didn't catch the virus and not to hurt my family if i just came back from work trip?I
Why should I go through the process if I'm immigrating to Canada?
For how long should I be isolated when I travel?
¿What measure is Canada taking with respect to someone who is traveling and are those measures directly related to people who have symptoms?
what actions have i to do if i've just arrived from out of country?
if you come back from a trip you have to stay 14 days quarantine","Anyone returning from a stay outside Canada must self-isolate for 14 days. Such isolation covers both travellers who are sick or display symptoms and those who do not have symptoms and are in perfect health.
 Individuals in self-isolation must stay at home, monitor their symptoms and call tel:+1-877-644-4545 if they have a cough, https://www.quebec.ca/en/health/health-issues/a-z/general-information-about-coronavirus/#c46539 , difficulty breathing or sudden loss of sense of smell and taste without nasal congestion. These people must not go outside at all, even to go for a walk. Certain practices are also recommended if they live with other people who have not travelled. To obtain additional information on the procedures to follow, please https://www.quebec.ca/en/health/health-issues/a-z/general-information-about-coronavirus/#c53183 .
 ",I am returning from a trip. What do I have to do?,
2721531210,finalized,7,4/22/2020 14:36:22,"Are employees who isolate themselves at risk of being fired?
Will I get paid if I have to self isolate after a business trip?
Can my employer fire me? I work in the private sector and I have to isolate myself.
Can my employer fire me if there are doubts about my physical health?
If I receive COVID-19, can I be fired from my job?
At no time should your job be at risk, it is for your safety and that of the community.
Will companies be required to maintain worker income while maintaining the emergency?","The Gouvernement du Québec is asking employers to be understanding and flexible toward employees who are returning from travelling or who have symptoms.
 ",I work in the private sector and I have to self-isolate. Can my employer fire me?,
2721531211,finalized,7,4/21/2020 20:29:05,"If I must isolate myself, what instructions must I follow?
Do I have to inform anyone if I’m voluntarily self isolating?
What are the correct instructions and guidelines for a self-isolation?
If I am feeling the symptoms, what number should I call?
is there a support call center I can use if I get symptoms?
What are the isolation measures that I should follow?
Is there a number I can call if I have to go into self isolation because I have symptoms of Covid-19?","Individuals in voluntary self-isolation must stay at home, monitor their symptoms and call 1 877 644-4545 if they have a cough, https://www.quebec.ca/en/health/health-issues/a-z/general-information-about-coronavirus/#c46539 , difficulty breathing or sudden loss of sense of smell and taste without nasal congestion. These people must not go outside at all, even to go for a walk. Certain practices are also recommended if they live with other people who have not travelled. To obtain additional information on the procedures to follow, please https://www.quebec.ca/en/health/health-issues/a-z/general-information-about-coronavirus/#c53183 .
 ","If I must go into self-isolation, what instructions must I follow?",
2721531212,finalized,7,4/21/2020 12:08:43,"If I am outside the country, should I return as soon as possible?
What steps should be followed by those who are outside your country?
citizens abroad must return to their home countries immediately?
If I am out of the country, do I have to go home immediately?
Despite the pandemic, if I am in another country, should I go back?
Can the French government offer options for individuals abroad to return to their home?
If I am outside my country, do I have to return?","The Gouvernement du Québec suggests that individuals who are abroad come home if possible.
 The Government of Canada in its https://travel.gc.ca/travelling/advisories?_ga=2.155976444.612942516.1584366966-332147478.1583942171 section recommends that individuals who are abroad find out about the commercial options avilable to them to return to Canada and to return sooner than planned if such options become more limited.
 ","If I am abroad, do I have to immediately come home?",
2721531213,finalized,7,4/21/2020 12:43:10,"Who globally are at risk from the virus crisis?
What are the countries that are most at risk from COVID-19?
Which countries would have the highest risk of contagion of coronavirus?
Which countries are most at risk of disease during the COVID-19 pandemic?
What are the countries that are most exposed to covid-19?
Which are the countries with the highest risk of covid-19 infection?
In which countries has the virus spread the most?","For this information, you are advised to consult the https://travel.gc.ca/travelling/advisories?_ga=2.105850506.886082967.1584121752-1553186751.1579968697 section on the Government of Canada site.
 ",Which countries are most at risk?,
