_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question,answers,questions,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question_gold
2721531204,4/21/2020 02:32:11,5570907708,4/21/2020 02:28:56,false,feca,1,45456566,USA,NJ,Clifton,138.197.31.58,What would a health risk emergency be like?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721531204,4/21/2020 02:32:14,5570907819,4/21/2020 02:29:14,false,feca,1,45602995,USA,VA,Reston,147.135.36.175,What steps should be followed when falling in an emergency?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721531204,4/21/2020 02:39:43,5570914969,4/21/2020 02:29:09,false,feca,1,45759736,USA,NJ,Clifton,104.236.205.233,What is considered a health emergency?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721531204,4/21/2020 04:22:27,5571044747,4/21/2020 03:58:38,false,feca,1,45602547,USA,NJ,Clifton,104.131.75.86,What is the health risk to declare a health emergency?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721531204,4/21/2020 05:12:23,5571093184,4/21/2020 05:06:46,false,neodev,1,45604336,USA,FL,Orlando,72.17.88.15,What is the state of health emergency?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721531204,4/21/2020 05:44:28,5571124231,4/21/2020 05:15:01,false,feca,1,45710684,USA,IL,Elk Grove Village,108.61.229.18,How can the Ministry of Social Affairs and Services protect the health of the population?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721531204,4/21/2020 12:08:43,5571749544,4/21/2020 11:53:56,false,neodev,1,45636776,USA,NJ,Clifton,104.131.176.234,how to treat this health emergency?,"A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.
 The Ministère de la Santé et des Services sociaux could, for example, promptly purchase equipment or conclude the necessary contracts to protect the health of the population.
 ",What is a health emergency?,
2721531205,4/21/2020 15:59:16,5572015521,4/21/2020 15:58:07,false,feca,1,45438182,USA,NY,New York,107.170.186.79,Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721531205,4/21/2020 15:59:41,5572015814,4/21/2020 15:51:59,false,clixsense,1,45597881,USA,NJ,Clifton,104.131.66.8,First occasion that Quebec declares a health emergency?,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721531205,4/21/2020 16:18:58,5572036227,4/21/2020 16:10:05,false,clixsense,1,45387304,USA,NY,New York,107.170.186.79,Is it the first time that Quebec says that it has declared a state of emergency?,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721531205,4/21/2020 16:23:30,5572040094,4/21/2020 16:09:45,false,feca,1,45552331,USA,NJ,Clifton,104.236.55.136,¿is the first time for quebec to declare a health emergency,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721531205,4/21/2020 16:36:45,5572050285,4/21/2020 16:33:17,false,clixsense,1,45363298,USA,NJ,Clifton,104.131.19.173,This will be the first time that Quebec has declared a state of emergency?,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721531205,4/21/2020 16:38:43,5572051619,4/21/2020 16:23:57,false,feca,1,45601073,USA,NY,New York,107.170.127.117,Is this the first time that Quebec has declared an emergency?,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721531205,4/21/2020 16:48:52,5572058071,4/21/2020 16:43:41,false,feca,1,45596901,USA,AZ,Phoenix,23.81.49.77,Is this the first time that a health emergency has been declared in Quebec?,"Yes. This exceptional measure demonstrates the Gouvernement du Québec’s determination to adopt the necessary measures to protect Quebecers.
 ",Is this the first time that Québec has declared a health emergency?,
2721531206,4/21/2020 02:42:58,5570917875,4/21/2020 02:41:23,false,feca,1,45754194,USA,NJ,Clifton,104.131.92.125,How do we know that the pandemic has reached its peak?,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721531206,4/21/2020 02:45:56,5570920583,4/21/2020 02:42:16,false,feca,1,45662701,USA,AZ,Phoenix,23.81.49.77,How do you know if the pandemic has reached its maximum attack point?,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721531206,4/21/2020 02:48:50,5570923492,4/21/2020 02:41:55,false,feca,1,45449998,USA,NJ,Clifton,104.236.53.155,At what point can we identify the maximum peak of the pandemic?,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721531206,4/21/2020 11:46:12,5571729804,4/21/2020 11:43:54,false,prodege,1,4316379,CAN,ON,Windsor,135.0.101.131,What is the best way to tell if the pandemic has reached its peak?,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721531206,4/21/2020 11:53:30,5571736401,4/21/2020 11:45:37,false,feca,1,45349189,USA,NY,New York,107.170.145.187,When will the pandemic peak?,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721531206,4/21/2020 11:53:56,5571736748,4/21/2020 11:45:31,false,feca,1,45370358,USA,NY,New York,162.243.127.7,When does the epidemic reach its climax?,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721531206,4/21/2020 12:03:42,5571745247,4/21/2020 11:46:40,false,feca,1,45680033,USA,TX,Dallas,198.96.95.247,How to know when the pandemic begins its peak?,"A pandemic peaks when, after a significant rise in cases, the number of new cases stops growing and starts to decrease.
 ",How will we know when the pandemic has peaked?,
2721531207,4/21/2020 02:38:52,5570914338,4/21/2020 02:34:53,false,feca,1.0,45662701,USA,AZ,Phoenix,23.81.49.77,Where can I find information about the current situation?,"For up-to-date information, consult the Government of Quebec’s official website often https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/ .
 Listen to the radio or watch television and read newspapers. The Ministère de la Santé et des Services sociaux will be providing health guidelines for the public to follow and information about where to get treatment.
 Always follow government advisories and instructions. Advisories and instructions may change as the situation unfolds.
 To learn how to recognize a credible source of information, go to the page https://www.quebec.ca/en/health/advice-and-prevention/accidents-injuries-and-diseases-prevention/how-to-recognize-a-reliable-source-of-information-on-health/ .
 ",Where can I get information about the situation?,
