timestamp_est,anonymous_id,question,question_processed,cluster
2020-03-22T14:09:57.981Z,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,What should I eat or drink to avoid or to battle COVID-19?,what should i eat or drink to avoid or to battle covid19,about
2020-03-22T10:26:03.022Z,63e434b5-3732-4fe0-86d4-27c80650676d,what's is COVID-19?,whats is covid19,about
2020-03-23T04:24:57.465Z,ebbb6325-119b-4b45-9068-d429be20b63d,What is a vaccin becoming available?,what is a vaccin becoming available,about
2020-03-23T08:28:21.54Z,7ed7d294-a7b7-4274-894f-66d929d56bb8,What is covid,what is covid,about
2020-03-23T11:03:16.628Z,217ee8ff-3e18-4214-8714-2dea0348bfaa,What is covid19?,what is covid19,about
2020-03-22T13:56:42.612Z,b4f456a3-243b-4ba6-b09b-ba1f0a7599f3,What's covid19,whats covid19,about
2020-03-22T06:46:58.641Z,9f5a3b2d-e64c-48a0-bcbb-973251c8ad14,What is covid?,what is covid,about
2020-03-21T19:10:45.245Z,76dcbfcb-fbd4-4b7d-a0ad-bfb5c27087f2,What is COVID-19,what is covid19,about
2020-03-21T13:39:26.503Z,9c1b4039-c331-43fb-b7da-5f77f3403575,what is covid-19,what is covid19,about
2020-03-26T14:13:30.085Z,ce329575-8d11-48fe-88a6-5fbbd132e052,my employer has fired me because of COVID-19 what should I do?,my employer has fired me because of covid19 what should i do,about
2020-03-23T05:23:45.594Z,ff36e21c-f99a-4015-8fa0-bf1e7cceb028,What is the COVID-19?,what is the covid19,about
2020-03-22T15:54:40.645Z,040d1404-0a1f-45e0-b4b7-0bc213f66341,what is covid-19?what is covid-19?,what is covid19what is covid19,about
2020-03-23T08:29:31.474Z,f4edeb32-2c89-4618-96bf-6cb899679883,What is COVID-19?,what is covid19,about
2020-03-23T10:17:05.599Z,47afe213-b056-442e-b1af-2b4cd62fdf7e,what is coronavirus,what is coronavirus,about
2020-03-23T06:06:24.478Z,f1f3e9ed-c400-4bd7-9fb2-83d415e3ec13,what is covid 19,what is covid 19,about
2020-03-25T04:22:31.84Z,f09d5ecb-6627-436b-bbb4-ee2c032b2267,what is covid-19?,what is covid19,about
2020-03-23T05:52:18.687Z,92f9b316-86b1-4544-8a84-a8871b0d4d92,what is covi?,what is covi,about
2020-03-23T05:00:56.002Z,e1ca6693-5cd5-4a07-8869-bffa04b32e07,What is covid 19?,what is covid 19,about
2020-03-22T12:18:33.816Z,af8daa2f-2609-4f7a-b0e4-0ea610116216,What is covid-19,what is covid19,about
2020-03-23T08:28:28.928Z,9db5e060-f3c1-418c-a30f-e67f18eb2ed9,What is Covid19,what is covid19,about
2020-03-22T15:54:40.628Z,040d1404-0a1f-45e0-b4b7-0bc213f66341,what is covid-19?,what is covid19,about
2020-03-23T10:30:05.839Z,f47e5219-8190-49eb-a5e7-ec27486096fa,what's the time period of detecting coronavirus?,whats the time period of detecting coronavirus,about
2020-03-23T05:40:53.009Z,8b377bca-d8b9-4717-832f-9422b632b727,Can you explain to me what is the covid19?,can you explain to me what is the covid19,about
2020-03-23T17:08:09.97Z,fcd76fea-c587-4a27-acc0-d319cc56c02c,What is covid 19,what is covid 19,about
2020-03-24T18:17:31.881Z,a6985051-04d5-44da-9cac-01ed51486cd8,What is COVID-19?,what is covid19,about
2020-03-23T15:29:46.987Z,9bd137ef-8f0e-40ff-abd7-eab1d32682b5,What is covid,what is covid,about
