question_processed,cluster
can dogs transfer the virus,covid-animals
can i get ovid 19 if someone pets my dog and then i pet her ,covid-animals
can i get the virus from a stray cat,covid-animals
can i walk my dog with a friend who is walking their dog as long as we maintain 2 meters of physical distance,covid-animals
can it coronavirus be transmitted by animals,covid-animals
can my cat get the virus,covid-animals
can my dog be infected with it,covid-animals
can my dog catch tbs ,covid-animals
can my dog get covid19 and transmit it to other people,covid-animals
do we have this epidemic and many more to come because were not taking care of the earth were destroying more and more trees and humans are eating more wild animals that have viruses per a talk from alanna shaikh,covid-animals
get i get infected from a dog,covid-animals
if my dog is infected where do i take him to get him help,covid-animals
is the virus dangerous for animals,covid-animals
ppl are still going out to walk out dogs and get some groceries what is transmission situation when in grocery store gas pump  avoiding using cash can help ,covid-animals
after how much time clothes or packets can be out of risk from spreading virus ,covid-contagious
are babies at high risk ,covid-contagious
are patients with sarcoidosis more at risk of dying from covid19,covid-contagious
are pregnant women at high risks,covid-contagious
are there any risk for the foetus ,covid-contagious
do pregnant women have a higher risk factor,covid-contagious
does working retail put you at a higher risk ,covid-contagious
has blood type been confirmed as a risk,covid-contagious
how at risk are young people with immunodeficiencies,covid-contagious
how dangerous is it,covid-contagious
how dangerous is it for me,covid-contagious
how dangerous is the cov19,covid-contagious
how dangerous is the virus,covid-contagious
how dangerous it is for pregnant womens,covid-contagious
how to reduce the risk,covid-contagious
i am 24 years old what is my risk of having severe symptoms of the virus  ,covid-contagious
i had an asthma attack when i was young but didnt have an episode for over 15 years am i still at risk,covid-contagious
i live with a smoker  am i at high risk for covid19,covid-contagious
im 8 months pregnant m i hight risk,covid-contagious
is covid very dangerous,covid-contagious
is covid19 dangerous,covid-contagious
is it dangerous to go for a walk,covid-contagious
is it dangerous to order on line,covid-contagious
is it dangerous to travel,covid-contagious
is the virus dangerous,covid-contagious
ive had a mild case of pneumonia before im 30 years old am i at any additional risk ,covid-contagious
my fatherinlaw is more at risk because of his age should my motherinlaw be the one to get groceries or should we do it for them to lower the risk of my motherinlaw being a transporter of the virus,covid-contagious
someone from quarantaine came to my office and stayed 20min is it a risk,covid-contagious
what  of young people under 50 hospitalized with covid19 have underlying health conditions that put them at a higher risk of having a more severe form of the illness ,covid-contagious
what are the risk factors for covid19,covid-contagious
what are the risks for a person between 20 and 40 years old with asthma,covid-contagious
what are the risks for people with diabetes ,covid-contagious
what are the risks for someone aged 65,covid-contagious
what are the risks involved for heart patients,covid-contagious
what are the risks to pregnancy in week 12,covid-contagious
what is my level of risk,covid-contagious
what is the risk for a pregnant women,covid-contagious
what is the risk for a pregnent woman ,covid-contagious
what is the risk for an asthmatic ,covid-contagious
what is the risk of getting the virus from fresh produce bought at the store,covid-contagious
what is the risk that the virus will mutate and become deadlier,covid-contagious
what mesures needs to take a pregnant women to reduce the risk,covid-contagious
whats the risk for pregnant health care workers,covid-contagious
who is at risk,covid-contagious
who is at risk of dying after contracting the virus,covid-contagious
who is most at risk ,covid-contagious
why corona is so dangerous ,covid-contagious
can i see my barber at his home out in the open with globes and mask,covid-fight
do gloves help dont they get infected,covid-fight
do i have to wear a mask all the time if i am not infected,covid-fight
do i have to wear gloves and mask,covid-fight
do i need a mask if i am not confirmed to have been affected yet,covid-fight
do i need to wear a mask,covid-fight
do i need to wear a mask i heard its worse if you touch your face,covid-fight
do i need to wear mask,covid-fight
do we need to wear a mask,covid-fight
do we need to wear mask,covid-fight
does a mask actually help if im not sick,covid-fight
does eating oranges daily help to fight this virus,covid-fight
does wearing gloves help,covid-fight
how can blueridgeai help fight this virus,covid-fight
how may times should i wear the same mask,covid-fight
how often do i need to change my mask,covid-fight
i have no symptoms and have not travelled outside of canada since november 2019  do i need to wear any kind of mask when i go outside,covid-fight
i have to go to hospital for ultrasound with high risk pregnancy other than gloves what can i do to be safe what do i do when i get homechange clothes shower ,covid-fight
i would like to go for a car ride is this safe  i will not be going anywhere else other than my vehicle  i will be wearing gloves and washing hands upon my return ,covid-fight
if i sew a mask  can this be effective ,covid-fight
if someone decides to make and weak a homemade mask  what pattern process and materials are recommended,covid-fight
is it useful to wear a mask if we are not sick,covid-fight
is there a medication to take to help me fight covid19,covid-fight
is there a way for me and my family to get gloves and masks for when i need to go out for provisions ,covid-fight
now we confirmed that asymptomatic covid19 carrier can spread the virus shouldnt it be smart to treat everyone as potiential carrier and wear mask,covid-fight
should i wear a mask,covid-fight
should i wear a mask if i go outside to not get the covid19,covid-fight
should i wear a mask to go shopping,covid-fight
should i wear a mask when outside,covid-fight
should i wear gloves to go to the grocery store ,covid-fight
should i wear mask,covid-fight
should we be wearing homemade masks when out shopping,covid-fight
since we know that the virus can be airborne for up to 3 hours why are we not wearing masks ,covid-fight
what kind of mask is good,covid-fight
why does the government think that we dont need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks regardless if they are sick or not,covid-fight
will the heat of the summer help fighting the virus,covid-fight
will wearing a p100 mask help me not get infected,covid-fight
how long does the incubation period last,covid-incubation
how long does this virus incubate ,covid-incubation
how long is incubation period ,covid-incubation
is the severity of disease dependent on incubation period ,covid-incubation
is the virus infectious during incubation period,covid-incubation
what are symptoms in the incubation period,covid-incubation
what is the incubation period ,covid-incubation
what is the incubation period for covid19,covid-incubation
what is the incubation period of covid19,covid-incubation
what is the incubation time,covid-incubation
what is the incubation time of covid19 by age,covid-incubation
what is the incubation time of the virus,covid-incubation
what is the longest known asymptomatic incubation period,covid-incubation
what is the period of incubation,covid-incubation
whats the incubation period ,covid-incubation
whats the incubation period of the covid19 virus,covid-incubation
 can you be reinfected with covid 19 or are you immune after getting it,covid-infection
 how long is the period between infection and the appearance of symptoms and when do people become contagious ,covid-infection
am i infected,covid-infection
are covid19 outcomes worse for those who are infected and suffer from asthma ,covid-infection
are there any anticipated long term effects postinfection,covid-infection
can antibiotics deal with viral infection,covid-infection
can i be coughing without fever and be infected,covid-infection
can i get infected after i healed from it,covid-infection
can i get infected from a newspaper,covid-infection
can i get infected from food or grocery delivery,covid-infection
can i get infected more than once,covid-infection
can i get the virus from breathing infected airborn particules,covid-infection
can my pets get infected with covid,covid-infection
can you get be infected more than once ,covid-infection
does everyone infected need a respirator,covid-infection
eyes infection is correlated,covid-infection
f you get covid19 can you be reinfected within 12 months ,covid-infection
for a healthy youngmiddleaged adult to get infected but recover by hisher own what would be the possibility to have his or her lung permenantly damaged,covid-infection
from the infected worldwide population what will be the ratio of asymptomatic people,covid-infection
how can an estimate for the real number of infected in the usa be calculated,covid-infection
how covid19 virus infected,covid-infection
how do people get infected with coronavirus,covid-infection
how i can get infected,covid-infection
how i can isolate infectedquarantined family member at home where kids and other family members share common space,covid-infection
how likely will i get reinfected,covid-infection
how long does a person infected with coronavirus remain contagious to others,covid-infection
how long does it last once infected ,covid-infection
how long does it take for an infected person to show symptoms ,covid-infection
how long does it take for you to feel symptoms once you are infected,covid-infection
how long until an infected person shows symptoms,covid-infection
how long would it take for symptoms to appear after a contact with someone infected,covid-infection
how many are infected in brossard,covid-infection
how many days does it take for the infection rates to double,covid-infection
how many infected person in south korea,covid-infection
how many infections are china hiding,covid-infection
how to avoid this infection,covid-infection
how to deal with disinfection of day to day use objects,covid-infection
how to help a friend that is infected,covid-infection
how to take care of infected people ,covid-infection
i feel tired often at home am i infected,covid-infection
i need to take a blood test is there a large risk for infection,covid-infection
i think i am infected what do i do,covid-infection
im coughing because of postnasal drip and i travelled in the last 14 days could i be infected,covid-infection
is it possible to be infected again,covid-infection
is it true that in fine we will all get infected at some point with this novel strand of the coronavirus,covid-infection
is losing your sense of smell always a sign of infection,covid-infection
is there a correlation between exposure time and the severity of a covid19 infection,covid-infection
is there any possibility of infected corona virus second time,covid-infection
is there any possibility of infected corona virus twice second time,covid-infection
my throat is tingling am i infected,covid-infection
on a recent study published in nature it says that the severity of symptoms of covid19 infection depends on how much is your angiotensin converting enzyme 2 gene is expressed my question is on what factors does the rate of ace2 gene expression depends i,covid-infection
once recovered can i be infected with corona again,covid-infection
what are the best ways to discourage covid19 infection,covid-infection
what are the demographics of people infected hospitalized and deceased in quebec ,covid-infection
what are the survival rate by age brackets for those infected,covid-infection
what are the symptoms of covid19 by day of infection,covid-infection
what can i do to improve my chances of recovery before i get infected,covid-infection
what is the current rate of infection,covid-infection
what is the current situation of covid19 infections,covid-infection
what is the estimated population that will be infected by the covid19 virus,covid-infection
what is the rate of infection spread,covid-infection
what rate of infection is projected in quebec what percentage of the population will contract covid19,covid-infection
what would be the economic effects of quarantining versus not quarantining but then having a high infection rate,covid-infection
whats my risk of being infected,covid-infection
which country infected  ,covid-infection
3 cooking food kills  off the covid 19,covid-kill
is it true that warm kills coronavirus,covid-kill
is the virus vulnerable to high temperature does steam cleaning the surfaces and cloths kills the virus,covid-kill
isnt the economy impact and the panic reaction going to kill more than the virus it seems the virus only kills 1 while over 30 of the population might lose their jobs,covid-kill
1 how long does covid 19 survive in a freezer does it survive,covid-life
2 can covid 19 live on fruits and vegetables and what is the safest way to eat and clean them,covid-life
can covid19 stay alive on fresh fruit and vegetables,covid-life
does the  virus stay on clothing,covid-life
for how long covid19 can stay alive on different surfaces,covid-life
for how long the virus can live without the host ,covid-life
for how long the virus lives on glass surfaces,covid-life
how long can corona virus survive in the air,covid-life
how long can covid19 live in surfaces,covid-life
how long can live covid19 on surface,covid-life
