question_processed,cluster
what should i eat or drink to avoid or to battle covid19,about
whats is covid19,about
what is a vaccin becoming available,about
what is covid,about
what is covid19,about
whats covid19,about
my employer has fired me because of covid19 what should i do,about
what is the covid19,about
what is covid19what is covid19,about
what is coronavirus,about
what is covid 19,about
what is covi,about
whats the time period of detecting coronavirus,about
can you explain to me what is the covid19,about
what is the covid,about
i was in contact with a person who had coronavirus what should i do ,about
what is the relationship between covid19 and other lung diseases,about
what si coronavirus,about
may i know what is corona,about
whats corona,about
what is corona virus,about
what is the origin of covid19,about
what is the meaning of covid19,about
what is covid 29,about
what is corona,about
what is coronavirus ,about
what is covid19 ,about
what is covid19 virus,about
what is the impact that covid19 has in the economy,about
what is covid2019,about
what is covid1,about
whats covid19 ,about
what is cover,about
what is the coronavirus,about
my kids are anxious about covud19  what shall i tell them,about
whats a waiting time to get covid19 results,about
what is the impact of covid 19 on warehouses,about
whats corona virus,about
what should be peoples actions for surviving covid19 ,about
what is covid19s definition,about
whats the current state of covid,about
what is the best way to self diagnose covid19 ,about
what is the status of covid19,about
what is the best way to curate information about covid19,about
whats the data on first and second trimester of pregnancy,about
what is corona virus and covid19,about
whats considered to be a fever to worry about is anything above 37 centigrade something to worry about ,about
what are the ways to prevent coronavirus,caution
what shall i do if i have to go out to buy things to protect myself from corona virus,caution
hello i am social distancing and taking precautions however i have to share a communal sink i try to stay as safe as possible by cleaning it but i have touched the knobs with my bare hands without thinking can germs spread this way should i avoid the sink in general thank you ,caution
do we need to prevent touching packing of fooddoes corona virus lie on packing  and on clothes ,caution
how to protect myself on a plane,caution
how can i help to prevent spread of corona virus,caution
my employer is not implementing social distancing or safety measures in my workplace what recourse do i have,caution
would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide instead of scrambling or ordering these last minute and also have enough hospitals built because if we dont do that well have to do what china did and build a hospital at the last minute,caution
how can i protect myself,caution
do i need to take precautions when picking up the mail ,caution
how can i protect myself ,caution
where can i buy protective masks,caution
are masks efficient to prevent the one wearing from getting infected what about infecting others,caution
how to prevent ,caution
what is the difference between a pandemic  epidemic why did who declare this a pandemic what is the difference between social distancing selfisolating and quarantine to what extent is social distancing helpful why should i do this when should you selfisolate will the virus be less effective when we get warmer weather  when should i go to the hospital should i get tested if i was in contact with someone who has or is suspected of having covid19 but do not have any symptoms should i stop taking medications that suppress my immune system  when someone in the household is coming and going for work how can we keep the home a safe place can the virus be transmitted through air conditioning from outside or from within the home how long does the virus last on inanimate objects plastic glass cardboard metal what have we learned from countries like china south korea and singapore that have been dealing with this for a longer period of time and have slowed the spread,caution
does wearing mask protect me from covid 19,caution
how can i prevent to get infected,caution
my sisterinlaw is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with covid19 are the risks for pregnant woman higher how can she protect,caution
how can i protect myself if i need to go to the market,caution
how to protect my family from covid19,caution
how should i keep my family safe during covid19,caution
how protect myself,caution
how can i protect myself from the covid19,caution
how to prevent the spread of covid19,caution
what can we do to protect ourselves from covid19,caution
what precautions should i take while shopping for groceries should i wear a mask andor gloves do i need to disinfect the items i buy ,caution
i am a 62yearold female currently in excellent health i have had a history of chronic bronchitis and pneumonia but its been over a decade since my last issue i have two adult children who may have to move back home how do i protect myself against what they my bring home,caution
how can i prevent myself from getting sick,caution
what can i do to prevent myself from contracting coronavirus,caution
how to protect from covid19,caution
is it safe to travel in domestic flight with precautions,caution
what precautions should pregnant women take on top of everyone else,caution
how to protect myself from it ,caution
how can i protect ,caution
what is the best way to protect yourself from covid19,caution
does washing clothes in the  washing machine prevent transmission  ,caution
what can i do to prevent myself from getting covid19,caution
what kind of protective gear do i need to wear,caution
is washing my hands really the best way to prevent transmission,caution
what can i take to prevent coronavirus,caution
if i contract the virus does wearing a mask prevent others getting infected,caution
precautions to measure ,caution
what precautions should i take with things delivered at home,caution
how do i keep my family safe ,caution
what is the most effective way to protect your self from this virus ,caution
what precautions should i take at the supermarket,caution
my fatherinlaw is more at risk because of his age should my motherinlaw be the one to get groceries or should we do it for them to lower the risk of my motherinlaw being a transporter of the virus,dangerisk
why corona is so dangerous ,dangerisk
are babies at high risk ,dangerisk
is it dangerous to order on line,dangerisk
i live with a smoker  am i at high risk for covid19,dangerisk
is the virus dangerous,dangerisk
what mesures needs to take a pregnant women to reduce the risk,dangerisk
do pregnant women have a higher risk factor,dangerisk
are pregnant women at high risks,dangerisk
what are the risks to pregnancy in week 12,dangerisk
how dangerous is the cov19,dangerisk
how dangerous is it,dangerisk
how at risk are young people with immunodeficiencies,dangerisk
is covid very dangerous,dangerisk
who is most at risk ,dangerisk
what are the risks for a person between 20 and 40 years old with asthma,dangerisk
ive had a mild case of pneumonia before im 30 years old am i at any additional risk ,dangerisk
what  of young people under 50 hospitalized with covid19 have underlying health conditions that put them at a higher risk of having a more severe form of the illness ,dangerisk
what are the risks for someone aged 65,dangerisk
someone from quarantaine came to my office and stayed 20min is it a risk,dangerisk
is it dangerous to go for a walk,dangerisk
are patients with sarcoidosis more at risk of dying from covid19,dangerisk
i had an asthma attack when i was young but didnt have an episode for over 15 years am i still at risk,dangerisk
how to reduce the risk,dangerisk
how dangerous is it for me,dangerisk
is covid19 dangerous,dangerisk
what are the risk factors for covid19,dangerisk
im 8 months pregnant m i hight risk,dangerisk
whats the risk for pregnant health care workers,dangerisk
i am 24 years old what is my risk of having severe symptoms of the virus  ,dangerisk
what is the risk for a pregnent woman ,dangerisk
what is the risk for a pregnant women,dangerisk
how dangerous it is for pregnant womens,dangerisk
are there any risk for the foetus ,dangerisk
who is at risk,dangerisk
what is the risk for an asthmatic ,dangerisk
what is my level of risk,dangerisk
after how much time clothes or packets can be out of risk from spreading virus ,dangerisk
how dangerous is the virus,dangerisk
who is at risk of dying after contracting the virus,dangerisk
what are the risks for people with diabetes ,dangerisk
is it dangerous to travel,dangerisk
how do i distinguish between the flu and coronavirus,diff
how can i distinguish an itchy throat due to covid19 to the one due to potential acid reflux caused by high levels of stress and anxiety,diff
how can you distinguish between a flu and covid19,diff
when will this be over,future
when will this will get back to normal,future
when will the pandemic end,future
when will the pandemic end ,future
how long will it last,future
how long will the pandemic last,future
when will this end ,future
when this all will be over,future
when will it get over,future
is there an estimate as to how long the crisis will last,future
how long will the crisis last,future
when this will ever end ,future
when will this end,future
when it will end,future
when will covid end ,future
when will be done,future
when will it be over,future
when will covid end,future
should he self isolate when he gets here even if he feels well,guideme
can you see friends if you stick to the social distancing guidelines,guideme
what should i do if i dont feel any symptoms,guideme
who can i make the difference between a cold and covid19,guideme
pouvez vous me répondre en français sinon je suis parfaitement bilingue je travaille dans lindustrie de solutions technologie and it would be my pleasure to help this project any way i can jennifer charron at workday canada from montreal ,guideme
what should i do if i think i infected by corona virus,guideme
how do i know if i am infected by new coronavirus,guideme
if i fully recover from covid19 would i still be considered a carrier and transmit the virus,guideme
when will life get back to normal,guideme
why isnt canada making people get tested if they show signs of covid after travelling within canada ,guideme
what should i do if i am infected ,guideme
is there a specific hospitalclinic i should go to if my symptoms are too severe for me to stay at home ,guideme
if infected should i just rest at home for 14 days and ill be okay ,guideme
am i safe to go out if i am under 20 years old,guideme
can i travel to see my relatives in a different town,guideme
what if i returned from international travel a day before the advisory came into effect,guideme
can i get ovid 19 if someone pets my dog and then i pet her ,guideme
can i infect someone if i dont have symptoms,guideme
what are differences in term of symptoms between the new coronavirus and normal flu cod,guideme
how effective is the new drug manufactured by fujifilm toyama chemicals in treating covid19,guideme
if i touched a contaminated surface and rub my eyes  can i get infected ,guideme
what should i do if i start feeling sick with similar symptoms as in covid19,guideme
what to do if i am infected ,guideme
if this is really deep learning how deep is your model,guideme
if one member of a household is tested positive does he or she have to be quarantined outside their home or in a separate room the household members might already have gotten it already but are stoll,guideme
can i get corona if i recover from it ,guideme
is there a different varient of virus which is spreading across the world,guideme
if someone had pneumonia before are they more at risk,guideme
am i immune if i already got covid19,guideme
how do i avoid getting family members sick if im sick from covid19,guideme
how long am i contagious if i get covid19 ,guideme
what shall i do if i cant find sanitizer to buy in stores,guideme
what should i do if im feeling any of the symptoms,guideme
difference between the flu and the virus,guideme
what if just have a mild sore throat ,guideme
can i get tested if i dont have any symptoms,guideme
how can i find out if im an asymptomatic carrier,guideme
if i feel stressed can i start feeling symptoms without having coronavirus,guideme
whom should i consult if i feel i am affected,guideme
if im exposed to a person whose children still work but in laval  an area that hasnt yet seen a case should i be really worried,guideme
can i go out after recovery even if i am still in quarantine time,guideme
how do i know if my cough is serious,guideme
should i call to find out more its the coughing and difficulty breathing and fatigue that worries me,guideme
