question_processed,cluster
questce que le corona ,about
questce que la covid19,about
quest ce que le covid 19,about
questce que la covid  19,about
questce que le coronavirus,about
questce que la covid,about
cest quoi le covid exactement,about
questce que le covid19 exactement,about
cest quoi le coronavirus,about
quest ce que le covid19 ,about
cest quoi le coronavirus ,about
questce que le covid19,about
cest quoi le covid,about
questce que veut dire covid19,about
quest ce que cest le covid19 ,about
cest quoi le covid19,about
questce que cest la covid19,about
estce que mon chien peut attraper le covid,animals
est ce que les animaux peuvent transmettre le virus et viceversa,animals
les animaux de compagnies chat chien reptiles peuventils attraper le virus et nous le transmettre  ,animals
estce que les animaux peuvent transporter le virus,animals
estce que le virus est dangereux pour les animaux de compagnie,animals
les animaux sauvages ou domestiques peuventils contracter le virus,animals
combien de temps reste le virus sur un chat,animals
estce que les chat peuvent transmettre le virus ,animals
estce que mon chat peut attraper le covid,animals
doiton craindre la transmission par nos animaux ,animals
si je mets mes achats alimentaires au congélateur est e que le virus peut se réveiller une fois que les choses ont dégelées,animals
mon chien peutil me transmettre le virus,animals
estce que les animaux de compagnie peuvent être porteur du virus,animals
estce que mon chat peut transmettre le virus,animals
est ce que le virus est transmissible par les animaux,animals
est ce que mon chien ou chat peut lattraper et me le transmettre,animals
estce que mon chien peut porter le virus et nous le donner  si oui comment doisje faire pour prendre soin de mon chien ou mon chat qui va dehors et de ma famille ,animals
estce que les animaux de compagnie peuvent transmettre le virus,animals
les animaux peuventils transmettre le covid19,animals
les animaux peuventils transmettre le virus,animals
combine de temps le virus peut rester sur le poil des animaux,animals
quelle est la procédure pour traiter les achats et denrées provenant des magasins,animals
estce que les animaux de compagnies peuvent être infectés,animals
les animaux domestiques peuventils être un vecteur de la maladie,animals
estce que les animaux de companie peuvent transmettre covid18,animals
estce que le virus est transmissible des animaux à lhomme,animals
estce que le virus est transmissible de lhomme aux animaux,animals
estce que mon chien peut être porteur,animals
jhabite dans un quartier densément peuplé et il y a beaucoup de gens des autres arrondissements qui y viennent pour faire leurs achats depuis la fermeture des centres commerciaux je pensais que cétait interdit de se déplacer dun quartier à lautre quel instance doisje contacter  la municipalité ou le gouvernement ,animals
estce que les chats transmettent le virus,animals
estce que mon chien peut lattrapper,animals
estce que caresser le chien de nos amis peut mener à une contamination,animals
estce que mon chat ou mon chien peuvent attraper la covid19,animals
estce que je dois laver tous mes achats à lépicerie,animals
est ce que les chiens chats peuvent attraper et transmette le virus  ,animals
estce que les animaux sont aussi porteurs du virus,animals
mon chat peutil être porteur ,animals
mon chat peutil attraper la covid,animals
mon chat reste libre de ces mouvements peutil ramener le virus à la maison  ,animals
estce que mon chien peut me transmettre le virus ,animals
un chat peut il être porteur,animals
comment on fait pour se protéger,caution
estce que je devrais porter un masque,caution
si jallaite et que jai le virus est ce que je peux le donner à mon bébé via mon lait maternel,caution
si jai eu le virus et que je suis guérie est ce que je peux quand même propager le virus,caution
je peux tu aller dehors,caution
