timestamp_est,anonymous_id,question,question_processed,cluster
2020-03-22 22:38:48.689,7825a83d-5731-44be-acd7-1df1abaf9823,Can dogs transfer the virus?,can dogs transfer the virus,covid-animals
2020-03-22 14:51:49.206,9943a63e-5fbb-4bfb-bcbf-a1ea626cddde,Can I get Ovid 19 if someone pets my dog and then I pet her? ,can i get ovid 19 if someone pets my dog and then i pet her ,covid-animals
2020-03-22 13:08:22.331,dc44373e-a58b-452c-a0af-5a6cd4d18442,Can I get the virus from a stray cat?,can i get the virus from a stray cat,covid-animals
2020-04-04 10:29:25.965,e2f4bc52-ac99-49df-843d-60f661edea18,Can I walk my dog with a friend who is walking their dog as long as we maintain 2 meters of physical distance?,can i walk my dog with a friend who is walking their dog as long as we maintain 2 meters of physical distance,covid-animals
2020-03-24 12:08:21.95,95d81462-2b73-4cad-98b2-d3aa11e68f5b,Can it Coronavirus be transmitted by animals?,can it coronavirus be transmitted by animals,covid-animals
2020-03-22 13:08:22.321,dc44373e-a58b-452c-a0af-5a6cd4d18442,Can my cat get the virus?,can my cat get the virus,covid-animals
2020-03-24 12:08:22.094,95d81462-2b73-4cad-98b2-d3aa11e68f5b,Can my dog be infected with it?,can my dog be infected with it,covid-animals
2020-03-28 16:35:50.536,b6221c04-2672-4423-8b32-080a1bc15268,Can my dog catch tbs ,can my dog catch tbs ,covid-animals
2020-03-23 14:45:00.243,53da0935-849b-4cb3-b747-3343279d2f80,Can my dog get COVID-19 and transmit it to other people?,can my dog get covid19 and transmit it to other people,covid-animals
2020-03-22 20:35:21.991,10bd6bb9-f50f-4d65-943a-5b1de75be3df,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",do we have this epidemic and many more to come because were not taking care of the earth were destroying more and more trees and humans are eating more wild animals that have viruses per a talk from alanna shaikh,covid-animals
2020-03-19 13:40:44.882,f75ca552-9cf8-4f52-8151-25c0cea0a8b0,Get I get infected from a dog?,get i get infected from a dog,covid-animals
2020-03-24 12:08:22.113,95d81462-2b73-4cad-98b2-d3aa11e68f5b,"If my dog is infected, where do I take him to get him help?",if my dog is infected where do i take him to get him help,covid-animals
2020-03-28 19:21:11.853,d92527a8-9fdd-44f3-ae30-beccda7695ea,Is the virus dangerous for animals?,is the virus dangerous for animals,covid-animals
2020-03-24 16:36:09.604,39829424-9032-4ec9-8a39-51e972b29e4a,"Ppl are still going out to walk out dogs and get some groceries, what is transmission situation when in grocery store, gas pump, ?, avoiding using cash can help ?",ppl are still going out to walk out dogs and get some groceries what is transmission situation when in grocery store gas pump  avoiding using cash can help ,covid-animals
2020-03-26 16:53:57.875,62b67f22-6764-47e4-9165-512cd31a6e56,After how much Time clothes or packets can be out of risk from spreading virus? ,after how much time clothes or packets can be out of risk from spreading virus ,covid-contagious
2020-03-25 20:14:22.501,b30b6510-aa83-42ab-b528-24d2da59319c,Are babies at high risk? ,are babies at high risk ,covid-contagious
2020-03-25 15:23:17.559,1deb4021-c0f9-4d59-a2c7-3e226fe0f779,Are patients with sarcoidosis more at risk of dying from COVID19?,are patients with sarcoidosis more at risk of dying from covid19,covid-contagious
2020-03-26 08:53:29.356,73e1e7a1-904c-49b6-9377-b9b6c41e14b1,Are pregnant women at high risks?,are pregnant women at high risks,covid-contagious
2020-03-23 08:35:41.25,fb8c308a-e920-42c9-86e1-4549263409fd,Are there any risk for the foetus? ,are there any risk for the foetus ,covid-contagious
2020-03-26 09:01:14.297,273729cb-80d1-4f9f-bab1-f818abe8a446,Do pregnant women have a higher risk factor?,do pregnant women have a higher risk factor,covid-contagious
2020-04-05 14:14:30.053,0fd11a83-9fc5-40ca-af80-4a38844ff549,Does working retail put you at a higher risk ,does working retail put you at a higher risk ,covid-contagious
2020-04-05 11:14:23.313,d57cd57d-bda5-4913-b61b-5afb926b099c,Has blood type been confirmed as a risk,has blood type been confirmed as a risk,covid-contagious
2020-03-25 13:33:04.929,a572def9-5633-4ca1-80df-3872ec8be862,How at risk are young people with immuno-deficiencies?,how at risk are young people with immunodeficiencies,covid-contagious
2020-03-23 04:59:05.371,9672977d-3f27-4b56-9b44-374146f6c106,how dangerous is it?,how dangerous is it,covid-contagious
2020-03-22 12:19:41.323,903c4ed7-a05b-4746-97fe-7c8dbb5f3343,How dangerous is it for me?,how dangerous is it for me,covid-contagious
2020-03-23 23:39:02.025,9fc506e4-92d2-47a6-947c-d705a8b2607b,How dangerous is the COV-19?,how dangerous is the cov19,covid-contagious
2020-03-24 08:39:29.071,98f9bff9-f7f3-4d2a-9382-86e50b393d40,how dangerous is the virus?,how dangerous is the virus,covid-contagious
2020-03-22 16:50:40.789,9552da69-8edc-4a5c-b643-c03b5b8c26fe,How dangerous it is for pregnant womens?,how dangerous it is for pregnant womens,covid-contagious
2020-03-22 01:28:31.765,e64e90e6-94ed-41dc-a309-e5c3681efd56,How to reduce the risk?,how to reduce the risk,covid-contagious
2020-03-21 17:46:41.075,53894a08-21b2-49cb-832d-cfa6c0683d4f,I am 24 years old. What is my risk of having severe symptoms of the virus ? ,i am 24 years old what is my risk of having severe symptoms of the virus  ,covid-contagious
2020-03-19 14:06:17.831,f75ca552-9cf8-4f52-8151-25c0cea0a8b0,"I had an asthma attack when I was young, but didn't have an episode for over 15 years. Am I still at risk?",i had an asthma attack when i was young but didnt have an episode for over 15 years am i still at risk,covid-contagious
2020-03-25 12:46:58.164,956230e9-ce2a-461b-a10f-52f30ba32217,I live with a smoker - am I at high risk for COVID-19?,i live with a smoker  am i at high risk for covid19,covid-contagious
2020-03-25 11:53:31.984,71aa6693-981e-468a-8b99-0d916f9cf025,I'm 8 months pregnant. M I hight risk?,im 8 months pregnant m i hight risk,covid-contagious
2020-03-22 06:54:02.826,7cf63134-49e1-4473-8b14-09502b95d7ea,Is covid very dangerous,is covid very dangerous,covid-contagious
2020-03-20 17:02:53.112,a061e1ea-7076-45c7-b063-fe37c9207e8f,is covid-19 dangerous,is covid19 dangerous,covid-contagious
2020-03-22 10:25:49.108,73986699-d214-46ff-8dd4-fb08a4e4c7a2,Is it dangerous to go for a walk?,is it dangerous to go for a walk,covid-contagious
2020-03-23 15:29:24.193,de319e5e-e479-4108-9528-53bf844cbac3,is it dangerous to order on line?,is it dangerous to order on line,covid-contagious
2020-03-21 21:39:35.52,0e6422b9-aaf8-46ec-8d2c-106fa7ec81af,is it dangerous to travel,is it dangerous to travel,covid-contagious
2020-03-22 01:16:41.448,9d8e530d-9af3-4a71-8cf0-87a798fbec78,Is the virus dangerous?,is the virus dangerous,covid-contagious
2020-03-25 14:31:12.703,26522270-c498-4ccc-8147-8922f7c32079,I’ve had a mild case of pneumonia before. I’m 30 years old. Am I at any additional risk? ,ive had a mild case of pneumonia before im 30 years old am i at any additional risk ,covid-contagious
2020-03-26 07:43:54.258,d1e35d54-8569-4fd7-a27c-8508895c4019,My father-in-law is more at risk because of his age. Should my mother-in-law be the one to get groceries or should we do it for them to lower the risk of my Mother-in-law being a transporter of the virus?,my fatherinlaw is more at risk because of his age should my motherinlaw be the one to get groceries or should we do it for them to lower the risk of my motherinlaw being a transporter of the virus,covid-contagious
2020-03-19 23:02:18.034,58cd9504-720d-44cd-89a2-4cc83cde7b90,Someone from quarantaine came to my office and stayed 20min. Is it a risk,someone from quarantaine came to my office and stayed 20min is it a risk,covid-contagious
2020-03-25 13:27:35.32,06f146f6-8863-4b80-81d0-2b82e2983b3e,what % of young people (under 50) hospitalized with covid-19 have underlying health conditions that put them at a higher risk of having a more severe form of the illness? ,what  of young people under 50 hospitalized with covid19 have underlying health conditions that put them at a higher risk of having a more severe form of the illness ,covid-contagious
2020-03-26 11:03:02.195,1c805e30-2203-4c15-a79f-933adf219a70,What are the risk factors for COVID-19?,what are the risk factors for covid19,covid-contagious
2020-03-21 16:52:42.242,3d8b0fe1-ac29-4c02-acab-a4834608a0a4,What are the risks for a person between 20 and 40 years old with asthma?,what are the risks for a person between 20 and 40 years old with asthma,covid-contagious
2020-03-23 20:23:47.855,5af1b8a0-ab45-4500-98be-16267b9dd9cd,What are the risks for people with diabetes? ,what are the risks for people with diabetes ,covid-contagious
2020-03-22 15:03:24.233,2e1e637d-fdaa-49be-84df-9bee02ba6abb,what are the risks for someone aged 65?,what are the risks for someone aged 65,covid-contagious
2020-03-29 01:10:27.649,a94c65fb-330e-46ef-bda2-9eec5b07bfbe,What are the risks involved for heart patients,what are the risks involved for heart patients,covid-contagious
2020-03-26 08:53:29.349,73e1e7a1-904c-49b6-9377-b9b6c41e14b1,What are the risks to pregnancy in week 12?,what are the risks to pregnancy in week 12,covid-contagious
2020-03-23 11:40:28.89,f2c35a0b-1566-401d-9186-8a5fa1e7e2b5,what is my level of risk?,what is my level of risk,covid-contagious
2020-03-23 08:35:41.214,fb8c308a-e920-42c9-86e1-4549263409fd,What is the risk for a pregnant women?,what is the risk for a pregnant women,covid-contagious
2020-03-23 11:24:35.586,13920756-b979-4526-b6ec-9bcde875a04a,what is the risk for a pregnent woman ?,what is the risk for a pregnent woman ,covid-contagious
2020-03-21 16:52:42.209,3d8b0fe1-ac29-4c02-acab-a4834608a0a4,What is the risk for an asthmatic ?,what is the risk for an asthmatic ,covid-contagious
2020-03-30 08:48:29.121,542da6df-f143-4d78-a6ac-ba8ec8a6cc32,What is the risk of getting the virus from fresh produce bought at the store?,what is the risk of getting the virus from fresh produce bought at the store,covid-contagious
2020-04-07 10:49:38.652,c15e5cf8-b90e-4b99-b7ad-1edf1d82070f,What is the risk that the virus will mutate and become deadlier?,what is the risk that the virus will mutate and become deadlier,covid-contagious
2020-03-23 08:35:41.274,fb8c308a-e920-42c9-86e1-4549263409fd,What mesures needs to take a pregnant women to reduce the risk?,what mesures needs to take a pregnant women to reduce the risk,covid-contagious
2020-03-25 14:47:43.797,39907ddc-a198-47fe-9fef-bc29c686cbdb,what’s the risk for pregnant health care workers,whats the risk for pregnant health care workers,covid-contagious
2020-03-21 17:39:34.389,83f51718-d521-4b00-9f0e-01e5b2f5d68f,Who is at risk?,who is at risk,covid-contagious
2020-03-22 19:06:03.095,a245370e-481d-439b-ad2b-d5d10262c63e,who is at risk of dying after contracting the virus?,who is at risk of dying after contracting the virus,covid-contagious
2020-03-22 09:35:47.335,13b14987-413a-4d47-8e56-3af43f79db8a,Who is most at risk? ,who is most at risk ,covid-contagious
2020-03-22 12:18:33.806,af8daa2f-2609-4f7a-b0e4-0ea610116216,Why corona is so dangerous ,why corona is so dangerous ,covid-contagious
2020-03-23 09:48:03.3,4908294c-4ead-43d9-a5de-b8b6e2625338,Can I see my barber at his home out in the open with globes and mask?,can i see my barber at his home out in the open with globes and mask,covid-fight
2020-03-29 21:18:52.342,622dd328-0fb5-41f1-8421-b44a3237bf74,Do gloves help? Don't they get infected?,do gloves help dont they get infected,covid-fight
2020-03-22 21:15:02.508,9a4d12a5-a1f1-410a-8870-a875a5e0b251,Do I have to wear a mask all the time if I am not infected?,do i have to wear a mask all the time if i am not infected,covid-fight
2020-03-22 08:21:05.464,dd5f4300-766c-404b-97bd-80b1b0afb126,Do I have to wear gloves and mask?,do i have to wear gloves and mask,covid-fight
2020-03-24 02:09:59.214,7e2c7e4f-ee93-493e-a7bc-da75e802681a,Do I need a mask if I am not confirmed to have been affected yet?,do i need a mask if i am not confirmed to have been affected yet,covid-fight
2020-04-07 10:32:19.525,751f9342-022a-41fc-8ef5-48cca8f134b4,Do I need to wear a mask?,do i need to wear a mask,covid-fight
2020-03-22 15:11:55.196,240da2c0-b4a2-462d-af36-25e114d89d45,Do I need to wear a mask? I heard it’s worse if you touch your face,do i need to wear a mask i heard its worse if you touch your face,covid-fight
2020-03-22 10:24:55.843,7690e3a4-6bdd-4a81-90d6-38df7303c4a0,Do I need to wear mask?,do i need to wear mask,covid-fight
2020-03-23 06:49:13.574,72dbf594-f0d0-4fe1-882e-5ebb1b333dc8,Do we need to wear a mask?,do we need to wear a mask,covid-fight
2020-03-23 06:48:22.399,72dbf594-f0d0-4fe1-882e-5ebb1b333dc8,Do we need to wear mask?,do we need to wear mask,covid-fight
2020-03-23 11:58:03.019,3f0ba3be-0884-4acc-a501-59ae99120336,Does a mask actually help if I'm not sick?,does a mask actually help if im not sick,covid-fight
2020-03-21 02:07:43.764,db5a20f9-6ce4-4c89-9833-f4fa5bb70b98,Does eating Oranges daily help to fight this virus,does eating oranges daily help to fight this virus,covid-fight
2020-03-23 17:19:33.459,95b3bca1-4e02-49bf-8eda-e7e65c6282e3,Does Wearing gloves help?,does wearing gloves help,covid-fight
2020-03-21 23:53:24.388,48e5c93c-f718-498e-aff9-266ae471fd7d,How can BlueRidge.ai help fight this virus?,how can blueridgeai help fight this virus,covid-fight
2020-03-29 21:18:52.338,622dd328-0fb5-41f1-8421-b44a3237bf74,How may times should I wear the same mask?,how may times should i wear the same mask,covid-fight
2020-04-05 07:20:13.245,370a829e-1438-4d66-83dc-d26af679ae78,How often do I need to change my mask?,how often do i need to change my mask,covid-fight
2020-04-05 11:21:28.703,f3094fd9-a124-44d0-998e-da89de1533cf,"I have no symptoms, and have not travelled outside of Canada since November 2019.  Do I need to wear any kind of mask when I go outside?",i have no symptoms and have not travelled outside of canada since november 2019  do i need to wear any kind of mask when i go outside,covid-fight
2020-03-31 15:21:39.398,865ad5d0-a2df-4be1-b456-2b42bbf855c7,"I have to go to hospital for ultrasound with high risk pregnancy. Other than gloves, what can I do to be safe? What do I do when I get home-change clothes, shower? ",i have to go to hospital for ultrasound with high risk pregnancy other than gloves what can i do to be safe what do i do when i get homechange clothes shower ,covid-fight
2020-04-06 13:55:59.109,229057d5-2d3a-46cf-9b64-f82a471e56a0,"I would like to go for a car ride, is this safe.  I will not be going anywhere else other than my vehicle.  I will be wearing gloves and washing hands upon my return ",i would like to go for a car ride is this safe  i will not be going anywhere else other than my vehicle  i will be wearing gloves and washing hands upon my return ,covid-fight
2020-03-23 14:00:58.759,e6e3baa4-42a4-428a-9777-626006854b7d,If i sew a mask - can this be effective? ,if i sew a mask  can this be effective ,covid-fight
2020-04-05 12:28:54.186,d2441cab-08ae-43ac-9797-57499a0a18b6,"If someone decides to make and weak a homemade mask - what pattern, process and materials are recommended?",if someone decides to make and weak a homemade mask  what pattern process and materials are recommended,covid-fight
2020-03-21 19:33:18.95,d1cd6b3b-f233-4177-b1e0-90381ca24617,Is it useful to wear a mask if we are not sick?,is it useful to wear a mask if we are not sick,covid-fight
2020-03-25 11:08:54.802,8a734a0c-55ca-404a-b9c4-c31c95ba78c4,Is there a medication to take to help me fight covid-19,is there a medication to take to help me fight covid19,covid-fight
2020-03-29 03:00:50.907,a3e4fda8-a826-4083-8d3d-e9f639184827,Is there a way for me and my family to get gloves and masks for when i need to go out for provisions. ,is there a way for me and my family to get gloves and masks for when i need to go out for provisions ,covid-fight
2020-03-26 13:27:58.718,a413b49d-130f-4c9a-8931-52103ade58ca,"Now we confirmed that asymptomatic Covid-19 carrier can spread the virus, shouldn't it be smart to treat everyone as potiential carrier and wear mask?",now we confirmed that asymptomatic covid19 carrier can spread the virus shouldnt it be smart to treat everyone as potiential carrier and wear mask,covid-fight
2020-04-05 20:12:30.615,7735ecb7-e1f9-482a-b687-35f84f9b29df,Should I wear a mask?,should i wear a mask,covid-fight
2020-03-24 11:26:58.574,9c8469f3-1a06-4664-9135-6c59593ca38e,Should I wear a mask?,should i wear a mask,covid-fight
