timestamp_est,anonymous_id,question,question_processed,cluster
2020-03-24T21:21:32.162Z,d81e89eb-621b-49ac-bebd-ead702e44502,C’est quoi le coronavirus?,cest quoi le coronavirus,about
2020-03-23T00:51:05.811Z,a78c1717-0b2b-4988-abf1-a2681e2a6f73,C’est quoi le coronavirus ?,cest quoi le coronavirus ,about
2020-03-21T10:59:53.366Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,c'est quoi le covid,cest quoi le covid,about
2020-03-23T09:05:13.614Z,378fe9b0-ee52-45d7-96d6-65be2a3cb422,C'est quoi le covid exactement?,cest quoi le covid exactement,about
2020-03-24T11:57:20.083Z,93d8fb28-de00-4ace-b728-a67aa3311235,c'est quoi le covid-19?,cest quoi le covid19,about
2020-03-21T17:34:08.549Z,d8f93e1c-180c-44c8-8c27-7ebeeceda751,Qu'est ce que c'est le COVID-19 ?,quest ce que cest le covid19 ,about
2020-03-26T14:00:54.193Z,3dbce385-eda2-4710-a22a-379ba60195d7,Qu'est ce que le covid 19,quest ce que le covid 19,about
2020-03-23T00:51:05.799Z,a78c1717-0b2b-4988-abf1-a2681e2a6f73,Qu’est ce que le Covid19 ?,quest ce que le covid19 ,about
2020-03-23T09:32:26.73Z,a2ccf036-a104-481c-9794-54ab053abc76,qu'est-ce que c'est la COVID-19?,questce que cest la covid19,about
2020-03-23T22:13:21.138Z,5be083e3-c7f4-4897-a621-404143b391ae,Qu'est-ce que la covid,questce que la covid,about
2020-03-25T18:42:50.438Z,7b391b61-5464-43c2-8257-8e880d685f80,Qu’est-ce que la covid  19?,questce que la covid  19,about
2020-03-23T10:43:30.306Z,f06c1bcc-5a69-4504-a68a-885c61aeb62b,qu'est-ce que la covid-19?,questce que la covid19,about
2020-03-23T12:27:40.625Z,07963047-657d-47be-8666-df2b820d01eb,Qu'est-ce que la covid-19?,questce que la covid19,about
2020-03-23T02:55:43.028Z,8f806cbf-f923-4496-875e-9bffd7d11d2d,Qu'est-ce que le Corona ?,questce que le corona ,about
2020-03-25T22:21:36.787Z,05099a8f-3ad9-485d-943a-6af5db97f271,Qu'est-ce que le coronavirus,questce que le coronavirus,about
2020-03-23T12:02:35.209Z,1f080672-a8b8-4d72-b881-8cc68bf2d74c,qu'est-ce que le covid-19,questce que le covid19,about
2020-03-22T08:33:42.004Z,645b0a55-5bae-4284-be2d-58ae9d4a010a,Qu'est-ce que le COVID-19 exactement?,questce que le covid19 exactement,about
2020-03-24T19:39:24.443Z,df5f23af-43f6-4314-91f6-fa9cc0f2e2e0,Qu'est-ce que veut dire COVID-19?,questce que veut dire covid19,about
2020-03-23T09:17:23.927Z,0a1b7ce5-1c3c-445e-bebf-c1b5899b950e,Combien de temps reste le virus sur un chat?,combien de temps reste le virus sur un chat,animals
2020-03-21T22:15:22.408Z,85286407-e3ef-4c2c-90d9-521f8e894f6b,Combine de temps le virus peut rester sur le poil des animaux?,combine de temps le virus peut rester sur le poil des animaux,animals
2020-03-25T07:59:44.157Z,7bc9ec51-0e7c-49ad-ba1f-99d7101adc4f,Doit-on craindre la transmission par nos animaux? ,doiton craindre la transmission par nos animaux ,animals
2020-03-22T19:14:42.499Z,e4e2178d-ab2e-49c9-ba3a-f3de5e5b0717,Est ce que le virus est transmissible par les animaux?,est ce que le virus est transmissible par les animaux,animals
2020-03-24T14:31:47.717Z,012b53f3-12a2-45b1-908c-ec05b3f902ca,est ce que les animaux peuvent transmettre le virus (et vice-versa)?,est ce que les animaux peuvent transmettre le virus et viceversa,animals
2020-03-22T16:50:50.774Z,2026dfd1-b062-4e96-9107-f01cd814c1cc,"Est ce que les chiens, chats peuvent attraper et transmette le virus ? ",est ce que les chiens chats peuvent attraper et transmette le virus  ,animals
2020-03-23T21:02:17.59Z,c19b7cb2-1e7c-45e1-abdd-387188e3e9c4,Est ce que mon chien ou chat peut l'attraper et me le transmettre?,est ce que mon chien ou chat peut lattraper et me le transmettre,animals
2020-03-22T17:53:53.649Z,5c6d77d5-4e2a-4a3e-838d-1dce011b2631,Est-ce que caresser le chien de nos amis peut mener à une contamination?,estce que caresser le chien de nos amis peut mener à une contamination,animals
2020-03-21T22:13:06.75Z,25c411a9-867c-4be5-b680-49802031661e,Est-ce que je dois laver tous mes achats à l’épicerie?,estce que je dois laver tous mes achats à lépicerie,animals
2020-03-25T14:59:03.287Z,7da3473c-b9bd-494a-b23e-7f3806a982b8,Est-ce que le virus est dangereux pour les animaux de compagnie?,estce que le virus est dangereux pour les animaux de compagnie,animals
2020-03-22T07:28:52.566Z,17dda59a-6378-4429-a6d9-9f2e056f893f,Est-ce que le virus est transmissible de l’homme aux animaux?,estce que le virus est transmissible de lhomme aux animaux,animals
2020-03-22T07:28:52.573Z,17dda59a-6378-4429-a6d9-9f2e056f893f,Est-ce que le virus est transmissible des animaux à l’homme?,estce que le virus est transmissible des animaux à lhomme,animals
2020-03-23T16:21:25.19Z,63babbd1-f22f-42d9-98ce-a95d8c3f8c6b,Est-ce que les animaux de compagnie peuvent transmettre le virus?,estce que les animaux de compagnie peuvent transmettre le virus,animals
2020-03-25T14:59:03.296Z,7da3473c-b9bd-494a-b23e-7f3806a982b8,Est-ce que les animaux de compagnie peuvent être porteur du virus?,estce que les animaux de compagnie peuvent être porteur du virus,animals
2020-03-24T16:20:43.812Z,a61e2a08-b48b-402a-b41d-f7f6cf49e548,Est-ce que les animaux de compagnies peuvent être infectés?,estce que les animaux de compagnies peuvent être infectés,animals
2020-03-24T14:05:12.193Z,0f851bb1-13a2-4540-812f-548c0caa9bae,est-ce que les animaux de companie peuvent transmettre covid-18?,estce que les animaux de companie peuvent transmettre covid18,animals
2020-03-25T06:31:52.07Z,1f1cb05f-9bd9-4ea8-92a0-ae3462a34ca5,Est-ce que les animaux peuvent transporter le virus?,estce que les animaux peuvent transporter le virus,animals
2020-03-22T07:28:52.576Z,17dda59a-6378-4429-a6d9-9f2e056f893f,Est-ce que les animaux sont aussi porteurs du virus?,estce que les animaux sont aussi porteurs du virus,animals
2020-03-22T14:19:30.917Z,809dfb49-774c-4e31-870f-765e4174483d,Est-ce que les chat peuvent transmettre le virus ?,estce que les chat peuvent transmettre le virus ,animals
2020-03-23T17:09:31.138Z,41d23312-0d04-483c-92bb-900cdba9f7bd,Est-ce que les chats transmettent le virus,estce que les chats transmettent le virus,animals
2020-03-21T22:13:06.851Z,25c411a9-867c-4be5-b680-49802031661e,Est-ce que mon chat ou mon chien peuvent attraper la covid-19?,estce que mon chat ou mon chien peuvent attraper la covid19,animals
2020-03-24T09:26:58.829Z,fa70d90c-f71a-45c5-bbce-311a07681952,Est-ce que mon chat peut attraper le covid?,estce que mon chat peut attraper le covid,animals
2020-03-22T10:44:58.348Z,a7f0c2cb-dcb7-45d9-b24b-27c92e0026f4,Est-ce que mon chat peut transmettre le virus?,estce que mon chat peut transmettre le virus,animals
2020-03-24T09:26:58.835Z,fa70d90c-f71a-45c5-bbce-311a07681952,Est-ce que mon chien peut attraper le covid,estce que mon chien peut attraper le covid,animals
2020-03-24T16:09:54.182Z,65c28bfc-3657-4d0d-ab3e-ddfda16c9d8a,Estce que mon chien peut l’attrapper?,estce que mon chien peut lattrapper,animals
2020-03-24T22:06:58.833Z,a19a29f8-9099-46e9-a21a-5d2e429a8e7b,Est-ce que mon chien peut me transmettre le virus? ,estce que mon chien peut me transmettre le virus ,animals
2020-03-22T12:58:34.005Z,211b6c7a-456e-426e-8038-bb9472654b15,Est-ce que mon chien peut porter le virus et nous le donner ? Si oui comment dois-je faire pour prendre soin de mon chien (ou mon chat qui va dehors) et de ma famille ?,estce que mon chien peut porter le virus et nous le donner  si oui comment doisje faire pour prendre soin de mon chien ou mon chat qui va dehors et de ma famille ,animals
2020-03-22T17:51:30.689Z,6cad4bb5-bacc-4f7f-842f-173f85b6f9e5,Est-ce que mon chien peut être porteur?,estce que mon chien peut être porteur,animals
2020-03-23T12:21:21.28Z,b0d51d1d-1f85-479d-834b-14595a4dccbe,J'habite dans un quartier densément peuplé et il y a beaucoup de gens des autres arrondissements qui y viennent pour faire leurs achats depuis la fermeture des centres commerciaux. Je pensais que c'était interdit de se déplacer d'un quartier à l'autre. Quel instance dois-je contacter : la municipalité ou le gouvernement ?,jhabite dans un quartier densément peuplé et il y a beaucoup de gens des autres arrondissements qui y viennent pour faire leurs achats depuis la fermeture des centres commerciaux je pensais que cétait interdit de se déplacer dun quartier à lautre quel instance doisje contacter  la municipalité ou le gouvernement ,animals
2020-03-25T16:08:46.341Z,7336ada1-57be-46d1-946c-dec6f8d7e0c1,"Les animaux de compagnies (chat, chien, reptiles) peuvent-ils attraper le virus et nous le transmettre ? ",les animaux de compagnies chat chien reptiles peuventils attraper le virus et nous le transmettre  ,animals
2020-03-25T21:37:00.803Z,44fb7882-5b30-4a9d-8bfb-f5b956d324cf,Les animaux domestiques peuvent-ils être un vecteur de la maladie?,les animaux domestiques peuventils être un vecteur de la maladie,animals
2020-03-21T17:05:17.598Z,5882aa1f-95de-4469-bb0f-5d117bdf19b9,Les animaux peuvent-ils transmettre le COVID-19?,les animaux peuventils transmettre le covid19,animals
2020-03-22T09:50:06.074Z,8c27f779-4240-46d5-af58-53798a7c51fc,Les animaux peuvent-ils transmettre le virus?,les animaux peuventils transmettre le virus,animals
2020-03-21T22:22:58.066Z,d9df507b-3d73-4a7c-bff8-d2fd90664e34,Les animaux (sauvages ou domestiques) peuvent-ils contracter le virus?,les animaux sauvages ou domestiques peuventils contracter le virus,animals
2020-03-22T17:04:08.733Z,baa1f9ae-a6e6-4f7b-850e-133fc0807379,Mon chat peut-il attraper la Covid?,mon chat peutil attraper la covid,animals
2020-03-23T13:43:11.211Z,ccc78c8c-c526-4488-9802-eef4e8b0e62f,Mon chat peut-il être porteur ?,mon chat peutil être porteur ,animals
2020-03-21T19:50:01.288Z,ceae6bf7-a5ec-4832-934d-211ebc182948,"Mon chat reste libre de ces mouvements, peut-il ramener le virus à la maison ? ",mon chat reste libre de ces mouvements peutil ramener le virus à la maison  ,animals
2020-03-23T12:27:40.636Z,07963047-657d-47be-8666-df2b820d01eb,Mon chien peut-il me transmettre le virus,mon chien peutil me transmettre le virus,animals
