,question,translated_question
3,LP TEST question,LP TEST question
6,"Je fais une sarcoidose pulmonaire, je suis tu plus a risque si jamais j attrape le covid 19","I have pulmonary sarcoidosis, I'm more at risk if I ever catch covid 19"
11,Est ce que la toux est sèche ou grasse?,Is the cough dry or oily?
20,Est-ce que je devrais travailler de la maison?,Should I work from home?
21,"Si j'ai des symptômes faible (toux seulement) et que je suis en isolement à la maison. Je ne suis pas sortis du pays, je n'ai pas cotoyés de gens qui reviennent de l'extérieur et je n'ai pas utilisé de transport en commun. Est-ce que je peut quand même sortir dehors en évitant de passer à moins de 2m d'une autre personne ?","If I have weak symptoms (cough only) and I am in isolation at home. I did not leave the country, I did not mix with people returning from outside and I did not use public transport. Can I still go outside avoiding going less than 2m from another person?"
22,J’ai une fièvre est ce que je dois rester chez moi ou aller au travail sans aucun souci? ,I have a fever should I stay at home or go to work without any worries? 
23,que dois-je faire si je travail et je suis malade,what should i do if i work and i am sick
24,"Je suis pharmacienne communautaire et je prends des immunosupresseurs tel que le plaquenil, le mtx ainsi que humira. Je me demande s'il se","I am a community pharmacist and I take immunosuppressants such as plaquenil, mtx as well as humira. I wonder if he"
25,Info santé 811 nous a dit qu'il nous appelerais pour un rendez-vous mais ils n ont pas encore que faut il faire pour avoir un rendez vous de dépistage ,Health Info 811 told us that he would call us for an appointment but they have not yet done what to do to have a screening appointment 
26,"je vous contacte pour mon conjoint qui n’a pas accès à internet, ni téléphone. Il travail dans une centrale nuclélsire dans la grande région de Toronto. Il est très exposé aux risques d’attraper le virus. Il y a environ 3000 travailleurs à chaque jour qui passent au meme endroits. Il est contracteur, et la Centrale a décider de renvoyer les contracteur chez eux par mesure préventive, car il y aurait eu des travailleurs avec des symptomes qui sont repartis à la maison cette semaine. Mon chum a un système immunitaire assez bas, il a même une crise de Zona en ce moment. Il aimerait se faire tester pour la Covid 19 AVANT de revenir à la maison, pour éviter de contaminer notre petite famille. ","I am contacting you for my spouse who does not have internet access or a telephone. He works at a nuclear power plant in the greater Toronto area. He is very exposed to the risks of catching the virus. There are around 3000 workers every day who pass through the same places. He is a contractor, and the Centrale decided to send the contractors home as a preventive measure, because there were workers with symptoms who went home this week. My boyfriend has a pretty weak immune system, he's even having a shingles attack right now. He would like to be tested for the Covid 19 BEFORE coming back home, to avoid contaminating our small family."
29,J aimerai savoir mes fille 3 ans et 4 ans son asmatique et ma plus a un problème de systeme immunitaire et je fais une bronchite mon travail demande que je rentre quand meme malgre la situation quels sont mes recours je mets ma famille en danger et moi meme ,I would like to know my daughter 3 years and 4 years her asmatic and my more has a problem of immune system and I make a bronchitis my work asks that I return anyway despite the situation what are my remedies I put my family in danger and myself 
30,Je me demande s'il serait mieux de cesser le travail pour l'isolement à la maison?,I wonder if it would be better to stop work for home isolation?
32,LP test question,LP test question
