"timestamp_est","anonymous_id","language","question"
"2020-03-18 17:57:10.427","7302144e-abbe-4fa4-aaf1-cf5eb674a862","en","What is Dialogue's position on sick notes?"
"2020-03-19 11:16:11.354","5a65a4bd-05aa-4ca8-b6da-5f807bde3294","en","What are Dialogue services?"
"2020-03-19 14:17:16.246","6d60c897-dd96-483d-b528-b65fcae4c1b0","en","Should I practice social distancing? "
"2020-03-19 14:00:19.88","71a29314-2b32-43d5-b09a-1795a5380e60","fr","LP TEST question"
"2020-03-19 14:16:05.351","f264fd4b-de03-4dc0-8531-fa9d0a1b0633","en","I'd love to know how long I can be contagious?"
"2020-03-19 14:05:22.01","b09dc15d-a003-475a-8a88-9e6a039accb6","en","Can I travel?"
"2020-03-19 13:47:48.848","0b0df84f-dcc5-42c0-980e-bafacd3bbdbe","fr","Je fais une sarcoidose pulmonaire, je suis tu plus a risque si jamais j attrape le covid 19"
"2020-03-19 13:40:44.882","f75ca552-9cf8-4f52-8151-25c0cea0a8b0","en","Get I get infected from a dog?"
"2020-03-19 23:02:18.034","58cd9504-720d-44cd-89a2-4cc83cde7b90","en","Someone from quarantaine came to my office and stayed 20min. Is it a risk"
"2020-03-19 14:20:00.831","8939cba6-f923-44fe-9cf4-8a56e198778b","en","What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?"
"2020-03-19 14:10:37.901","cb2c4687-5420-4370-a4fe-776ee5d10fc4","en","can I go outside"
"2020-03-19 15:39:52.508","b3cd859f-a9f3-4985-a884-0a8387a9daa4","fr","Est ce que la toux est sèche ou grasse?"
"2020-03-19 14:16:03.429","34327a70-7e54-4f53-bdf6-6809c83a8d5e","fr","Je ne me sens pas bien "
"2020-03-19 14:08:51.894","04fd4b84-3015-492f-aa37-eacf6e432a70","en","If you start showing flu symptoms should you consult a doctor or stay home?"
"2020-03-19 12:27:51.796","80717fa4-5254-4605-a17f-4288aad9a618","en","Are we all going to die?"
"2020-03-19 14:40:42.773","4c2c5c1b-2327-45d5-8c63-901cac28ea30","en","Can I go for a run? Does running/exercise compromise my immune system? "
"2020-03-19 14:17:16.25","6d60c897-dd96-483d-b528-b65fcae4c1b0","en","If I think I have symptoms of COVID19 should I go to the emergency room? "
"2020-03-19 13:55:41.747","59eafb5a-76c4-4e07-891d-6e79276fa82d","fr","Bonjour,"
"2020-03-19 14:06:17.831","f75ca552-9cf8-4f52-8151-25c0cea0a8b0","en","I had an asthma attack when I was young, but didn't have an episode for over 15 years. Am I still at risk?"
"2020-03-19 17:59:25.201","ce80a1dc-7cbd-4922-8b00-b491a17da62e","en","mental health"
"2020-03-19 18:59:07.385","9d2640e3-f634-4b95-85a0-4c6060c3ebaf","fr","Est-ce que je devrais travailler de la maison?"
"2020-03-19 18:08:56.871","d4b6deb3-886d-4746-81bf-3a1f6892b085","fr","Si j'ai des symptômes faible (toux seulement) et que je suis en isolement à la maison. Je ne suis pas sortis du pays, je n'ai pas cotoyés de gens qui reviennent de l'extérieur et je n'ai pas utilisé de transport en commun. Est-ce que je peut quand même sortir dehors en évitant de passer à moins de 2m d'une autre personne ?"
"2020-03-19 19:40:32.987","328ca7d6-c2c6-4977-897d-88e8066163e7","fr","J’ai une fièvre est ce que je dois rester chez moi ou aller au travail sans aucun souci? "
"2020-03-20 10:58:39.806","6a7eff0e-2446-4545-b16d-9b642051e9bf","fr","que dois-je faire si je travail et je suis malade"
"2020-03-20 11:08:16.057","2cf1d255-62d3-4f65-869e-d08648c25dbe","fr","Je suis pharmacienne communautaire et je prends des immunosupresseurs tel que le plaquenil, le mtx ainsi que humira. Je me demande s'il se"
"2020-03-20 11:14:07.001","10f6c51e-8097-469e-9f77-ed67e039c9b5","fr","Info santé 811 nous a dit qu'il nous appelerais pour un rendez-vous mais ils n ont pas encore que faut il faire pour avoir un rendez vous de dépistage "
"2020-03-20 10:32:08.412","f02c477f-ca49-43d3-a93b-cfed6cffa34c","fr","je vous contacte pour mon conjoint qui n’a pas accès à internet, ni téléphone. Il travail dans une centrale nuclélsire dans la grande région de Toronto. Il est très exposé aux risques d’attraper le virus. Il y a environ 3000 travailleurs à chaque jour qui passent au meme endroits. Il est contracteur, et la Centrale a décider de renvoyer les contracteur chez eux par mesure préventive, car il y aurait eu des travailleurs avec des symptomes qui sont repartis à la maison cette semaine. Mon chum a un système immunitaire assez bas, il a même une crise de Zona en ce moment. Il aimerait se faire tester pour la Covid 19 AVANT de revenir à la maison, pour éviter de contaminer notre petite famille. "
"2020-03-20 10:45:23.373","0e7ed3f5-c36e-4d36-a831-23abbb3f10f9","en","What are the symptoms? Is vomiting one of them ?"
"2020-03-20 10:06:50.556","267d9215-d7a2-49c7-b778-f9a0a0cbbdb2","en","if i think i have it, should i got get tested"
"2020-03-20 11:13:42.652","fcf2a352-45da-40b5-9fb3-9684ab71b49c","fr","J aimerai savoir mes fille 3 ans et 4 ans son asmatique et ma plus a un problème de systeme immunitaire et je fais une bronchite mon travail demande que je rentre quand meme malgre la situation quels sont mes recours je mets ma famille en danger et moi meme "
"2020-03-20 11:08:16.062","2cf1d255-62d3-4f65-869e-d08648c25dbe","fr","Je me demande s'il serait mieux de cesser le travail pour l'isolement à la maison?"
"2020-03-20 17:02:53.112","a061e1ea-7076-45c7-b063-fe37c9207e8f","en","is covid-19 dangerous"
"2020-03-20 17:03:45.262","71a29314-2b32-43d5-b09a-1795a5380e60","fr","LP test question"
"2020-03-20 16:29:58.774","4a67e634-6653-4a89-9b7c-ff3fcb6153ec","fr","Désolé e. C'est fini! Merci"
"2020-03-20 12:41:18.285","afaf41f0-251f-4351-916b-c4090e06f920","fr","L’écoulement nasal est-il un symptôme ?"
"2020-03-20 15:24:19.841","aa2931e9-bac7-4345-9850-c975e8f3b69c","en","something something this is jared testing"
"2020-03-20 16:31:18.978","dc065361-3739-4ccb-b0ad-0bf81ee0da6a","en","What range is the fever at normally if COVID-19 suspected?"
"2020-03-20 12:41:18.293","afaf41f0-251f-4351-916b-c4090e06f920","fr","Pouvez vous me décrire la différence entre toux sèche et toux grasse"
"2020-03-20 15:43:51.453","0f708053-4c32-4972-b280-1406d65be370","fr","Mon copain travail dans le même garage qu'un autre dont les beaux-parents sont en attentes de résultats e dépistage, s'ils ne travaillent pas côte a côte, est-ce que ça me met a risque de voir mon copain?"
"2020-03-20 18:10:01.5","92f6836c-4340-4186-b017-9e3156b4635c","fr","Si on fait du diabète de type 2 et qu'on est traité pour de l'hypertension, on devient combien plus vulnérable qu'un individu sans problème de cette nature?"
"2020-03-20 19:53:30.054","b80bb5e0-f0ba-42a5-b906-3d897a4d3ad5","en","Puis-je sortir prendre une marche si je fais de la fièvre?"
"2020-03-20 20:18:35.88","7bf79286-b8fe-4aa0-a9f0-cb53d3e77ddd","fr","pourquoi dois-je être en confinement"
"2020-03-20 22:04:28.575","21839e4b-e5cd-4a69-ae87-58cb47db97eb","en","I got the flu two weeks ago and are getting symptoms again"
"2020-03-21 11:52:34.441","02c8b1be-a9a9-4d20-a818-0fb273124620","fr","Je suis revenue de voyage (en provenance de la France) le 6 mars dernier et j'ai une sensation de brulure dans les bronches depuis quelques jours, dois-je prendre rendez-vous pour me faire tester? Ou simplement rester chez moi et attendre."
"2020-03-21 11:25:45.462","243ce221-7ad9-4421-9c34-f078bb5f4461","fr","Peut-on avoir la COVID-19 2 fois? "
"2020-03-21 11:32:09.913","470bcaef-ae5a-45ad-a380-b79ad65d42b8","en","Is it safe to go outside for a walk (social distancing from others)?"
"2020-03-21 11:40:04.219","863d125e-dfb0-4638-aaba-d191ac9bb9e9","fr","Est ce que la question: arrivez vous de voyage, est "
