,question,ahc_label
1217,What's happen for country near the Ecuador with a lot of hot? ,0
342,What is the advice surrounding outdoor exercise/sport?,0
348,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,0
586,Will the virus affect my sexual ability ,0
1265,"I was in contact with a person who had coronavirus, what should I do? ",0
1264,"What measures can I take, if someone I know is effected with the virus",0
1263,Can I fo,0
1260,Do I need to be seen by a doctor,0
1266,What is your name,0
583,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,0
901,"Hello, I am social distancing and taking precautions, however I have to share a communal sink. I try to stay as safe as possible by cleaning it, but I have touched the knobs with my bare hands without thinking, can germs spread this way? Should I avoid the sink in general? Thank you! ",0
578,what is canada quarantine policy?,0
366,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",0
683,I need to take a blood test. Is there a large risk for infection?,0
905,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,0
1203,Should I use asprin with I have the coronavirus?,0
1202,How are you?,0
1248,"im sneezing, should i be worried?",0
1197,"What are the demographics of people infected, hospitalized and deceased in Quebec, ",0
339,How often should i take my temperature?,0
895,Do I need to stay away from my family members if we're all social distancing together in the house?,0
1434,When will the municipalities post heat maps to identify hot spots for Covid positive residents?,0
985,"I'm hot, what do I do?",0
298,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",0
865,who needs to be isolated?,0
1394,I have a headache for the past 3 days should I be tested ? ,0
1366,My son is flying from Kansas to England on the 30th April. He is flying into Heathrow and then travelling home to Manchester by train,0
306,why is my dick so big,0
589,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,0
608,what is this site,0
1339,How do i knew if i got covid,0
1336,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",0
883,"If there are kids around me, do I have to worry if they are infected and I do not know?",0
1312,Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?,0
1309,How long has the virus been spreading in Canada?,0
888,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,0
1284,Can I go out after recovery even if I am still in quarantine time?,0
868,Should I not touch my mail?,0
1191,WHat is your name,0
907,What are effective immunity boosters?,0
1166,Do I need to wash my vegetables and fruits?,0
555,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,0
1050,what is pandemic,0
479,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,0
1048,How much it's prevelent in Pakistan?,0
553,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,0
1038,What is the half-life of coronavirus?,0
494,When will be done?,0
1069,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,0
495,Does temperature has any effect on the virus,0
1026,How many days should I isolate for,0
512,Why is Trudeau asleep?,0
946,Does everyone infected need a respirator?,0
951,Is it safe to give blood?,0
1000,How fast will the pandemic spread in Canada?,0
525,Is ACE Inhibitor harmful ,0
999,Should I be worried about getting sick if the government does not lock down everything?,0
547,Will 1 meter distancing safe?,0
1073,what is the risk for a pregnent woman ?,0
1079,When will life get back to normal?,0
1085,Will the pandemic affect university research?,0
1147,I recently relocated to Quebec. Can I request RAMQ card with visiting the RAMQ office?,0
1143,When will we be back to work?,0
909,What is the current COVID-19 confirmed cases trend for Canada?,0
417,When should I visit a doctor?,0
419,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",0
1122,"Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide, instead of scrambling, or ordering these last minute, and also have enough hospitals built, because if we don't do that, we'll have to do what China did and build a hospital at the last minute?",0
422,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,0
428,Can COVID-19 stay alive on fresh fruit and vegetables?,0
429,"Hello, what happens after corona?",0
912,When should I contact a doctor?,0
432,I worry for my mental health during quarantine,0
564,Will there be any changes in PGWP?,0
917,Were there documented cases before January 2020?,0
449,When will the schools reopen?,0
926,How should I keep my family safe during covid-19?,0
456,Is it true that you can get the virus again even after you've recovered ,0
1090,Can you get the virus twice ? ,0
854,What precautions should I take with things delivered at home?,0
1449,Have there been any deceased children so far?,0
1400,Is it possible to be infected again?,0
282,Should I star home and even avoid going to the supermarket and drugstore?,0
663,how are you,0
123,Do we see a future where this virus won't be such a threat anymore? ,0
1711,How many days does it take to see the symptoms,0
136,Non,0
1696,"If I was traveling abroad recently, what should I do when coming back home?",0
149,what are the syptoms?,0
154,How many infected person in south korea?,0
111,What is,0
1686,how much fever should i tolerate before going to the doctor? ,0
1649,What's the capital of Palestine?,0
744,Is it safe to get a new job that deals with the public?,0
1645,Can I still go out for grocery shopping even if I'm just getting back from vacations,0
165,Are there still flights within Canada?,0
1641,How many will lose their jobs due to the chinese virus?,0
1451,Should I use Sudafed?,0
789,Has the virus evolved,0
742,Should I take the metro?,0
797,How do we best organize people so that duplicate work is not being done?,0
1722,I have asthma. How at risk am I about the possibility of complications?,0
48,South korea,0
1847,Is the phlegm color suggestive of coronavirus? ,0
1831,should I worry about covid 19?,0
7,What are the synthoms?,0
1817,how painful will it be if I got the virus?,0
1812,How to stay safe,0
702,Will it get better in summer with higher temperatures?,0
14,covid19 symptons?,0
1739,How much the quarantine process has a positive impact on reducing contamination spread?,0
1788,could we have done better?,0
19,How to avoid exposure?,0
1787,what is this rainbow thing that people are talking about,0
1779,"should I call to find out more, it’s the coughing and difficulty breathing and fatigue that worries me",0
1775,Can I move in with family if we have all been symptom free for 14 days?,0
669,Can you explain to me what is the covid19?,0
716,Hypertension ,0
1741,What should you do if you dont have water and soap and sanitizer?,0
18,What is it,0
179,Precautions to measure? ,0
994,how long would it take for the virus to disappear ? ,0
1555,How are you ,0
625,Are there any federal or provincial services to help senior citizens get grocery safely?,0
627,How long do we need social distanciation for the virus to be less of a threat? ,0
824,Where did COVID-19 come from?,0
1546,Does washing clothes in the  washing machine prevent transmission ? ,0
240,Where can we find ventilator?,0
1548,What are the confirmed symptoms of COVID19,0
1495,It would possible to predict the time of this pandemic?,0
186,How many confirmed cases in Ontario now?,0
230,Chlono,0
1556,How to take care of infected people ,0
1558,I have a bit of nausea and headache. Do i have covid-19?,0
1565,Sorry I het enter before I was done.. am I just being paranoid and giving myself an ulcer.. my husband has pulmonary fibrosis so I’m really worried about him ,0
1577,"If this is really deep learning, how deep is your model😂",0
1511,I had a bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus?,0
813,How many thing you do not understand,0
814,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",0
1614,Should I be moving house during a pandemic?,0
187,"If I’m sneezing, should I get tested for corona virus?",0
635,What should I do?,0
809,How am I supposed to work while I have two young children at home?,0
190,Is headache a symptom of this pandemic? ,0
1468,When this virus terminated?,0
1613,Is it transmissible through anal sex ?,0
194,How much longer will society need to socially isolate?,0
1620,Should I visit my parents in a seniors home?,0
1615,when will germany reach the peak?,0
