,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13,cluster_#14
Count,24,328,30,87,32,15,16,33,12,9,19,14,19,17,31
0,How do I know if I haver coronavirus?,When should I go to the hospital?,what is covid-19,What is the impact that covid-19 has in the economy?,Is there a vaccine for corona virus?,what are the symptoms,What's covid19?,Which country infected ? ,what are the symptoms of COVID-19?,What is the incubation time of the virus?,How many confirmed cases in Ontario now?,"If I’m sneezing, should I get tested for corona virus?",How many people have dies,I think I have a fever. What do I do?,I'd love to know how long I can be contagious?
1,What is coronavirus ?,Does the virus spread by rain?,What is Covid-19?,Can the Covid survive in the air?,what is the death rate of the new corona virus,What are the symptoms,covid19 symptons?,How many infected person in south korea?,Symptoms of Covid ,Is the virus infectious during incubation period?,How many cases in Quebec? ,which hospital takes the test for covid 19?,who is at risk of dying after contracting the virus?,I have fever what I should do,How long before symptoms start to show? 
2,How long are you contagious if you have Coronavirus?,What are the synthoms?,What is the covid?,Does covid-19 test anonymous?,may I know what is corona?,what are the symptoms,What is Covid19,I have cough. Does that mean I might be infected?,What are the symptoms of Covid-19?,What is the incubation time of covid-19 by age,How many cases in Montreal?,Where should I be tested ?,how many people positive result with COVID-19,Is fever the main symptom for vivid-19,How long does it last? 
3,How do I treat coronavirus?,What mesures needs to take a pregnant women to reduce the risk?,What is covid,Is itchy throat sign of covid 19,Symptoms of corona,What are the symptoms ,How can I make the difference between a cold and covid19?,What is the current situation of COVID-19 infections?,What is the covid-19 symptoms? ,What is the incubation period for COVID-19?,how many cases are there in Washington state,Where can I get tested?,how many people died?,What if I have cough ?,How long does it last once infected ?
4,Is it true that warm kills Coronavirus?,Do you think Taiwan is good?,What is the COVID-19?,What are the symptoms of vivid 19?,"Hello, what happens after corona?",What are the symptoms,What are the symptoms of the covid19?,How do people get infected with Coronavirus?,What are the symptoms of COVID-19?,What’s the incubation period? ,How many cases in Montreal,where can I test for covid,What is the probability of dying?,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",How long does the virus live on clothes?
5,Is it true that warm kills Coronavirus?,How's the shortness of breath?,what's is COVID-19?,when covid 19 is going to stop?,How do I know if I have the corona virus,Symptoms,What's covid19? ,How many people are infected in Lithuania?,what are the symptoms of covid-19,What is the period of incubation?,How many case in montreal,"I would like to get COVID19 test, where can I get it?",how many people in America?,Is a cough but no fever a symptom?,How long am I infectious for
6,"I think I have coronavirus, should I go to the emergency",Is the Asymptomatic Carrier a temporary status? ,Covid-19,if my tempreture is over 39 can i assume that i have covid-19 ?,Whats corona,Symptom,Can you explain to me what is the covid19?,Am I infected,What are the symptoms of COVID-19?,What is the incubation period? ,How many COVID-19 related deaths have there been in Montreal?,How can I get help?,How many people have it in my town?,is fever a symptom of coronavirus? ,How long can the covid-19 survive outside the body
7,Will high temperature kill coronavirus?,What is it,What is covid?,Impact of covid,how much does corona virus stay on each kind of surfaces?,What do I do if I have symptoms?,What are the symptoms of covid19,What do I do if I suspect I'm infected?,What are the symptoms of Covid-19?,How long is incubation period? ,How many cases in Montreal ,Where do we get the test for COVID-19?,How does it die in asymptomatic people?,I am coughing but I don't have fever. Could I have covid-19?,How long is the treatment?
8,what are the main symptoms of coronavirus,How to avoid exposure?,What is covid 19?,Will herd immunity be the only means of eradicating COVID-19?,What are the symptoms of Corona?,What are symptoms ,What are the symptoms of covid19?,how can I prevent to get infected?,symptoms of covid-19,How long does this virus incubate? ,How many cases in Quebec ,Were can I get tested? ,how many people have died in the US?,What should I do if I have fever?,How long does it take to recover?
9,How do I know if I have the flu or coronavirus,South korea,What is covid,how is covid 19 spread?,Why is it called Corona virus?,What are the Symptome ,What's covid19,Which country infected ? ,what are covid-19 symptoms?,-,How many days should I isolate for,I was very sick with covid symptoms in late February and still coughing . Should I go get tested,Can I die from Covid-19?,Does the fever persists in corona ,how long would it take for the virus to disappear ? 
10,Can anti-viral drugs be used to treat the coronavirus?,What is,Covid?,How does COVID-19 spread?,What shall I do if I have to go out to buy things to protect myself from corona virus?,Symptom,What is covid19?,What should I do if i think that i'm infected ?,what are covid symptoms,-,How many cases of covid in laval,"if i think i have it, should i got get tested",What are the risks for people with diabetes? ,"i am coughing, what should i do?",How long will I be sick if I get the virus
11,How to differentiate between coronavirus and simple flu?,Will the heat of the summer help fighting the virus?,What is COVID 19?,Will social distancing slow the spread of covid-19?,how to know if i have corona,what is the symptoms?,Who can I make the difference between a cold and covid19?,How long until an infected person shows symptoms?,What are the symptoms of COVID-19,-,In how many days can covid be cured? ,where can I get tested,how many people die for cover?,I have shortness of breath but no fever,How long will it last?
12,What's the difference between COVID-19 and CoronaVirus?,Do we see a future where this virus won't be such a threat anymore? ,What is covid,How does COVID-19 kill its victims?,What are the symptoms of corona virus,What are the symptoms?,What are the Symptom for covid19,Can this virus infect me in an airborne fashion?,-,-,How many death in Quebec?,How to know if I get COVID-19 or not?,How many people died in NYC,What should I do if I start coughing?,How long does the virus survive on a surface like a doorknob?
13,What is the half-life of coronavirus?,Do the virus stay in air?,what is covid-19 ?,What are the most common symptoms of COVID-19?,how to know that somebody have a corona,What are the symptoms,Is Covid19 an airborne? ,"If there are kids around me, do I have to worry if they are infected and I do not know?",-,-,How many cases are in spain ?,How do I know when to get tested?,How many people died in Belgium?,"I’ve have mild cough and not the continuous one. And symptoms of fever like burning eyes, but not the temperature. What do I do?",How long can the virus stay in the air
14,"What are differences in term of symptoms between the new coronavirus and normal flu, cod",Non,What is COVID-19,How to protect my family from COVID-19?,I have fever 38°C. Is that corona virus symptoms?,What are the symptoms,What are the confirmed symptoms of COVID19,What is the estimated population that will be infected by the covid-19 virus?,-,-,how many death now,-,how many people have died,"I have a fever, what should I do now?","How long the sickens last, m"
15,Should I use asprin with I have the coronavirus?,what are the syptoms?,What is Covid-19 virus?),"How can I make sure, I am buying from grocery is safe from COVID-19 ",What is corona virus and COVID19,-,Covid19,Can you get be infected more than once? ,-,-,How many cases in Canada now ? ,-,how many people positive with Covid-19 in the world?,I'm feeling dizzy with fever do I have corona? ,How long does it take an average person to recover?
16,"I was in contact with a person who had coronavirus, what should I do? ",Why Germany has a low death rate?,Why Covid 19?,How about covid situations? ,What the different between corona and COVID_19?,-,-,Does everyone infected need a respirator?,-,-,how many new cases,-,how many people died so far?,how much fever should i tolerate before going to the doctor? ,How long will it take to develop a vaccine ? 
17,how long people live after being infected by coronavirus,how is going,what is covid 19,Is it true that COVID-19 can survive up to a few days on hard surfaces?,What is corona virus?,-,-,Do I have to wear a mask all the time if I am not infected?,-,-,how many case positive with COVID-19 ?,-,Can you die from contracting covid?,-,how long does COVID-19 virus lasts in the body?
18,What is the main symptoms of the disease related to new coronavirus,What kind of medication can I take if I have the virus ?,What is Covid 19,Can COVID-19 stay alive on fresh fruit and vegetables?,Corona virus characteristics,-,-,Can I get infected after I healed from it?,-,-,How many cases of coronavirus in Madagascar,-,how many people related covid-19,-,How long will it take for a vaccine to be produced?
19,what are the symptoms of coronavirus,Will Covid19 go away like the 1918 influenza and SARS did,What is covid-19?,I cough. is it Covid-19?,is there a new form of corona virus?,-,-,How many people are infected in toronto,-,-,-,-,-,-,How long will social distancing measures last?
