,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13
Count,397,27,23,22,27,27,25,18,25,29,9,9,30,20
0,Are you sick?,what are the symptoms,I think I have a fever. What do I do?,What's covid19?,Is there a vaccine for corona virus?,How many confirmed cases in Ontario now?,What is coronavirus ?,How do I know if I haver coronavirus?,How long before symptoms start to show? ,Which country infected ? ,What is the incubation time of the virus?,Where should I be tested ?,what is covid-19,How many people have dies
1,When should I go to the hospital?,what are the symptoms of COVID-19?,How's the shortness of breath?,covid19 symptons?,what is the death rate of the new corona virus,How many cases in Quebec? ,How long are you contagious if you have Coronavirus?,may I know what is corona?,How long does it last? ,How many infected person in south korea?,Is the virus infectious during incubation period?,Where can I get tested?,What is Covid-19?,who is at risk of dying after contracting the virus?
2,Does the virus spread by rain?,What are the symptoms,I have fever what I should do,Will Covid19 go away like the 1918 influenza and SARS did,Symptoms of corona,How many cases in Montreal?,How do I treat coronavirus?,what do you know about COVID-19?,How long does it last once infected ?,I have cough. Does that mean I might be infected?,What is the incubation time of covid-19 by age,where can I test for covid,What is the covid?,how many people positive result with COVID-19
3,What are the synthoms?,what are the symptoms,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,What is Covid19,"Hello, what happens after corona?",how many cases are there in Washington state,How do people get infected with Coronavirus?,I'd love to know how long I can be contagious?,How long am I infectious for,What is the current situation of COVID-19 infections?,What is the incubation period for COVID-19?,"I would like to get COVID19 test, where can I get it?",What is covid,how to interact with people
4,What mesures needs to take a pregnant women to reduce the risk?,What are the symptoms ,Is fever the main symptom for vivid-19,Can drinking alcohol helps COVID19? ,Whats corona,How many cases in Montreal,Is it true that warm kills Coronavirus?,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,How long until an infected person shows symptoms?,How many people are infected in Lithuania?,What’s the incubation period? ,Where do we get the test for COVID-19?,What is the COVID-19?,how many people died?
5,Do you think Taiwan is good?,What are the symptoms,What if I have cough ?,How can I make the difference between a cold and covid19?,how much does corona virus stay on each kind of surfaces?,how many deaths are in Italy as of March 21,How does coronavirus propagate?,How do I know if I have the corona virus,How long can the covid-19 survive outside the body,Am I infected,What is the period of incubation?,Were can I get tested? ,what's is COVID-19?,What is the probability of dying?
6,Is the Asymptomatic Carrier a temporary status? ,Symptoms of Covid ,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",What are the symptoms of the covid19?,What are the symptoms of Corona?,How many days can you be contagious without showing symptoms?,Is it true that warm kills Coronavirus?,How do I know if my chest is hurt because lung damage or another cause?,How long is the treatment?,What do I do if I suspect I'm infected?,What is the incubation period? ,"if i think i have it, should i got get tested",Covid-19,how many people in America?
7,What is it,What are the symptoms of Covid-19?,Is a cough but no fever a symptom?,What's covid19? ,Why is it called Corona virus?,How many case in montreal,"I think I have coronavirus, should I go to the emergency",How do I know if I have the flu or coronavirus,How long does it take to recover?,how can I prevent to get infected?,How long is incubation period? ,where can I get tested,What is covid?,How many people have it in my town?
8,How to avoid exposure?,Symptoms,I am coughing but I don't have fever. Could I have covid-19?,Can you explain to me what is the covid19?,What shall I do if I have to go out to buy things to protect myself from corona virus?,How many thing you do not understand,Will high temperature kill coronavirus?,How do I know if I have the covid-19,How long will it last?,Which country infected ? ,How long does this virus incubate? ,How do I know when to get tested?,What is covid 19?,How does it die in asymptomatic people?
9,What is the impact that covid-19 has in the economy?,Symptom,What should I do if I have fever?,What is the number of Covid19 cases in the wold,What are the symptoms of corona virus,How many patients are across the globe? ,what are the main symptoms of coronavirus,"My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?","How long the sickens last, m",What should I do if i think that i'm infected ?,-,-,What is covid,how many people have died in the US?
10,South korea,What is the covid-19 symptoms? ,Does the fever persists in corona ,What are the symptoms of covid19,What is corona virus and COVID19,What is the current COVID-19 confirmed cases trend for Canada?,Can anti-viral drugs be used to treat the coronavirus?,How i know that i 'm ill,How long does it take an average person to recover?,Can this virus infect me in an airborne fashion?,-,-,Covid?,Can I die from Covid-19?
11,What is,What do I do if I have symptoms?,"i am coughing, what should i do?",What are the symptoms of covid19?,What the different between corona and COVID_19?,Were there documented cases before January 2020?,is fever a symptom of coronavirus? ,"If there are kids around me, do I have to worry if they are infected and I do not know?",How long will it take to develop a vaccine ? ,What is the estimated population that will be infected by the covid-19 virus?,-,-,What is COVID 19?,What are the risks for people with diabetes? 
12,Will the heat of the summer help fighting the virus?,What are symptoms ,I have fever 38°C. Is that corona virus symptoms?,What's covid19,What is corona virus?,How many COVID-19 related deaths have there been in Montreal?,How to differentiate between coronavirus and simple flu?,how to know if i have corona,how long does COVID-19 virus lasts in the body?,Can you get be infected more than once? ,-,-,What is covid,how many people die for cover?
