,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13,cluster_#14,cluster_#15,cluster_#16,cluster_#17,cluster_#18,cluster_#19,cluster_#20,cluster_#21,cluster_#22,cluster_#23,cluster_#24,cluster_#25,cluster_#26,cluster_#27,cluster_#28,cluster_#29,cluster_#30,cluster_#31,cluster_#32,cluster_#33,cluster_#34,cluster_#35,cluster_#36,cluster_#37,cluster_#38,cluster_#39,cluster_#40,cluster_#41,cluster_#42,cluster_#43,cluster_#44,cluster_#45,cluster_#46,cluster_#47,cluster_#48,cluster_#49,cluster_#50,cluster_#51,cluster_#52,cluster_#53,cluster_#54,cluster_#55,cluster_#56,cluster_#57
Count,153,12,14,11,72,10,13,12,12,8,18,16,10,11,7,10,12,4,11,7,23,8,16,7,6,7,4,5,9,7,5,6,5,3,8,6,3,7,3,12,4,4,4,4,5,6,3,22,7,15,3,5,4,5,4,4,6,6
0,What are the synthoms?,Why Germany has a low death rate?,Are we going to have trouble buying milk? ,Why are death rates so different across countries?,Do you think Taiwan is good?,What mesures needs to take a pregnant women to reduce the risk?,How many cases in Quebec? ,how is going,How do I know if I haver coronavirus?,Is the Asymptomatic Carrier a temporary status? ,Does covid-19 test anonymous?,I am 43. What’s the chance of my survival if I get covid. ,How long are you contagious if you have Coronavirus?,Do the virus stay in air?,Is there a vaccine for corona virus?,What's covid19?,How do people get infected with Coronavirus?,When will the cure be available ?,How many people have dies,Is it true that warm kills Coronavirus?,what is the death rate of the new corona virus,Does a throat feel itchy or really sore and a symptom ,Which country infected ? ,is coughing phlem a symptom?,What's the point of asking you questions if you don't have answers,How do I treat coronavirus?,Can I go for a run? Does running/exercise compromise my immune system? ,What are the best food to get good immune ,Will the heat of the summer help fighting the virus?,Is the virus infectious during incubation period?,When will the treatment be available for this pandemic?,when is this pandemic going to end?,What is the current situation of COVID-19 infections?,How deadly is the virus?,I think I have a fever. What do I do?,How long does it last? ,How is covid transmitted?,Does the virus spread by rain?,How's the shortness of breath?,what are the symptoms of COVID-19?,What is the impact that covid-19 has in the economy?,What is coronavirus ?,Can this virus infect me in an airborne fashion?,what is self monitoring?,Will social distancing slow the spread of covid-19?,What are the symptoms of vivid 19?,how can I prevent to get infected?,what is covid-19,What is the covid?,what are the symptoms,where did it start,I have fever what I should do,How can I make the difference between a cold and covid19?,Is covid very dangerous,I have cough. Does that mean I might be infected?,When should I go to the hospital?,How to protect my family from COVID-19?,Should I wear mask
1,covid19 symptons?,how many deaths are in Italy as of March 21,is the grocery open?,How can I differ between covid and normal flu ?,What is the incubation time of the virus?,Who is at risk?,How many cases in Montreal?,Am I allowed to go for a walk?,may I know what is corona?,If I fully recover from COVID-19 would I still be considered a carrier and transmit the virus?,Where are the testing centers located in Mtl?,Is it true that COVID-19 can survive up to a few days on hard surfaces?,I'd love to know how long I can be contagious?,Can the Covid survive in the air?,What is a vaccin becoming available?,What is Covid19,how many people positive result with COVID-19,In how many days can covid be cured? ,how many people died?,How does COVID-19 kill its victims?,Symptoms of corona,Is itchy throat sign of covid 19,Am I infected,I cough. is it Covid-19?,Do I have to ask a sclerotic question about traveling or something to get an answer ,who is at risk of dying after contracting the virus?,Option to run the questions for children ,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,What kind of medication can I take if I have the virus ?,What is the incubation period for COVID-19?,How long is the treatment?,when will the pandemic end?,what is canada's situation right now?,Is the virus deadly?,"I think I have coronavirus, should I go to the emergency",How long does it last once infected ?,How did this virus transmit?,How does it spread ?,I have shortness of breath but no fever,Symptoms of Covid ,Impact of covid,what are the symptoms of coronavirus,Is Covid19 an airborne? ,What is self-isolation?,what is social distancing?,Is fever the main symptom for vivid-19,how to prevent ?,What is Covid-19?,What is covid,What are the symptoms,How Covid-19 started?,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?","My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?",is covid-19 dangerous,Will herd immunity be the only means of eradicating COVID-19?,should I go to the hospital?,How to protect myself on a plane,Do I need a mask?
2,What is it,What is the number of Covid19 cases in the wold,"How can I make sure, I am buying from grocery is safe from COVID-19 ",How do I know if I have the flu or coronavirus,Will Covid19 go away like the 1918 influenza and SARS did,How dangerous it is for pregnant womens?,how many cases are there in Washington state,Where should I go?,what do you know about COVID-19?,How long does it take to recover?,which hospital takes the test for covid 19?,When do I expect to hear back from you? ,How long before symptoms start to show? ,How long does the virus stay in paper money and coins?,How long will it take to develop a vaccine ? ,What are the symptoms of the covid19?,How many people are infected in Lithuania?,How can i cure covid-19?,What is the probability of dying?,Is it true that warm kills Coronavirus?,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,I have throat ,What do I do if I suspect I'm infected?,What if I have cough ?,Doeas the software is automatic in English because I use an English device? If I ask in French the answer will be in French?,Can anti-viral drugs be used to treat the coronavirus?,Can I run outside,Is it safe to order food during the COVID-19 pandemic?,Can drinking alcohol helps COVID19? ,What’s the incubation period? ,treatment for covid 19,When will this end,How about covid situations? ,How deadly is the virus?,I think I’m sick,How long will it last?,How is it transmitted?,how is covid 19 spread?,What should i do if i am short of breath?,What are the symptoms of Covid-19?,What will be th impact on international students?,What should I do if I have Coronavirus symptoms?,Is the virus airborne ,what is self isolation?,How long will social distancing measures last?,What are the main synptoms?,How to prevent the spread of COVID-19?,What is the COVID-19?,What is covid?,what are the symptoms,What should I do if I start coughing?,is fever a symptom of coronavirus? ,Do i have a covid or is it just a cold?,Why corona is so dangerous ,Does COVID-19 spread by means of gametes?,What is the nearest hospital to go to if I have a COVID-19?,how to protect myself from it ,Does a mask actually help if I'm not sick?
3,How to avoid exposure?,What is the mortality rate?,Will the groceries shut down?,Is there a different varient of virus which is spreading across the world,when covid 19 is going to stop?,Who is most at risk? ,How many cases in Montreal,Should I go to the ER or my physician directly if I'm infected?,How do I know if I have the corona virus,"If you recover from the virus, can you still be a carrier ",Is the test covered in in CIHIP?,How long does the virus live on clothes?,How many days can you be contagious without showing symptoms?,Does the  virus stay on clothing?,How long will it take for a vaccine to be produced?,What's covid19? ,how to interact with people,"Once you are cured from Covid-19, can you catch it again?",How does it die in asymptomatic people?,Will high temperature kill coronavirus?,Whats corona,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?",Which country infected ? ,Is a cough but no fever a symptom?,How long does it takes to get first symptom of Covid-19 ,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,Is it safe to jog/run outside?,Can I get infected from food or grocery delivery?,where can I help?,What is the period of incubation?,what treatments are available for covid-19?,When this will ever end ,What is the situation right now in the world?,-,What should I do if i think that i'm infected ?,"How long the sickens last, m",-,How does COVID-19 spread?,-,What is the covid-19 symptoms? ,Impacts of it,what is coronavirus,Can I get the virus from breathing infected airborn particules,"If I'm in self-quarantine with mild symptoms of some sort of respiratory thing, when can I stop self-quarantining?",My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have?,what are the main symptoms,-,what's is COVID-19?,What is covid,What are the symptoms ,-,What should I do if I have fever?,Who can I make the difference between a cold and covid19?,is it dangerous to travel,What is the meaning of COVID-19?,When should I go to the hospital ,How can I protect myself from the covid-19?,Is it useful to wear a mask if we are not sick?
4,South korea,What was the total number of deaths before and after the virus?,Do I need to disinfect things I buy like groceries and supplies?,How many patients are across the globe? ,if my tempreture is over 39 can i assume that i have covid-19 ?,What is the risk for a pregnant women?,How many case in montreal,When will it be ok to go outside?,How do I know if I have the covid-19,How long does it take an average person to recover?,Where should I be tested ?,How long am I infectious for,How long until an infected person shows symptoms?,Is staying at home mandatory?,How long before we have a vaccine for corona? ,What are the symptoms of covid19,how many people in America?,-,how many people have died in the US?,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,What are the symptoms of Corona?,I have a sore throat. What do I do?,What is the estimated population that will be infected by the covid-19 virus?,I am coughing but I don't have fever. Could I have covid-19?,Why didn't you answer my first question?,"If you contract COVID-19, how do you treat yourself at home?",-,Is ordering food from a restaurant discouraged?,how much does corona virus stay on each kind of surfaces?,What is the incubation period? ,Is there a treatment for corona virus?,When will the pandemic end? ,What is the situation now in my country?,-,I think I have COVID,How long will the pandemic last?,-,is china responsible for the spreading of COVID-19?,-,What are the symptoms of COVID-19?,-,-,-,-,Can you see friends if you stick to the social distancing guidelines?,what are the main symptoms of coronavirus,-,Covid-19,Covid?,What are the symptoms,-,"I have a fever, what should I do now?",-,How dangerous is the COV-19?,-,-,What can we do to protect ourselves from COVID-19?,Do I have to wear a mask all the time if I am not infected?
5,What is,How many death in Quebec?,Are vet clinics still open?,How to differentiate between coronavirus and simple flu?,"As of today, can we gather only 2",What is the risk for an asthmatic ?,How many cases in Montreal ,if i have symptoms should i go to the ER or should I call a doctor?,How i know that i 'm ill,What is an Asymptomatic Carrier?,Where is the closest testing facility to me?,How long can the covid-19 survive outside the body,Can I be contagious even if I don't have symptoms? ,Is COVID-19 air-borne?,When is the vaccine available ?,What are the symptoms of covid19?,How many people have it in my town?,-,Can I die from Covid-19?,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,Why is it called Corona virus?,Is sore throats a symptom ,Can you get be infected more than once? ,"i am coughing, what should i do?",Which are its first symptoms?,What are the side-effects of hydroxychloroquine for treating COVID-19?,-,-,what kind of protective gear do i need to wear?,How long is incubation period? ,-,When will covid end? ,-,-,How long do you think we will have to be in a lockdown ,How long do the symptoms of COVID-19 last for?,-,How does Covid-19 spread?,-,what are the symptoms of covid-19,-,-,-,-,-,What is the main symptoms of the disease related to new coronavirus,-,What is covid 19?,What is covid,Symptoms,-,-,-,-,-,-,How can I protect myself ,"Why does the government think that we don't need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks, regardless if they are sick or not"
6,Do we see a future where this virus won't be such a threat anymore? ,Number of cases in Inida,Could stores open a few hours a week for the elderly? ,What's the difference between COVID-19 and CoronaVirus?,what are the conditions under which people are most likely to develop complications versus those who won’t?  ,What are the risks for people with diabetes? ,How many cases in Quebec ,When should I go to the ER?,how to know if i have corona,How long does it take to recover?,Where can I get tested?,How long does the virus remain active and alive after attacking a human body?,Can we be contagious when we don't show symptoms?,"If I have symptoms and I am told to stay home, can I take Tylenol?",Is there a vaccine for corona virus?,What's covid19,How many COVID-19 related deaths have there been in Montreal?,-,how many people die for cover?,Does soap really kill the virus?,What are the symptoms of corona virus,I am feeling itchy around my body. Is it a symptom of covid? ,What is Covid-19 virus?),What to do when i gave cough,-,Can you die from contracting covid?,-,-,Is there any medication to take to help?,How long does this virus incubate? ,-,-,-,-,what should I do if I think I infected by corona virus?,-,-,how to prepare for spread of covid 19?,-,What are the symptoms of COVID-19?,-,-,-,-,-,-,-,What is COVID 19?,Do I have covid?,Symptom,-,-,-,-,-,-,-,-
7,Non,how many death now,What shall I do if I have to go out to buy things to protect myself from corona virus?,"What are differences in term of symptoms between the new coronavirus and normal flu, cod",Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobey’s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,Are there any risk for the foetus? ,How many cases of covid in laval,Is it ok to go outside to get fresh air?,how to know that somebody have a corona,How does it take to recover from the virus?,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",How long does the virus survive on a surface like a doorknob?,"If I have covid-19, how long will I be contagious?",How long can the virus stay in the air,-,What is covid19?,How many people are infected in toronto,-,How many people died in NYC,-,Does the fever persists in corona ,I have a sore throat. Is that a sign of Covid19?,Can I get infected after I healed from it?,-,-,-,-,-,Does Wearing gloves help?,-,-,-,-,-,What to do if I think I have covid 19?,-,-,-,-,What are the symptoms of Covid-19?,-,-,-,-,-,-,-,what is covid-19 ?,-,What do I do if I have symptoms?,-,-,-,-,-,-,-,-
8,what are the syptoms?,"What are the daily death rates in Italy, that are Not from COVID19?",I am feeling sick ,What the different between corona and COVID_19?,Can I get the virus from a stray cat?,what is my level of risk?,How many cases are in spain ?,Is it safe to go outside for a walk (social distancing from others)?,How do I know I have covid?,-,where can I test for covid,"In this time of crisis, is it okay to feed the raccoons",How contagious is the virus?,Shall we stay where we are or travel to our home country?,-,What are the Symptom for covid19,how long people live after being infected by coronavirus,-,How many people died in Belgium?,-,I have fever 38°C. Is that corona virus symptoms?,-,Get I get infected from a dog?,-,-,-,-,-,Does eating Oranges daily help to fight this virus,-,-,-,-,-,-,-,-,-,-,symptoms of covid-19,-,-,-,-,-,-,-,What is COVID-19,-,What are symptoms ,-,-,-,-,-,-,-,-
