,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13,cluster_#14,cluster_#15,cluster_#16,cluster_#17,cluster_#18,cluster_#19,cluster_#20,cluster_#21,cluster_#22,cluster_#23,cluster_#24,cluster_#25,cluster_#26,cluster_#27,cluster_#28,cluster_#29,cluster_#30,cluster_#31,cluster_#32,cluster_#33,cluster_#34,cluster_#35,cluster_#36,cluster_#37,cluster_#38,cluster_#39,cluster_#40,cluster_#41,cluster_#42,cluster_#43,cluster_#44,cluster_#45,cluster_#46,cluster_#47,cluster_#48,cluster_#49,cluster_#50,cluster_#51,cluster_#52,cluster_#53,cluster_#54,cluster_#55,cluster_#56,cluster_#57,cluster_#58,cluster_#59,cluster_#60
Count,9,9,180,12,7,18,9,6,4,9,10,18,14,4,7,12,48,16,15,21,2,12,7,4,11,6,10,5,4,2,2,4,7,3,15,12,12,6,26,2,22,2,5,7,5,1,7,2,1,1,2,6,1,8,3,5,1,1,1,7,18
0,"If I’m sneezing, should I get tested for corona virus?",What is the incubation time of the virus?,What are the synthoms?,what are the symptoms of COVID-19?,How long can the covid-19 survive outside the body,Are we going to have trouble buying milk? ,How many people have dies,who is at risk of dying after contracting the virus?,How long does it last? ,How many confirmed cases in Ontario now?,Does the virus spread by rain?,How to protect my family from COVID-19?,How long before symptoms start to show? ,may I know what is corona?,Is there a vaccine for corona virus?,what is the death rate of the new corona virus,What is the impact that covid-19 has in the economy?,How do I treat coronavirus?,How's the shortness of breath?,Does a throat feel itchy or really sore and a symptom ,How long are you contagious if you have Coronavirus?,covid19 symptons?,I think I have a fever. What do I do?,Symptoms of corona,I have cough. Does that mean I might be infected?,Where should I be tested ?,how many deaths are in Italy as of March 21,how can I prevent to get infected?,what do you know about COVID-19?,How does it spread ?,How covid-19 virus infected?,What are the symptoms of the covid19?,I'd love to know how long I can be contagious?,how is covid 19 spread?,what are the symptoms,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",when covid 19 is going to stop?,What's covid19?,Will the heat of the summer help fighting the virus?,what should I do if I think I infected by corona virus?,what is covid-19,what are the symptoms of coronavirus,When should I go to the hospital?,What are the symptoms of vivid 19?,Which country infected ? ,What is corona virus and COVID19,Does covid-19 test anonymous?,How do I know if I haver coronavirus?,How is the corona virus being spread,How do I know if I have been infected?,What is coronavirus ?,How many infected person in south korea?,How do I know when to get tested?,How many cases in Quebec? ,Does the fever persists in corona ,how many people positive result with COVID-19,How do people get infected with Coronavirus?,is fever a symptom of coronavirus? ,What is Covid-19 virus?),What is the covid?,Where are the testing centers located in Mtl?
1,Can I get the virus from a stray cat?,Is the virus infectious during incubation period?,What mesures needs to take a pregnant women to reduce the risk?,Symptoms of Covid ,how long does COVID-19 virus lasts in the body?,Should I star home and even avoid going to the supermarket and drugstore?,how many people died?,how to interact with people,How long does it last once infected ?,how many cases are there in Washington state,Will social distancing slow the spread of covid-19?,I cough. is it Covid-19?,How long am I infectious for,How do I know if I have the corona virus,Why is it called Corona virus?,"Hello, what happens after corona?",Can the Covid survive in the air?,Is it true that warm kills Coronavirus?,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,Is headache a symptom of this pandemic? ,how long people live after being infected by coronavirus,Will Covid19 go away like the 1918 influenza and SARS did,I have fever what I should do,What are the symptoms of Corona?,What is the current situation of COVID-19 infections?,Where can I get tested?,How many days can you be contagious without showing symptoms?,Can you get be infected more than once? ,How do I know if I have the covid-19,How long has the virus been spreading in Canada?,How COVID-19 is infecting?,What are the symptoms of covid19,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,How does COVID-19 spread?,What are the symptoms,How long do we need social distanciation for the virus to be less of a threat? ,Am I allowed to go for a walk?,What is Covid19,Do we see a future where this virus won't be such a threat anymore? ,What are the symptoms I should feel if I am infected with Corona virus?,What is Covid-19?,What should I do if I have Coronavirus symptoms?,how is going,What are the most common symptoms of COVID-19?,Am I infected,-,which hospital takes the test for covid 19?,How do I know if I have the flu or coronavirus,-,-,what is coronavirus,How many people are infected in Lithuania?,-,How many cases in Montreal?,I have fever 38°C. Is that corona virus symptoms?,how many people in America?,-,-,-,What is covid,Is the test covered in in CIHIP?
2,Is it true that you can get the virus again even after you've recovered ,What is the incubation time of covid-19 by age,Do you think Taiwan is good?,What are the symptoms of Covid-19?,How long does COVID-19 live on glass surfaces?,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,How does it die in asymptomatic people?,What is the probability of dying?,How long will it last?,How many COVID-19 related deaths have there been in Montreal?,Is there a different varient of virus which is spreading across the world,How Covid-19 started?,How long until an infected person shows symptoms?,how to know if i have corona,What is corona virus?,Whats corona,Is itchy throat sign of covid 19,Is it true that warm kills Coronavirus?,is coughing phlem a symptom?,what are the main symptoms,-,Can drinking alcohol helps COVID19? ,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",What are the symptoms of corona virus,What do I do if I suspect I'm infected?,where can I test for covid,How many thing you do not understand,Can I get infected after I healed from it?,How do I know I have covid?,-,-,What are the symptoms of covid19?,How do I know if my chest is hurt because lung damage or another cause?,How does Covid-19 spread?,what are the symptoms,How long does the virus live on clothes?,when is this pandemic going to end?,What's covid19? ,Do the virus stay in air?,-,What is the COVID-19?,-,Where should I go?,What are the early symptoms of COVID-19,Which country infected ? ,-,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,-,-,-,-,How many people are infected in toronto,-,How many cases in Montreal,I'm feeling dizzy with fever do I have corona? ,How many people have it in my town?,-,-,-,What is covid?,I am 43. What’s the chance of my survival if I get covid. 
3,Can my cat get the virus?,What is the incubation period for COVID-19?,Is the Asymptomatic Carrier a temporary status? ,What is the covid-19 symptoms? ,How long does it takes to get first symptom of Covid-19 ,Are research fundings going to be cut as a result of the virus?,how many people have died in the US?,Can I die from Covid-19?,How long will the pandemic last?,How many cases of covid in laval,How fast will the pandemic spread in Canada?,Can you catch covid 19 after having had it before ,How long is the treatment?,how to know that somebody have a corona,Is there a treatment for corona virus?,how much does corona virus stay on each kind of surfaces?,if my tempreture is over 39 can i assume that i have covid-19 ?,"I think I have coronavirus, should I go to the emergency",Is fever the main symptom for vivid-19,What are the symptoms of SARS-COV-2,-,How can I make the difference between a cold and covid19?,Is a cough but no fever a symptom?,What are the symptoms of corona virus,Can this virus infect me in an airborne fashion?,Where do we get the test for COVID-19?,How many patients are across the globe? ,Get I get infected from a dog?,How to know if I get COVID-19 or not?,-,-,What are the Symptom for covid19,"My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?",-,What are the symptoms ,How long does the virus stay in paper money and coins?,When will it be ok to go outside?,What's covid19,What kind of medication can I take if I have the virus ?,-,what's is COVID-19?,-,should I go to the hospital?,What are the real symptoms of covid-19 ,What should I do if i think that i'm infected ?,-,List of Canadian hospitals treating (not testing) patients with COVID-19?,-,-,-,-,"What are the demographics of people infected, hospitalized and deceased in Quebec, ",-,How many case in montreal,-,how many people positive with Covid-19 in the world?,-,-,-,What is covid,What are the best food to get good immune 
4,Can you get the virus twice ? ,What’s the incubation period? ,What is it,What are the symptoms of COVID-19?,"If I have covid-19, how long will I be contagious?",Should I go to the ER or my physician directly if I'm infected?,how many people die for cover?,What are the risks for people with diabetes? ,-,How many death in Quebec?,is china responsible for the spreading of COVID-19?,How can I protect myself from the covid-19?,How long does it take to recover?,-,What is corona,What shall I do if I have to go out to buy things to protect myself from corona virus?,Impact of covid,Will high temperature kill coronavirus?,What if I have cough ?,what are cov19 symptoms,-,Can you explain to me what is the covid19?,I am coughing but I don't have fever. Could I have covid-19?,-,What is the estimated population that will be infected by the covid-19 virus?,Were can I get tested? ,What is the current COVID-19 confirmed cases trend for Canada?,Can I get infected from food or grocery delivery?,-,-,-,-,How i know that i 'm ill,-,What are the symptoms,How long does the virus remain active and alive after attacking a human body?,if i have symptoms should i go to the ER or should I call a doctor?,What is covid19?,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,-,Covid-19,-,When should I go to the hospital ,Does my neighbour have covid-19 symptoms?,Is it possible to be infected again?,-,What's a waiting time to get covid-19 results?,-,-,-,-,How to take care of infected people ,-,How many cases in Montreal ,-,how many people related covid-19,-,-,-,Covid?,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.
5,"I would like to get COVID19 test, where can I get it?",What is the period of incubation?,How to avoid exposure?,what are the symptoms of covid-19,How long after testing do you receive your COVID-19 results? ,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?",How many people died in NYC,Can you die from contracting covid?,-,How many cases are in spain ?,Does COVID-19 spread by means of gametes?,Where did COVID-19 come from?,"How long the sickens last, m",-,What is corona,What the different between corona and COVID_19?,Will herd immunity be the only means of eradicating COVID-19?,what are the main symptoms of coronavirus,"i am coughing, what should i do?","If I'm below the age of 30, will I notice symptoms if I'm sick?",-,What is the number of Covid19 cases in the wold,What should I do if I have fever?,-,Does everyone infected need a respirator?,where can I get tested,Were there documented cases before January 2020?,-,-,-,-,-,"If there are kids around me, do I have to worry if they are infected and I do not know?",-,Symptoms,how long would it take for the virus to disappear ? ,Where do I go if I have mild symptoms?,Covid19,How severe is the virus? ,-,What is covid 19?,-,-,Is it possible to have Covid-19 if you only have one of the symptoms?,-,-,"My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",-,-,-,-,From the infected worldwide population what will be the ratio of asymptomatic people,-,How many cases in Quebec ,-,-,-,-,-,What is covid,Do I have to ask a sclerotic question about traveling or something to get an answer 
6,How can I get help?,What is the incubation period? ,South korea,What are the symptoms of COVID-19?,How long do the symptoms of COVID-19 last for?,Can I go for a run? Does running/exercise compromise my immune system? ,How many people died in Belgium?,-,-,how many death now,how to prepare for spread of covid 19?,is covid-19 dangerous,How long does it take an average person to recover?,-,Is there a vaccine for corona virus?,Corona virus characteristics,How does COVID-19 kill its victims?,Can anti-viral drugs be used to treat the coronavirus?,What to do when i gave cough,Whatbare the symptoms,-,What should I do if I start feeling sick with similar symptoms as in covid19?,"I have a fever, what should I do now?",-,Do I have to wear a mask all the time if I am not infected?,-,How many days should I isolate for,-,-,-,-,-,"What measures can I take, if someone I know is effected with the virus",-,Symptom,How long will I be sick if I get the virus,What is the nearest hospital to go to if I have a COVID-19?,-,Does temperature has any effect on the virus,-,What is COVID 19?,-,-,What is most usual symptom of Covid-19 ,-,-,What are covid-19 test centres location in Montreal?,-,-,-,-,-,-,How many cases in Canada now ? ,-,-,-,-,-,Do I have covid?,Are there any federal or provincial services to help senior citizens get grocery safely?
7,"If I catch the virus, will I be immune from getting it again?   ",How long is incubation period? ,What is,What are the symptoms of Covid-19?,-,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,how many people have died,-,-,how many case positive with COVID-19 ?,When will it stop spreading? Is 2 weeks enough? ,I think I have COVID,How long will it take to develop a vaccine ? ,-,-,is there a new form of corona virus?,"How can I make sure, I am buying from grocery is safe from COVID-19 ",How to differentiate between coronavirus and simple flu?,I have shortness of breath but no fever, When should I consult after the vomitting symptoms for a 4 y-o child? ,-,Who can I make the difference between a cold and covid19?,-,-,Can antibiotics deal with viral infection?,-,In how many days can covid be cured? ,-,-,-,-,-,-,-,What do I do if I have symptoms?,How long does the virus survive on a surface like a doorknob?,When should I go to the ER?,-,Will the virus affect my sexual ability ,-,what is covid-19 ?,-,-,-,-,-,-,-,-,-,-,-,-,how many new cases,-,-,-,-,-,-,Where is the closest testing facility to me?
8,"if i think i have it, should i got get tested",How long does this virus incubate? ,Non,symptoms of covid-19,-,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",how many people died so far?,-,-,How many cases of coronavirus in Madagascar,How to prevent the spread of COVID-19?,treatment for covid 19,How long will it take for a vaccine to be produced?,-,-,can you please tell me symptoms of corona virus?,How about covid situations? ,What's the difference between COVID-19 and CoronaVirus?,What should I do if I start coughing?,Can I be contagious even if I don't have symptoms? ,-,"What are the daily death rates in Italy, that are Not from COVID19?",-,-,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",-,Number of cases in Inida,-,-,-,-,-,-,-,What are symptoms ,How long can the virus stay in the air,can I go outside,-,How deadly is the virus?,-,What is COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I need to take a blood test. Is there a large risk for infection?
