index,0,1,2
1,When should I go to the hospital?,-,-
2,I think I have a fever. What do I do?,-,-
4,What's covid19?,-,-
5,Does the virus spread by rain?,-,-
7,What are the synthoms?,-,-
8,-,what is covid-19,-
10,What mesures needs to take a pregnant women to reduce the risk?,-,-
12,How's the shortness of breath?,-,-
13,How do I know if I haver coronavirus?,-,-
14,covid19 symptons?,-,-
15,Is the Asymptomatic Carrier a temporary status? ,-,-
18,-,What is it,-
19,How to avoid exposure?,-,-
23,-,What is Covid-19?,-
25,What is the covid?,-,-
26,What is the impact that covid-19 has in the economy?,-,-
27,Which country infected ? ,-,-
29,What is covid,-,-
45,-,What is the COVID-19?,-
48,South korea,-,-
61,How many people have dies,-,-
83,What is coronavirus ?,-,-
111,-,What is,-
118,Will the heat of the summer help fighting the virus?,-,-
123,Do we see a future where this virus won't be such a threat anymore? ,-,-
129,Do the virus stay in air?,-,-
136,Non,-,-
143,-,-,what are the symptoms
149,what are the syptoms?,-,-
154,How many infected person in south korea?,-,-
155,What is the incubation time of the virus?,-,-
156,Why Germany has a low death rate?,-,-
159,I have cough. Does that mean I might be infected?,-,-
160,how is going,-,-
161,Can the Covid survive in the air?,-,-
162,Does covid-19 test anonymous?,-,-
163,What kind of medication can I take if I have the virus ?,-,-
164,Will Covid19 go away like the 1918 influenza and SARS did,-,-
165,Are there still flights within Canada?,-,-
167,Is there a vaccine for corona virus?,-,-
176,I have fever what I should do,-,-
177,Does a throat feel itchy or really sore and a symptom ,-,-
179,Precautions to measure? ,-,-
186,How many confirmed cases in Ontario now?,-,-
187,"If I’m sneezing, should I get tested for corona virus?",-,-
188,Are we going to have trouble buying milk? ,-,-
189,What is Covid19,-,-
190,Is headache a symptom of this pandemic? ,-,-
194,How much longer will society need to socially isolate?,-,-
199,Is itchy throat sign of covid 19,-,-
201,Where are the testing centers located in Mtl?,-,-
202,mental health,-,-
206,When will the treatment be available for this pandemic?,-,-
207,which hospital takes the test for covid 19?,-,-
211,What is the current situation of COVID-19 infections?,-,-
213,How does it spread ?,-,-
218,How many cases in Quebec? ,-,-
220,What are the symptoms of vivid 19?,-,-
223,How long are you contagious if you have Coronavirus?,-,-
229,when covid 19 is going to stop?,-,-
230,Chlono,-,-
232,if my tempreture is over 39 can i assume that i have covid-19 ?,-,-
233,Is the virus infectious during incubation period?,-,-
236,Am I allowed to go for a walk?,-,-
240,Where can we find ventilator?,-,-
241,what is the death rate of the new corona virus,-,-
246,"As of today, can we gather only 2",-,-
249,what are the conditions under which people are most likely to develop complications versus those who won’t?  ,-,-
252,may I know what is corona?,-,-
253,What is a vaccin becoming available?,-,-
254,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobey’s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,-,-
256,Can I get the virus from a stray cat?,-,-
258,Impact of covid,-,-
262,Will herd immunity be the only means of eradicating COVID-19?,-,-
276,-,-,what are the symptoms of COVID-19?
278,Can drinking alcohol helps COVID19? ,-,-
280,how is covid 19 spread?,-,-
281,How can I make the difference between a cold and covid19?,-,-
282,Should I star home and even avoid going to the supermarket and drugstore?,-,-
284,How does COVID-19 spread?,-,-
289,How many cases in Montreal?,-,-
293,What are the symptoms of the covid19?,-,-
295,How do I treat coronavirus?,-,-
297,How do people get infected with Coronavirus?,-,-
298,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",-,-
299,who is at risk of dying after contracting the virus?,-,-
300,Is the test covered in in CIHIP?,-,-
301,Will social distancing slow the spread of covid-19?,-,-
303,What's the point of asking you questions if you don't have answers,-,-
306,why is my dick so big,-,-
308,Is it true that warm kills Coronavirus?,-,-
310,Why are death rates so different across countries?,-,-
311,How does COVID-19 kill its victims?,-,-
316,I am 43. What’s the chance of my survival if I get covid. ,-,-
321,Where should I go?,-,-
323,What's covid19? ,-,-
325,Should I wear mask,-,-
326,What are the most common symptoms of COVID-19?,-,-
330,Symptoms of corona,-,-
331,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,-,-
335,How does coronavirus propagate?,-,-
336,where can I help?,-,-
338,how many people positive result with COVID-19,-,-
339,How often should i take my temperature?,-,-
340,how many cases are there in Washington state,-,-
342,What is the advice surrounding outdoor exercise/sport?,-,-
348,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,-,-
349,is the grocery open?,-,-
350,Who is at risk?,-,-
351,How to protect my family from COVID-19?,-,-
353,Is it true that warm kills Coronavirus?,-,-
354,is coughing phlem a symptom?,-,-
356,-,what's is COVID-19?,-
357,How many people are infected in Lithuania?,-,-
358,What are the best food to get good immune ,-,-
359,when is this pandemic going to end?,-,-
360,"How can I make sure, I am buying from grocery is safe from COVID-19 ",-,-
366,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",-,-
372,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,-,-
375,-,-,What are the symptoms
380,-,-,what are the symptoms
381,"I think I have coronavirus, should I go to the emergency",-,-
383,Is fever the main symptom for vivid-19,-,-
384,-,-,What are the symptoms 
385,Where should I be tested ?,-,-
389,What are the main synptoms?,-,-
390,what is canada's situation right now?,-,-
393,How about covid situations? ,-,-
394,how to interact with people,-,-
396,Am I infected,-,-
413,-,-,What are the symptoms
417,When should I visit a doctor?,-,-
419,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",-,-
420,Is it true that COVID-19 can survive up to a few days on hard surfaces?,-,-
422,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,-,-
428,Can COVID-19 stay alive on fresh fruit and vegetables?,-,-
429,"Hello, what happens after corona?",-,-
430,I have throat ,-,-
432,I worry for my mental health during quarantine,-,-
440,I cough. is it Covid-19?,-,-
447,Symptoms of Covid ,-,-
449,When will the schools reopen?,-,-
451,What do I do if I suspect I'm infected?,-,-
456,Is it true that you can get the virus again even after you've recovered ,-,-
461,I think I’m sick,-,-
464,Will high temperature kill coronavirus?,-,-
469,What if I have cough ?,-,-
470,-,Covid-19,-
471,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,-,-
476,When do I expect to hear back from you? ,-,-
479,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,-,-
481,how many people died?,-,-
489,How severe is the virus? ,-,-
491,how can I prevent to get infected?,-,-
494,When will be done?,-,-
495,Does temperature has any effect on the virus,-,-
501,what do you know about COVID-19?,-,-
503,What is the incubation time of covid-19 by age,-,-
505,what are the main symptoms,-,-
512,Why is Trudeau asleep?,-,-
516,Will the groceries shut down?,-,-
520,How is covid transmitted?,-,-
522,What is covid?,-,-
525,Is ACE Inhibitor harmful ,-,-
531,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,-,-
534,Do I need to disinfect things I buy like groceries and supplies?,-,-
536,should I go to the hospital?,-,-
537,Are research fundings going to be cut as a result of the virus?,-,-
538,What is covid 19?,-,-
542,Does a mask actually help if I'm not sick?,-,-
544,What is covid,-,-
546,age wise statistics for covid-19,-,-
550,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",-,-
553,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,-,-
555,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,-,-
556,How to protect myself on a plane,-,-
557,Is covid very dangerous,-,-
563,How can I differ between covid and normal flu ?,-,-
564,Will there be any changes in PGWP?,-,-
567,-,-,What are the symptoms of SARS-COV-2
570,Do I have to ask a sclerotic question about traveling or something to get an answer ,-,-
572,I'd love to know how long I can be contagious?,-,-
573,what are cov19 symptoms,-,-
576,how to protect myself from it ,-,-
578,what is canada quarantine policy?,-,-
579,Covid?,-,-
583,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,-,-
586,Will the virus affect my sexual ability ,-,-
589,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,-,-
590,When will the cure be available ?,-,-
592,Should I go to the ER or my physician directly if I'm infected?,-,-
593,Which country infected ? ,-,-
594,what are the main symptoms of coronavirus,-,-
595,when will the pandemic end?,-,-
599,How deadly is the virus?,-,-
600,How do I know if I have the corona virus,-,-
603,What is COVID 19?,-,-
607,How long before symptoms start to show? ,-,-
608,what is this site,-,-
609,What is covid,-,-
615,Is it useful to wear a mask if we are not sick?,-,-
616,what is social distancing?,-,-
617,How many cases in Montreal,-,-
619,What is the incubation period for COVID-19?,-,-
621,"If I'm below the age of 30, will I notice symptoms if I'm sick?",-,-
623,When will this end,-,-
625,Are there any federal or provincial services to help senior citizens get grocery safely?,-,-
627,How long do we need social distanciation for the virus to be less of a threat? ,-,-
628,how many deaths are in Italy as of March 21,-,-
629,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?",-,-
630,Whatbare the symptoms,-,-
631,How long does it last? ,-,-
632,How do I know if my chest is hurt because lung damage or another cause?,-,-
633,Is it safe to order food during the COVID-19 pandemic?,-,-
635,-,What should I do?,-
639,How do I know if I have the flu or coronavirus,-,-
642,I feel heaviness  in my chest nothing else from last 2 week ,-,-
643,How many days can you be contagious without showing symptoms?,-,-
646,Can anti-viral drugs be used to treat the coronavirus?,-,-
649,Where is the closest testing facility to me?,-,-
650,Can I go for a run? Does running/exercise compromise my immune system? ,-,-
653,where did it start,-,-
654,How many case in montreal,-,-
659,What’s the incubation period? ,-,-
663,-,how are you,-
664,When will it be ok to go outside?,-,-
666,What is the probability of dying?,-,-
669,Can you explain to me what is the covid19?,-,-
674,how many people in America?,-,-
678,How long does it last once infected ?,-,-
679,Whats corona,-,-
680,What is the number of Covid19 cases in the wold,-,-
681,How Covid-19 started?,-,-
683,I need to take a blood test. Is there a large risk for infection?,-,-
687,Are vet clinics still open?,-,-
694,How many people have it in my town?,-,-
695,How long does the virus live on clothes?,-,-
696,What is the mortality rate?,-,-
700,Does COVID 19 cause stomach issues,-,-
702,Will it get better in summer with higher temperatures?,-,-
706,What should I do if i think that i'm infected ?,-,-
709,What are the early symptoms of COVID-19,-,-
710, When should I consult after the vomitting symptoms for a 4 y-o child? ,-,-
711,How does it die in asymptomatic people?,-,-
712,What is the period of incubation?,-,-
713,How do I know if I have the covid-19,-,-
714,What is the incubation period? ,-,-
720,how much does corona virus stay on each kind of surfaces?,-,-
722,Could stores open a few hours a week for the elderly? ,-,-
723,if i have symptoms should i go to the ER or should I call a doctor?,-,-
727,How long does the virus stay in paper money and coins?,-,-
728,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,-,-
733,Is a cough but no fever a symptom?,-,-
734,If I fully recover from COVID-19 would I still be considered a carrier and transmit the virus?,-,-
735,-,-,What are the symptoms of Covid-19?
736,What are the real symptoms of covid-19 ,-,-
740,How long am I infectious for,-,-
742,Should I take the metro?,-,-
743,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,-,-
744,Is it safe to get a new job that deals with the public?,-,-
753,is fever a symptom of coronavirus? ,-,-
754,-,-,Symptoms
755,How long until an infected person shows symptoms?,-,-
756,I am coughing but I don't have fever. Could I have covid-19?,-,-
757,Can you catch covid 19 after having had it before ,-,-
760,What are the symptoms of Corona?,-,-
765,How can I protect myself from the covid-19?,-,-
767,What are the symptoms of covid19,-,-
772,-,who can you do?,-
773,What are the symptoms of covid19?,-,-
775,Can I be contagious even if I don't have symptoms? ,-,-
776,Why is it called Corona virus?,-,-
780,Does my neighbour have covid-19 symptoms?,-,-
