,question,ahc_label,ahc_label_lv2
213,How does it spread ?,0,20.0
284,How does COVID-19 spread?,0,20.0
1055,How does Covid-19 spread?,0,20.0
619,What is the incubation period for COVID-19?,0,27.0
659,What’s the incubation period? ,0,27.0
714,What is the incubation period? ,0,27.0
1,When should I go to the hospital?,0,28.0
536,should I go to the hospital?,0,28.0
1391,When should I go to the hospital ,0,28.0
176,I have fever what I should do,0,29.0
950,What should I do if I have fever?,0,29.0
1380,"I have a fever, what should I do now?",0,29.0
289,How many cases in Montreal?,0,30.0
617,How many cases in Montreal,0,30.0
996,How many cases in Montreal ,0,30.0
83,What is coronavirus ?,0,31.0
1038,What is the half-life of coronavirus?,0,31.0
1688,what is coronavirus,0,31.0
800,Where can I get tested?,0,33.0
1306,Were can I get tested? ,0,33.0
1639,where can I get tested,0,33.0
576,how to protect myself from it ,0,23.0
765,How can I protect myself from the covid-19?,0,23.0
1801,What can we do to protect ourselves from COVID-19?,0,23.0
1821,How can I protect myself ,0,23.0
281,How can I make the difference between a cold and covid19?,0,34.0
1059,What are the symptoms of corona virus,0,34.0
1121,Who can I make the difference between a cold and covid19?,0,34.0
1653,What are the symptoms of corona virus,0,34.0
599,How deadly is the virus?,0,10.0
631,How long does it last? ,0,10.0
1049,How long will it last?,0,10.0
1406,Is corona dangerous,0,10.0
1706,How deadly is the virus?,0,10.0
1743,Why corona is so dangerous ,0,10.0
538,What is covid 19?,0,25.0
603,What is COVID 19?,0,25.0
1025,Why Covid 19?,0,25.0
1031,what is covid 19,0,25.0
1131,What is Covid 19,0,25.0
1240,What is COVID 19,0,25.0
4,What's covid19?,0,32.0
189,What is Covid19,0,32.0
323,What's covid19? ,0,32.0
846,What's covid19,0,32.0
993,What is covid19?,0,32.0
1608,Covid19,0,32.0
25,What is the covid?,0,19.0
29,What is covid,0,19.0
522,What is covid?,0,19.0
544,What is covid,0,19.0
579,Covid?,0,19.0
609,What is covid,0,19.0
1353,Do I have covid?,0,19.0
308,Is it true that warm kills Coronavirus?,0,2.0
330,Symptoms of corona,0,2.0
353,Is it true that warm kills Coronavirus?,0,2.0
639,How do I know if I have the flu or coronavirus,0,2.0
666,What is the probability of dying?,0,2.0
760,What are the symptoms of Corona?,0,2.0
1385,"What are the daily death rates in Italy, that are Not from COVID19?",0,2.0
1539,Is it dangerous to go for a walk?,0,2.0
1753,What is corona,0,2.0
1834,What is corona,0,2.0
129,Do the virus stay in air?,0,1.0
258,Impact of covid,0,1.0
282,Should I star home and even avoid going to the supermarket and drugstore?,0,1.0
293,What are the symptoms of the covid19?,0,1.0
350,Who is at risk?,0,1.0
674,how many people in America?,0,1.0
767,What are the symptoms of covid19,0,1.0
773,What are the symptoms of covid19?,0,1.0
825,Who is most at risk? ,0,1.0
985,"I'm hot, what do I do?",0,1.0
1079,When will life get back to normal?,0,1.0
1185,I have fever 38°C. Is that corona virus symptoms?,0,1.0
1223,how many people die for cover?,0,1.0
1708,What are the symptoms I should feel if I am infected with Corona virus?,0,1.0
155,What is the incubation time of the virus?,0,9.0
254,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobey’s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,0,9.0
321,Where should I go?,0,9.0
396,Am I infected,0,9.0
553,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,0,9.0
564,Will there be any changes in PGWP?,0,9.0
696,What is the mortality rate?,0,9.0
857,Option to run the questions for children ,0,9.0
1122,"Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide, instead of scrambling, or ordering these last minute, and also have enough hospitals built, because if we don't do that, we'll have to do what China did and build a hospital at the last minute?",0,9.0
1495,It would possible to predict the time of this pandemic?,0,9.0
1508,"If I'm in self-quarantine with mild symptoms of some sort of respiratory thing, when can I stop self-quarantining?",0,9.0
1541,What's a waiting time to get covid-19 results?,0,9.0
1703,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?",0,9.0
1831,should I worry about covid 19?,0,9.0
1838,What are the top symptoms ,0,9.0
1852,"If I cross someone on the street, how are the chance to catch the virus ?",0,9.0
163,What kind of medication can I take if I have the virus ?,0,16.0
167,Is there a vaccine for corona virus?,0,16.0
476,When do I expect to hear back from you? ,0,16.0
505,what are the main symptoms,0,16.0
632,How do I know if my chest is hurt because lung damage or another cause?,0,16.0
740,How long am I infectious for,0,16.0
851,What is the origin of COVID-19?,0,16.0
941,What should I do if I start feeling sick with similar symptoms as in covid19?,0,16.0
952,is covid-19 dangerous,0,16.0
953,How to differentiate between coronavirus and simple flu?,0,16.0
1066,Can I get infected after I healed from it?,0,16.0
1248,"im sneezing, should i be worried?",0,16.0
1303,Should he self isolate when he gets here even if he feels well?,0,16.0
1756,"When having covid-19, What are the next possible symptoms for a 4 years old child",0,16.0
1813,How dangerous is the COV-19?,0,16.0
1846,Is there a vaccine for corona virus?,0,16.0
27,Which country infected ? ,0,6.0
262,Will herd immunity be the only means of eradicating COVID-19?,0,6.0
471,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,0,6.0
593,Which country infected ? ,0,6.0
678,How long does it last once infected ?,0,6.0
706,What should I do if i think that i'm infected ?,0,6.0
720,how much does corona virus stay on each kind of surfaces?,0,6.0
722,Could stores open a few hours a week for the elderly? ,0,6.0
742,Should I take the metro?,0,6.0
822,"My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?",0,6.0
1277,what is my level of risk?,0,6.0
1363,Can antibiotics deal with viral infection?,0,6.0
1434,When will the municipalities post heat maps to identify hot spots for Covid positive residents?,0,6.0
1493,i have some headeche,0,6.0
1693,How does it take to recover from the virus?,0,6.0
1735,How is the corona virus being spread,0,6.0
1746,how many people died so far?,0,6.0
19,How to avoid exposure?,0,22.0
26,What is the impact that covid-19 has in the economy?,0,22.0
241,what is the death rate of the new corona virus,0,22.0
311,How does COVID-19 kill its victims?,0,22.0
393,How about covid situations? ,0,22.0
464,Will high temperature kill coronavirus?,0,22.0
501,what do you know about COVID-19?,0,22.0
654,How many case in montreal,0,22.0
713,How do I know if I have the covid-19,0,22.0
890,What is the estimated population that will be infected by the covid-19 virus?,0,22.0
1015,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",0,22.0
1130,What do I do if someone with COVID-19 spotted?,0,22.0
1528,"if i think i have it, should i got get tested",0,22.0
1540,is the liquor store open?,0,22.0
1594,Does the amount of virus one is exposed to change the severity of the symptoms?,0,22.0
1650,What is the total number of deaths ,0,22.0
1794,What is the death rate in South Carolina?,0,22.0
280,how is covid 19 spread?,0,14.0
381,"I think I have coronavirus, should I go to the emergency",0,14.0
420,Is it true that COVID-19 can survive up to a few days on hard surfaces?,0,14.0
650,Can I go for a run? Does running/exercise compromise my immune system? ,0,14.0
669,Can you explain to me what is the covid19?,0,14.0
700,Does COVID 19 cause stomach issues,0,14.0
830,Symptom,0,14.0
873,I am feeling sick ,0,14.0
1075,treatment for covid 19,0,14.0
1090,Can you get the virus twice ? ,0,14.0
1119,How many people are infected in toronto,0,14.0
1200,What to do when i gave cough,0,14.0
1251,Symptom,0,14.0
1281,What will be th impact on international students?,0,14.0
1366,My son is flying from Kansas to England on the 30th April. He is flying into Heathrow and then travelling home to Manchester by train,0,14.0
1511,I had a bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus?,0,14.0
1676,When can I go to my cabin?,0,14.0
1729,Can you see friends if you stick to the social distancing guidelines?,0,14.0
162,Does covid-19 test anonymous?,0,15.0
188,Are we going to have trouble buying milk? ,0,15.0
190,Is headache a symptom of this pandemic? ,0,15.0
230,Chlono,0,15.0
232,if my tempreture is over 39 can i assume that i have covid-19 ?,0,15.0
479,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,0,15.0
711,How does it die in asymptomatic people?,0,15.0
829,how many people have died in the US?,0,15.0
863,How long is the treatment?,0,15.0
882,how old are you?,0,15.0
892,Does the  virus stay on clothing?,0,15.0
951,Is it safe to give blood?,0,15.0
1058,"If you recover from the virus, can you still be a carrier ",0,15.0
1178,How can i cure covid-19?,0,15.0
