,question,ahc_label,cluster
0,Are you sick?,0,
1130,What do I do if someone with COVID-19 spotted?,0,
1122,"Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide, instead of scrambling, or ordering these last minute, and also have enough hospitals built, because if we don't do that, we'll have to do what China did and build a hospital at the last minute?",0,
1118,Are there any risk for the foetus? ,0,
1112,What are the covid simptons?,0,
1104,Can I run outside,0,
1102,Will people on LTD (Long Term Disability) drill receive their payments?,0,
1093,Can you smoke cannabis during Covid?,0,
1090,Can you get the virus twice ? ,0,
1088,"If I have symptoms and I am told to stay home, can I take Tylenol?",0,
1085,Will the pandemic affect university research?,0,
1079,When will life get back to normal?,0,
1075,treatment for covid 19,0,
1136,How long can the virus stay in the air,0,
1073,what is the risk for a pregnent woman ?,0,
1069,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,0,
1064,"if someone had pneumonia before, are they more at risk?",0,
1058,"If you recover from the virus, can you still be a carrier ",0,
1055,How does Covid-19 spread?,0,
1054,Is COVID-19 air-borne?,0,
1050,what is pandemic,0,
1048,How much it's prevelent in Pakistan?,0,
1046,What should I use to disinfect grocery bags and grocery items? ,0,
1043,I think I have COVID,0,
1036,How long will I be sick if I get the virus,0,
1034,My brother has COVID-19. What to do?,0,
1030,what is self monitoring?,0,
1072,How long does the virus survive on a surface like a doorknob?,0,
1139,Can we be contagious when we don't show symptoms?,0,
1143,When will we be back to work?,0,
1146,What is self-isolation?,0,
1272,What are you symtoms of covid? ,0,
1268,"If I catch the virus, will I be immune from getting it again?   ",0,
1266,What is your name,0,
1263,Can I fo,0,
1262,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,0,
1260,Do I need to be seen by a doctor,0,
1258,what is self isolation?,0,
1254,Do the symptoms start suddenly or they progress slowly from one day to another? ,0,
1248,"im sneezing, should i be worried?",0,
1244,"On a recent study published in ""Nature"" ,it says that the severity of symptoms of COVID-19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed ,my question is ,on what factors does the rate of ACE2 gene expression depends? I",0,
1242,how to prepare for spread of covid 19?,0,
1221,What is the meaning of COVID-19?,0,
1219,List of Canadian hospitals treating (not testing) patients with COVID-19?,0,
1217,What's happen for country near the Ecuador with a lot of hot? ,0,
1215,"If you contract COVID-19, how do you treat yourself at home?",0,
1211,Is it ok to go outside to get fresh air?,0,
1207,How did this virus transmit?,0,
1202,How are you?,0,
1199,When will the pandemic end? ,0,
1191,WHat is your name,0,
1184,Doeas the software is automatic in English because I use an English device? If I ask in French the answer will be in French?,0,
1181,What COVID-19 stands for?,0,
1178,How can i cure covid-19?,0,
1166,Do I need to wash my vegetables and fruits?,0,
1165,Does COVID-19 spread by means of gametes?,0,
1155,"In this time of crisis, is it okay to feed the raccoons",0,
1147,I recently relocated to Quebec. Can I request RAMQ card with visiting the RAMQ office?,0,
1023,What is covid 29,0,
1018,how to prevent ?,0,
1015,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",0,
1007,is china responsible for the spreading of COVID-19?,0,
849,what are the risks for someone aged 65?,0,
835,"If I am starting to breath heavily, should I get it checked out?",0,
825,Who is most at risk? ,0,
824,Where did COVID-19 come from?,0,
