,question,ahc_label
236,Am I allowed to go for a walk?,0
664,When will it be ok to go outside?,0
1397,Is it safe to go outside for a walk (social distancing from others)?,0
812,Where do I go if I have mild symptoms?,0
1676,When can I go to my cabin?,0
1539,Is it dangerous to go for a walk?,0
359,when is this pandemic going to end?,0
723,if i have symptoms should i go to the ER or should I call a doctor?,0
1039,can I go outside,0
981,When should I go to the ER?,0
383,Is fever the main symptom for vivid-19,1
1779,"should I call to find out more, it’s the coughing and difficulty breathing and fatigue that worries me",1
12,How's the shortness of breath?,1
1511,I had a bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus?,1
1200,What to do when i gave cough,1
1343,"I’ve have mild cough and not the continuous one. And symptoms of fever like burning eyes, but not the temperature. What do I do?",1
331,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,1
1341,What should I do if I start coughing?,1
1408,What should i do if i am short of breath?,1
1800,What is the likelihood of having covid if only showing one symptoms for example dry cough,1
354,is coughing phlem a symptom?,1
713,How do I know if I have the covid-19,2
1655,How to know if I get COVID-19 or not?,2
1423,How do I know I have covid?,2
501,what do you know about COVID-19?,2
1642,What are the side-effects of hydroxychloroquine for treating COVID-19?,3
420,Is it true that COVID-19 can survive up to a few days on hard surfaces?,3
1215,"If you contract COVID-19, how do you treat yourself at home?",3
633,Is it safe to order food during the COVID-19 pandemic?,3
428,Can COVID-19 stay alive on fresh fruit and vegetables?,3
232,if my tempreture is over 39 can i assume that i have covid-19 ?,3
1473,When will covid end? ,3
1637,What about the researches with respect to treatment of COVID-19,3
262,Will herd immunity be the only means of eradicating COVID-19?,3
479,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,3
1507,I have a lot of stress regarding COVID-19,3
311,How does COVID-19 kill its victims?,3
1330,Define covid 18,3
520,How is covid transmitted?,3
1321,What colour is covid 19?,3
1312,Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?,3
258,Impact of covid,3
1305,Is there more than one strain of COVID-19?,3
1300,what treatments are available for covid-19?,3
553,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,3
1339,How do i knew if i got covid,3
1349,Infomation about covid,3
557,Is covid very dangerous,3
563,How can I differ between covid and normal flu ?,3
1272,What are you symtoms of covid? ,3
546,age wise statistics for covid-19,3
1558,I have a bit of nausea and headache. Do i have covid-19?,3
1130,What do I do if someone with COVID-19 spotted?,3
1487,What places of laval has covid-19,3
199,Is itchy throat sign of covid 19,3
1023,What is covid 29,3
393,How about covid situations? ,3
1747,Does covid transfer through air?,3
1054,Is COVID-19 air-borne?,3
360,"How can I make sure, I am buying from grocery is safe from COVID-19 ",3
161,Can the Covid survive in the air?,3
728,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,3
26,What is the impact that covid-19 has in the economy?,3
926,How should I keep my family safe during covid-19?,3
931,Do i have a covid or is it just a cold?,3
1093,Can you smoke cannabis during Covid?,3
851,What is the origin of COVID-19?,3
1112,What are the covid simptons?,3
700,Does COVID 19 cause stomach issues,3
880,what is covid-2019,3
1662,"Once you are cured from Covid-19, can you catch it again?",3
1813,How dangerous is the COV-19?,3
1034,My brother has COVID-19. What to do?,3
505,what are the main symptoms,4
775,Can I be contagious even if I don't have symptoms? ,4
1508,"If I'm in self-quarantine with mild symptoms of some sort of respiratory thing, when can I stop self-quarantining?",4
1775,Can I move in with family if we have all been symptom free for 14 days?,4
1765,I am feeling itchy around my body. Is it a symptom of covid? ,4
1756,"When having covid-19, What are the next possible symptoms for a 4 years old child",4
1823,If you start showing flu symptoms should you consult a doctor or stay home?,4
1838,What are the top symptoms ,4
1139,Can we be contagious when we don't show symptoms?,4
177,Does a throat feel itchy or really sore and a symptom ,4
190,Is headache a symptom of this pandemic? ,4
630,Whatbare the symptoms,4
710, When should I consult after the vomitting symptoms for a 4 y-o child? ,4
1088,"If I have symptoms and I am told to stay home, can I take Tylenol?",4
621,"If I'm below the age of 30, will I notice symptoms if I'm sick?",4
1401,Which are its first symptoms?,4
567,What are the symptoms of SARS-COV-2,4
1254,Do the symptoms start suddenly or they progress slowly from one day to another? ,4
1436,Is sore throats a symptom ,4
1594,Does the amount of virus one is exposed to change the severity of the symptoms?,4
573,what are cov19 symptoms,4
813,How many thing you do not understand,5
1711,How many days does it take to see the symptoms,5
1206,Number of cases in Inida,5
917,Were there documented cases before January 2020?,5
909,What is the current COVID-19 confirmed cases trend for Canada?,5
628,how many deaths are in Italy as of March 21,5
871,How many patients are across the globe? ,5
643,How many days can you be contagious without showing symptoms?,5
1063,In how many days can covid be cured? ,5
1026,How many days should I isolate for,5
1402,Can I get infected from food or grocery delivery?,6
491,how can I prevent to get infected?,6
1066,Can I get infected after I healed from it?,6
1294,Get I get infected from a dog?,6
929,Can you get be infected more than once? ,6
1057,where can I test for covid,7
1208,Where do we get the test for COVID-19?,7
385,Where should I be tested ?,7
1262,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,8
1207,How did this virus transmit?,8
489,How severe is the virus? ,8
734,If I fully recover from COVID-19 would I still be considered a carrier and transmit the virus?,8
1058,"If you recover from the virus, can you still be a carrier ",8
1357,Does soap really kill the virus?,8
743,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,8
789,Has the virus evolved,8
586,Will the virus affect my sexual ability ,8
892,Does the  virus stay on clothing?,8
599,How deadly is the virus?,8
495,Does temperature has any effect on the virus,8
1852,"If I cross someone on the street, how are the chance to catch the virus ?",8
1506,Is the virus deadly?,8
1681,What is the difference between a bacteria and a virus?,8
129,Do the virus stay in air?,8
163,What kind of medication can I take if I have the virus ?,8
1626,how can one fight the virus ,8
1822,Does eating Oranges daily help to fight this virus,8
1817,how painful will it be if I got the virus?,8
123,Do we see a future where this virus won't be such a threat anymore? ,8
118,Will the heat of the summer help fighting the virus?,8
348,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,8
1706,How deadly is the virus?,8
1574,Is the virus airborne ,8
1468,When this virus terminated?,8
1274,How long can the virus live?,9
1136,How long can the virus stay in the air,9
994,how long would it take for the virus to disappear ? ,9
695,How long does the virus live on clothes?,9
1036,How long will I be sick if I get the virus,9
680,What is the number of Covid19 cases in the wold,10
941,What should I do if I start feeling sick with similar symptoms as in covid19?,10
669,Can you explain to me what is the covid19?,10
278,Can drinking alcohol helps COVID19? ,10
1526,Is Covid19 an airborne? ,10
1385,"What are the daily death rates in Italy, that are Not from COVID19?",10
1548,What are the confirmed symptoms of COVID19,10
1796,I have a sore throat. Is that a sign of Covid19?,10
1121,Who can I make the difference between a cold and covid19?,10
14,covid19 symptons?,10
164,Will Covid19 go away like the 1918 influenza and SARS did,10
281,How can I make the difference between a cold and covid19?,10
760,What are the symptoms of Corona?,11
1059,What are the symptoms of corona virus,11
1653,What are the symptoms of corona virus,11
330,Symptoms of corona,11
1265,"I was in contact with a person who had coronavirus, what should I do? ",12
1038,What is the half-life of coronavirus?,12
308,Is it true that warm kills Coronavirus?,12
464,Will high temperature kill coronavirus?,12
1478,How do I distinguish between the flu and coronavirus?,12
953,How to differentiate between coronavirus and simple flu?,12
353,Is it true that warm kills Coronavirus?,12
1847,Is the phlegm color suggestive of coronavirus? ,12
646,Can anti-viral drugs be used to treat the coronavirus?,12
1203,Should I use asprin with I have the coronavirus?,12
381,"I think I have coronavirus, should I go to the emergency",12
295,How do I treat coronavirus?,12
659,What’s the incubation period? ,13
712,What is the period of incubation?,13
233,Is the virus infectious during incubation period?,13
714,What is the incubation period? ,13
155,What is the incubation time of the virus?,13
1145,How can I get help?,14
1114,"I would like to get COVID19 test, where can I get it?",14
1528,"if i think i have it, should i got get tested",14
632,How do I know if my chest is hurt because lung damage or another cause?,15
883,"If there are kids around me, do I have to worry if they are infected and I do not know?",15
822,"My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?",15
589,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,15
1264,"What measures can I take, if someone I know is effected with the virus",15
872,How i know that i 'm ill,15
572,I'd love to know how long I can be contagious?,15
1209,how long does COVID-19 virus lasts in the body?,16
781,How long can the covid-19 survive outside the body,16
1667,"If I have covid-19, how long will I be contagious?",16
1323,How long does COVID-19 live on glass surfaces?,16
1299,Corona virus characteristics,17
720,how much does corona virus stay on each kind of surfaces?,17
1205,What the different between corona and COVID_19?,17
429,"Hello, what happens after corona?",17
1307,is there a new form of corona virus?,17
679,Whats corona,17
815,What shall I do if I have to go out to buy things to protect myself from corona virus?,17
1743,Why corona is so dangerous ,17
241,what is the death rate of the new corona virus,17
1496,How many Canadians currently have corona virus?,17
1424,can you please tell me symptoms of corona virus?,17
619,What is the incubation period for COVID-19?,18
503,What is the incubation time of covid-19 by age,18
469,What if I have cough ?,19
1686,how much fever should i tolerate before going to the doctor? ,19
1326,I have shortness of breath but no fever,19
1161,"i am coughing, what should i do?",19
1148,"What are differences in term of symptoms between the new coronavirus and normal flu, cod",20
1417,What is the main symptoms of the disease related to new coronavirus,20
594,what are the main symptoms of coronavirus,20
629,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?",21
1211,Is it ok to go outside to get fresh air?,21
1645,Can I still go out for grocery shopping even if I'm just getting back from vacations,21
1421,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",21
1407,I was very sick with covid symptoms in late February and still coughing . Should I go get tested,21
1336,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",21
1015,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",21
756,I am coughing but I don't have fever. Could I have covid-19?,22
950,What should I do if I have fever?,22
176,I have fever what I should do,22
550,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",22
733,Is a cough but no fever a symptom?,22
2,I think I have a fever. What do I do?,22
1380,"I have a fever, what should I do now?",22
1704,What to do if I think I have covid 19?,23
440,I cough. is it Covid-19?,23
1043,I think I have COVID,23
451,What do I do if I suspect I'm infected?,24
1363,Can antibiotics deal with viral infection?,24
798,Can this virus infect me in an airborne fashion?,24
159,I have cough. Does that mean I might be infected?,24
1564,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",24
1045,Do I have to wear a mask all the time if I am not infected?,24
946,Does everyone infected need a respirator?,24
1597,"Does Pneumonia vaccine, which is for a bacterial infections, helps the immune system to deal with the viral infection of Covid-19 more easily? By removing the possibility of bacterial infection and just focusing on viral infection!",24
211,What is the current situation of COVID-19 infections?,24
890,What is the estimated population that will be infected by the covid-19 virus?,24
1652,Can I get the virus from breathing infected airborn particules,24
1374,What do I have to expect after the disease?,25
873,I am feeling sick ,25
882,how old are you?,25
1334,Why didn't you answer my first question?,25
1741,What should you do if you dont have water and soap and sanitizer?,25
1030,what is self monitoring?,25
1500,What the size,25
1434,When will the municipalities post heat maps to identify hot spots for Covid positive residents?,25
1449,Have there been any deceased children so far?,25
1493,i have some headeche,25
1483,Suffering from trout echiting,25
