,question,ahc_label,cluster
169,Are research fundings going to be cut as a result of the virus,0.0,unclassified
439,Is it ok to go outside to get fresh air,0.0,unclassified
78,Should I star home and even avoid going to the supermarket and drugstore,0.0,unclassified
46,Are we going to have trouble buying milk,0.0,unclassified
38,Will Covid19 go away like the 1918 influenza and SARS did,0.0,unclassified
94,Where should I go,0.0,unclassified
60,when covid 19 is going to stop,0.0,unclassified
342,When should I go to the ER,0.0,unclassified
34,how is going,0.0,unclassified
64,Am I allowed to go for a walk,0.0,unclassified
228,When will it be ok to go outside,0.0,unclassified
621,how much fever should i tolerate before going to the doctor,0.0,unclassified
479,Is there more than one strain of COVID 19,1.0,unclassified
176,How does COVID 19 affect lungs And how do you see this pandemic will impact the world s economy,1.0,unclassified
73,Impact of covid,1.0,unclassified
173,age wise statistics for covid 19,1.0,unclassified
180,How can I differ between covid and normal flu,1.0,unclassified
133,Is it true that COVID 19 can survive up to a few days on hard surfaces,1.0,unclassified
255,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID 19,1.0,unclassified
92,How does COVID 19 kill its victims,1.0,unclassified
216,Is it safe to order food during the COVID 19 pandemic,1.0,unclassified
127,How about covid situations,1.0,unclassified
115,How can I make sure I am buying from grocery is safe from COVID 19,1.0,unclassified
329,How should I keep my family safe during covid 19,1.0,unclassified
292,My head hurts my body aches a little and I feel a cold coming How do I know if this is Covid 19 or just an ordinary cold,1.0,unclassified
392,Can you smoke cannabis during Covid,1.0,unclassified
389,Will the pandemic affect university research,1.0,unclassified
74,Will herd immunity be the only means of eradicating COVID 19,1.0,unclassified
490,Define covid 18,1.0,unclassified
483,Would using heated vapor humidifier help with sanitizing the sinuses of the covid 19,1.0,unclassified
600,What are the side effects of hydroxychloroquine for treating COVID 19,1.0,unclassified
495,How do i knew if i got covid,1.0,unclassified
500,Infomation about covid,1.0,unclassified
542,What places of laval has covid 19,1.0,unclassified
591,Should I be moving house during a pandemic,1.0,unclassified
50,Is itchy throat sign of covid 19,1.0,unclassified
545,It would possible to predict the time of this pandemic,1.0,unclassified
108,How to protect my family from COVID 19,2.0,unclassified
663,What can we do to protect ourselves from COVID 19,2.0,unclassified
291,what kind of protective gear do i need to wear,2.0,unclassified
186,how to protect myself from it,2.0,unclassified
672,How can I protect myself,2.0,unclassified
178,How to protect myself on a plane,2.0,unclassified
270,How can I protect myself from the covid 19,2.0,unclassified
416,How long does it take an average person to recover,3.0,unclassified
624,How does it take to recover from the virus,3.0,unclassified
577,How long does it take to recover,3.0,unclassified
420,How long will it take to develop a vaccine,3.0,unclassified
347,how long would it take for the virus to disappear,3.0,unclassified
447,How long will it take for a vaccine to be produced,3.0,unclassified
311,How long does it take to recover,3.0,unclassified
231,how many people in America,4.0,unclassified
238,How many people have it in my town,4.0,unclassified
21,How many people have dies,4.0,unclassified
683,how many people related covid 19,4.0,unclassified
664,Can you die from contracting covid,4.0,unclassified
101,how many people positive result with COVID 19,4.0,unclassified
612,how many case positive with COVID 19,4.0,unclassified
380,In how many days can covid be cured,4.0,unclassified
445,how many people die for cover,4.0,unclassified
617,how many people positive with Covid 19 in the world,4.0,unclassified
345,Can I die from Covid 19,4.0,unclassified
615,How to prevent the spread of COVID 19,5.0,unclassified
308,Is there a different varient of virus which is spreading across the world,5.0,unclassified
351,How fast will the pandemic spread in Canada,5.0,unclassified
641,How much the quarantine process has a positive impact on reducing contamination spread,5.0,unclassified
353,is china responsible for the spreading of COVID 19,5.0,unclassified
570,When will it stop spreading Is 2 weeks enough,5.0,unclassified
414,Does COVID 19 spread by means of gametes,5.0,unclassified
449,how to prepare for spread of covid 19,5.0,unclassified
3,Does the virus spread by rain,5.0,unclassified
40,Is there a vaccine for corona virus,6.0,unclassified
681,Is there a vaccine for corona virus,6.0,unclassified
566,Is there a treatment for corona virus,6.0,unclassified
581,How long before we have a vaccine for corona,6.0,unclassified
618,When is the vaccine available,6.0,unclassified
399,Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide instead of scrambling or ordering these last minute and also have enough hospitals built because if we don t do that we ll have to do what China did and build a hospital at the last minute,7.0,unclassified
487,How long does COVID 19 live on glass surfaces,7.0,unclassified
467,How long can the virus live,7.0,unclassified
219,I feel heaviness in my chest nothing else from last 2 week,7.0,unclassified
438,how long does COVID 19 virus lasts in the body,7.0,unclassified
384,How long does the virus survive on a surface like a doorknob,7.0,unclassified
239,How long does the virus live on clothes,7.0,unclassified
260,How long am I infectious for,7.0,unclassified
327,How long does the virus remain active and alive after attacking a human body,7.0,unclassified
561,How long do you think we will have to be in a lockdown,7.0,unclassified
184,I d love to know how long I can be contagious,7.0,unclassified
277,How long can the covid 19 survive outside the body,7.0,unclassified
555,I had a bronchitis last month and I m still having trouble with my breathing a month later but I don t have a fever Could it be corona virus,7.0,unclassified
59,How long are you contagious if you have Coronavirus,7.0,unclassified
685,If I cross someone on the street how are the chance to catch the virus,8.0,unclassified
551,Is the virus deadly,8.0,unclassified
458,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs,8.0,unclassified
538,When this virus terminated,8.0,unclassified
436,How did this virus transmit,8.0,unclassified
262,Is the virus vulnerable to high temperature Does steam cleaning the surfaces and cloths kills the virus,8.0,unclassified
315,Isn t the economy impact and the panic reaction going to kill more than the virus It seems the virus only kills 1 while over 30 of the population might lose their jobs,8.0,unclassified
278,Has the virus evolved,8.0,unclassified
197,How deadly is the virus,8.0,unclassified
190,Will the virus affect my sexual ability,8.0,unclassified
503,Does soap really kill the virus,8.0,unclassified
578,Is the virus airborne,8.0,unclassified
670,how painful will it be if I got the virus,8.0,unclassified
153,How severe is the virus,8.0,unclassified
156,Does temperature has any effect on the virus,8.0,unclassified
656,How contagious is the virus,8.0,unclassified
162,How is covid transmitted,8.0,unclassified
630,How is it transmitted,8.0,unclassified
629,How deadly is the virus,8.0,unclassified
281,Can this virus infect me in an airborne fashion,8.0,unclassified
596,how can one fight the virus,8.0,unclassified
620,What is the difference between a bacteria and a virus,8.0,unclassified
25,Do we see a future where this virus won t be such a threat anymore,8.0,unclassified
468,what is my level of risk,9.0,unclassified
6,What mesures needs to take a pregnant women to reduce the risk,9.0,unclassified
107,Who is at risk,9.0,unclassified
294,Who is most at risk,9.0,unclassified
301,what are the risks for someone aged 65,9.0,unclassified
340,What is the risk for a pregnant women,9.0,unclassified
343,What is the risk for an asthmatic,9.0,unclassified
381,if someone had pneumonia before are they more at risk,9.0,unclassified
352,What are the risks for people with diabetes,9.0,unclassified
385,what is the risk for a pregnent woman,9.0,unclassified
85,who is at risk of dying after contracting the virus,9.0,unclassified
396,Are there any risk for the foetus,9.0,unclassified
283,How dangerous it is for pregnant womens,10.0,unclassified
643,Why corona is so dangerous,10.0,unclassified
179,Is covid very dangerous,10.0,unclassified
337,is covid 19 dangerous,10.0,unclassified
563,Is it dangerous to go for a walk,10.0,unclassified
653,is it dangerous to travel,10.0,unclassified
667,How dangerous is the COV 19,10.0,unclassified
100,where can I help,11.0,unclassified
649,Does Wearing gloves help,11.0,unclassified
350,Should I be worried about getting sick if the government does not lock down everything,11.0,unclassified
387,When will life get back to normal,11.0,unclassified
536,Should I use Sudafed,11.0,unclassified
7,Do you think Taiwan is good,11.0,unclassified
106,is the grocery open,11.0,unclassified
456,Do I need to be seen by a doctor,11.0,unclassified
370,What should I use to disinfect grocery bags and grocery items,11.0,unclassified
