,timestamp_est,anonymous_id,language,question,detected_lang,text,translation,cluster,ahc_label
3,2020-03-19T14:00:19.88Z,71a29314-2b32-43d5-b09a-1795a5380e60,fr,LP TEST question,fr,lp test question,LP TEST question ,test,
6,2020-03-19T13:47:48.848Z,0b0df84f-dcc5-42c0-980e-bafacd3bbdbe,fr,"Je fais une sarcoidose pulmonaire, je suis tu plus a risque si jamais j attrape le covid 19",fr,je fais une sarcoidose pulmonaire je suis tu plus a risque si jamais j attrape le covid,"I have pulmonary sarcoidosis, I'm more at risk if I ever catch covid 19 ",dangerisk,
11,2020-03-19T15:39:52.508Z,b3cd859f-a9f3-4985-a884-0a8387a9daa4,fr,Est ce que la toux est sèche ou grasse?,fr,est ce que la toux est seche ou grasse,Is the cough dry or oily? ,unclassified,27.0
12,2020-03-19T14:16:03.429Z,34327a70-7e54-4f53-bdf6-6809c83a8d5e,fr,Je ne me sens pas bien ,fr,je ne me sens pas bien,,unclassified,4.0
17,2020-03-19T13:55:41.747Z,59eafb5a-76c4-4e07-891d-6e79276fa82d,fr,"Bonjour,",fr,bonjour,"Bonjour,",unclassified,31.0
20,2020-03-19T18:59:07.385Z,9d2640e3-f634-4b95-85a0-4c6060c3ebaf,fr,Est-ce que je devrais travailler de la maison?,fr,est ce que je devrais travailler de la maison,Should I work from home? ,unclassified,21.0
21,2020-03-19T18:08:56.871Z,d4b6deb3-886d-4746-81bf-3a1f6892b085,fr,"Si j'ai des symptômes faible (toux seulement) et que je suis en isolement à la maison. Je ne suis pas sortis du pays, je n'ai pas cotoyés de gens qui reviennent de l'extérieur et je n'ai pas utilisé de transport en commun. Est-ce que je peut quand même sortir dehors en évitant de passer à moins de 2m d'une autre personne ?",fr,si j ai des symptomes faible toux seulement et que je suis en isolement a la maison je ne suis pas sortis du pays je n ai pas cotoyes de gens qui reviennent de l exterieur et je n ai pas utilise de transport en commun est ce que je peut quand meme sortir dehors en evitant de passer a moins de m d une autre personne,"If I have weak symptoms (cough only) and I am in isolation at home. I did not leave the country, I did not mix with people returning from outside and I did not use public transport. Can I still go outside avoiding going less than 2m from another person? ",nextsteps,
22,2020-03-19T19:40:32.987Z,328ca7d6-c2c6-4977-897d-88e8066163e7,fr,J’ai une fièvre est ce que je dois rester chez moi ou aller au travail sans aucun souci? ,fr,j ai une fievre est ce que je dois rester chez moi ou aller au travail sans aucun souci,I have a fever should I stay at home or go to work without any worries? ,nextsteps,
23,2020-03-20T10:58:39.806Z,6a7eff0e-2446-4545-b16d-9b642051e9bf,fr,que dois-je faire si je travail et je suis malade,fr,que dois je faire si je travail et je suis malade,what should i do if i work and i am sick,unclassified,37.0
24,2020-03-20T11:08:16.057Z,2cf1d255-62d3-4f65-869e-d08648c25dbe,fr,"Je suis pharmacienne communautaire et je prends des immunosupresseurs tel que le plaquenil, le mtx ainsi que humira. Je me demande s'il se",fr,je suis pharmacienne communautaire et je prends des immunosupresseurs tel que le plaquenil le mtx ainsi que humira je me demande s il se,"I am a community pharmacist and I take immunosuppressants such as plaquenil, mtx as well as humira. I wonder if it is ",unclassified,21.0
25,2020-03-20T11:14:07.001Z,10f6c51e-8097-469e-9f77-ed67e039c9b5,fr,Info santé 811 nous a dit qu'il nous appelerais pour un rendez-vous mais ils n ont pas encore que faut il faire pour avoir un rendez vous de dépistage ,fr,info sante nous a dit qu il nous appelerais pour un rendez vous mais ils n ont pas encore que faut il faire pour avoir un rendez vous de depistage,Info health 811 told us that he would call us for an appointment but they have not yet done what to do to have a screening appointment,unclassified,43.0
