,timestamp_est,anonymous_id,language,question,detected_lang,text,statistics,open,airborne,caution,viruslife,viruskill,virusfight,treatment,incubation,nextsteps,hospital,lockdown,infection,test,isolation,dangerisk,transmission,symptom,about,future,past,total,cluster
0,2020-03-18T17:57:10.427Z,7302144e-abbe-4fa4-aaf1-cf5eb674a862,en,What is Dialogue's position on sick notes?,en,What is Dialogue s position on sick notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
1,2020-03-19T11:16:11.354Z,5a65a4bd-05aa-4ca8-b6da-5f807bde3294,en,What are Dialogue services?,en,What are Dialogue services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
2,2020-03-19T14:17:16.246Z,6d60c897-dd96-483d-b528-b65fcae4c1b0,en,Should I practice social distancing? ,en,Should I practice social distancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,isolation
4,2020-03-19T14:16:05.351Z,f264fd4b-de03-4dc0-8531-fa9d0a1b0633,en,I'd love to know how long I can be contagious?,en,I d love to know how long I can be contagious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
7,2020-03-19T13:40:44.882Z,f75ca552-9cf8-4f52-8151-25c0cea0a8b0,en,Get I get infected from a dog?,en,Get I get infected from a dog,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infection
8,2020-03-19T23:02:18.034Z,58cd9504-720d-44cd-89a2-4cc83cde7b90,en,Someone from quarantaine came to my office and stayed 20min. Is it a risk,en,Someone from quarantaine came to my office and stayed 20min Is it a risk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,dangerisk
9,2020-03-19T14:20:00.831Z,8939cba6-f923-44fe-9cf4-8a56e198778b,en,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",en,What is the difference between a pandemic epidemic Why did WHO declare this a pandemic What is the difference between social distancing self isolating and quarantine To what extent is social distancing helpful Why should I do this When should you self isolate Will the virus be less effective when we get warmer weather When should I go to the hospital Should I get tested if I was in contact with someone who has or is suspected of having covid19 but do not have any symptoms Should I stop taking medications that suppress my immune system When someone in the household is coming and going for work how can we keep the home a safe place Can the virus be transmitted through Air Conditioning from outside or from within the home How long does the virus last on inanimate objects plastic glass cardboard metal What have we learned from countries like China South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,10,future
13,2020-03-19T14:08:51.894Z,04fd4b84-3015-492f-aa37-eacf6e432a70,en,If you start showing flu symptoms should you consult a doctor or stay home?,en,If you start showing flu symptoms should you consult a doctor or stay home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
15,2020-03-19T14:40:42.773Z,4c2c5c1b-2327-45d5-8c63-901cac28ea30,en,Can I go for a run? Does running/exercise compromise my immune system? ,en,Can I go for a run Does running exercise compromise my immune system,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,symptom
16,2020-03-19T14:17:16.25Z,6d60c897-dd96-483d-b528-b65fcae4c1b0,en,If I think I have symptoms of COVID19 should I go to the emergency room? ,en,If I think I have symptoms of COVID19 should I go to the emergency room,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,symptom
