,timestamp_est,anonymous_id,language,question,detected_lang,cluster
0,2020-03-18 17:57:10.427,7302144e-abbe-4fa4-aaf1-cf5eb674a862,en,What is Dialogue's position on sick notes?,en,unclassified
1,2020-03-19 11:16:11.354,5a65a4bd-05aa-4ca8-b6da-5f807bde3294,en,What are Dialogue services?,en,unclassified
2,2020-03-19 14:17:16.246,6d60c897-dd96-483d-b528-b65fcae4c1b0,en,Should I practice social distancing? ,en,personal-isolation
4,2020-03-19 14:16:05.351,f264fd4b-de03-4dc0-8531-fa9d0a1b0633,en,I'd love to know how long I can be contagious?,en,unclassified
7,2020-03-19 13:40:44.882,f75ca552-9cf8-4f52-8151-25c0cea0a8b0,en,Get I get infected from a dog?,en,covid-animals
8,2020-03-19 23:02:18.034,58cd9504-720d-44cd-89a2-4cc83cde7b90,en,Someone from quarantaine came to my office and stayed 20min. Is it a risk,en,covid-contagious
9,2020-03-19 14:20:00.831,8939cba6-f923-44fe-9cf4-8a56e198778b,en,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",en,personal-caution
10,2020-03-19 14:10:37.901,cb2c4687-5420-4370-a4fe-776ee5d10fc4,en,can I go outside,en,situation-lockdown
13,2020-03-19 14:08:51.894,04fd4b84-3015-492f-aa37-eacf6e432a70,en,If you start showing flu symptoms should you consult a doctor or stay home?,en,personal-whatif
15,2020-03-19 14:40:42.773,4c2c5c1b-2327-45d5-8c63-901cac28ea30,en,Can I go for a run? Does running/exercise compromise my immune system? ,en,situation-lockdown
16,2020-03-19 14:17:16.25,6d60c897-dd96-483d-b528-b65fcae4c1b0,en,If I think I have symptoms of COVID19 should I go to the emergency room? ,en,personal-symptoms
18,2020-03-19 14:06:17.831,f75ca552-9cf8-4f52-8151-25c0cea0a8b0,en,"I had an asthma attack when I was young, but didn't have an episode for over 15 years. Am I still at risk?",en,covid-contagious
19,2020-03-19 17:59:25.201,ce80a1dc-7cbd-4922-8b00-b491a17da62e,en,mental health,en,unclassified
27,2020-03-20 10:45:23.373,0e7ed3f5-c36e-4d36-a831-23abbb3f10f9,en,What are the symptoms? Is vomiting one of them ?,en,covid-symptoms
31,2020-03-20 17:02:53.112,a061e1ea-7076-45c7-b063-fe37c9207e8f,en,is covid-19 dangerous,en,covid-contagious
35,2020-03-20 15:24:19.841,aa2931e9-bac7-4345-9850-c975e8f3b69c,en,something something this is jared testing,en,personal-testing
36,2020-03-20 16:31:18.978,dc065361-3739-4ccb-b0ad-0bf81ee0da6a,en,What range is the fever at normally if COVID-19 suspected?,en,personal-whatif
42,2020-03-20 22:04:28.575,21839e4b-e5cd-4a69-ae87-58cb47db97eb,en,I got the flu two weeks ago and are getting symptoms again,en,covid-symptoms
45,2020-03-21 11:32:09.913,470bcaef-ae5a-45ad-a380-b79ad65d42b8,en,Is it safe to go outside for a walk (social distancing from others)?,en,personal-isolation
51,2020-03-21 11:41:51.954,abaf5c73-4246-463f-acdb-8acc5b349dee,en,Should I stay home ?,en,unclassified
52,2020-03-21 12:53:58.443,66c7bd79-e62c-428a-adac-f69fb087691c,en,is migraines a symptom?,en,covid-symptoms
61,2020-03-21 09:58:36.656,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,how can I prevent myself from getting sick?,en,personal-caution
64,2020-03-21 09:58:36.672,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,Can I visit my parents?,en,unclassified
65,2020-03-21 11:32:09.906,470bcaef-ae5a-45ad-a380-b79ad65d42b8,en,How often should i take my temperature?,en,unclassified
66,2020-03-21 12:16:29.001,cba04012-0cfb-430c-b660-4abeeeb1aa70,en,I have a headache and an itchy throat. Am I at risk? ,en,personal-symptoms
71,2020-03-21 11:51:21.207,5b925b2f-4861-464c-837c-d8656bedfdcc,en,How long does it last? ,en,unclassified
74,2020-03-21 11:42:59.473,5fb9b2b2-2fd7-4f6a-811f-b96aaf99b279,en,Is it safe to order food during the COVID-19 pandemic?,en,unclassified
85,2020-03-21 09:45:35.457,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How do I know if I have the corona virus,en,personal-symptoms
86,2020-03-21 11:06:23.73,92b082a8-7e8c-4f2e-81e1-ba052f1aaa86,en,I  take daily walks but keep a 6 ft distance when I talk to someone. Is that OK?,en,situation-lockdown
90,2020-03-21 09:45:35.493,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How can I get tested if I'm asymptomatic?,en,personal-whatif
91,2020-03-21 02:07:43.764,db5a20f9-6ce4-4c89-9833-f4fa5bb70b98,en,Does eating Oranges daily help to fight this virus,en,covid-fight
92,2020-03-21 11:41:51.96,abaf5c73-4246-463f-acdb-8acc5b349dee,en,Where should I be tested ?,en,personal-testing
94,2020-03-21 09:10:27.241,7b743f72-9dea-4951-908a-24e873d76a34,en,What are the symptoms of COVID-19?,en,covid-symptoms
95,2020-03-21 11:51:21.22,5b925b2f-4861-464c-837c-d8656bedfdcc,en,How long before we are healed ,en,unclassified
98,2020-03-21 09:58:36.661,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,How do I treat coronavirus?,en,unclassified
