,timestamp_est,anonymous_id,language,question,detected_lang,symptom,about,cases,incubation,infection,nextsteps,test,total,cluster,can,hospital,isolation
1,2020-03-21 22:41:05.702,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,When should I go to the hospital,en,0,0,0,0,0,0,0,1,hospital,0,1,0
2,2020-03-22 20:44:40.577,b3923f7c-ea90-4af2-94c5-5ee8736975fd,ko,I think I have a fever What do I do,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
4,2020-03-22 11:24:07.614,7977f4b9-e495-45f7-a5ca-841359f618ac,es,What s covid19,en,0,1,0,0,0,0,0,1,about,0,0,0
5,2020-03-22 16:34:39.551,4b388591-5ea5-401f-b387-9a4e6be70a91,pt,Does the virus spread by rain,en,0,0,0,0,0,0,0,0,,0,0,0
7,2020-03-22 18:37:45.23,f2db6c52-2c2a-4b9d-bc14-c5e71263788d,es,What are the synthoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
8,2020-03-21 23:43:37.95,ad758027-60ef-4316-974a-6856cdf18b7b,zh,what is covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
10,2020-03-23 08:35:41.274,fb8c308a-e920-42c9-86e1-4549263409fd,es,What mesures needs to take a pregnant women to reduce the risk,en,0,0,0,0,0,0,0,0,,0,0,0
11,2020-03-23 03:26:43.086,d1c57c03-08b8-48d1-ac72-767b54ab1797,zh,Do you think Taiwan is good,en,0,0,0,0,0,0,0,0,,0,0,0
12,2020-03-22 09:18:50.348,bcd29986-5e46-441c-921c-061ee2623526,es,How s the shortness of breath,en,0,0,0,0,0,0,0,0,,0,0,0
13,2020-03-21 22:41:05.632,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,How do I know if I haver coronavirus,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
14,2020-03-22 01:00:35.045,b8ba88da-151b-4d8a-a573-738feccd7008,es,covid19 symptons,en,1,0,0,0,0,0,0,1,symptom,0,0,0
15,2020-03-21 16:38:20.457,d2bf053f-2512-4f30-aab6-cf74894dc3c2,it,Is the Asymptomatic Carrier a temporary status,en,1,0,0,0,0,0,0,1,symptom,0,0,0
18,2020-03-22 23:25:50.815,838b0278-0b8e-4e9c-919d-500676aa9362,ru,What is it,en,0,0,0,0,0,0,0,0,,0,0,0
19,2020-03-22 18:12:15.255,95a344d0-0b90-4d40-bcec-ff414c0011bb,pl,How to avoid exposure,en,0,0,0,0,0,0,0,0,,0,0,0
23,2020-03-22 00:20:18.787,91c3514c-e3f6-43cd-beae-fb8cdcde4365,vi,What is Covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
25,2020-03-22 11:34:31.975,616e3fe0-cace-40fc-b66d-be3d4e3e8f69,es,What is the covid,en,0,1,0,0,0,0,0,1,about,0,0,0
26,2020-03-22 14:31:25.652,0b6c858e-1625-474b-991c-b4d20f11cec1,pt,What is the impact that covid 19 has in the economy,en,0,1,0,0,0,0,0,1,about,0,0,0
27,2020-03-22 06:05:35.159,f82b7385-b640-4e24-ad47-47188da99a82,vi,Which country infected,en,0,0,0,0,1,0,0,1,infection,0,0,0
29,2020-03-22 04:09:06.973,9dd21188-850f-4556-a89e-a11d4f6563b6,es,What is covid,en,0,1,0,0,0,0,0,1,about,0,0,0
45,2020-03-23 05:23:45.594,ff36e21c-f99a-4015-8fa0-bf1e7cceb028,es,What is the COVID 19,en,0,1,0,0,0,0,0,1,about,0,0,0
48,2020-03-22 13:11:45.491,58b49517-abdc-4c17-9398-0359753a23ec,ko,South korea,en,0,0,0,0,0,0,0,0,,0,0,0
61,2020-03-22 15:15:16.422,e90e8f0c-f73b-4fe1-9fcb-bed2f01dacb1,ro,How many people have dies,en,0,0,0,0,0,0,0,0,,0,0,0
83,2020-03-22 12:52:26.493,e84cb4b5-9e76-41f5-8c2a-04c6413dd1fd,fr,What is coronavirus,en,0,1,0,0,0,0,0,1,about,0,0,0
111,2020-03-21 23:21:56.733,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,What is,en,0,0,0,0,0,0,0,0,,0,0,0
118,2020-03-23 13:10:54.162,c25acb81-1f1a-4f2e-ae29-9216bbd03c22,fr,Will the heat of the summer help fighting the virus,en,0,0,0,0,0,0,0,0,,0,0,0
123,2020-03-22 09:45:57.944,90055b1e-cd4c-43aa-8914-1b8b2a531841,fr,Do we see a future where this virus won t be such a threat anymore,en,0,0,0,0,0,0,0,0,,0,0,0
129,2020-03-23 17:27:35.466,9d9a6c0f-5138-4d85-8b41-7f9239c14bb4,es,Do the virus stay in air,en,0,0,0,0,0,0,0,0,,0,0,0
136,2020-03-21 23:34:33.27,a26511f8-07a7-4e76-a246-c4c22f5f7f04,fr,Non,en,0,0,0,0,0,0,0,0,,0,0,0
143,2020-03-23 05:30:04.724,d46d22ae-35bb-42f7-a712-ec587b1ef363,fi,what are the symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
149,2020-03-23 05:28:46.341,d01635c9-e732-4ea4-a721-a4e4dd447617,en,what are the syptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
154,2020-03-22 13:11:45.572,58b49517-abdc-4c17-9398-0359753a23ec,ko,How many infected person in south korea,en,0,0,0,0,1,0,0,1,infection,0,0,0
155,2020-03-22 18:12:15.188,95a344d0-0b90-4d40-bcec-ff414c0011bb,pl,What is the incubation time of the virus,en,0,0,0,1,0,0,0,1,incubation,0,0,0
156,2020-03-22 13:41:43.827,283caf34-28a4-40d1-8e39-344b1843cd33,en,Why Germany has a low death rate,en,0,0,1,0,0,0,0,1,cases,0,0,0
159,2020-03-22 10:48:17.478,369aaaf4-82db-4e01-85dd-da912c45fa1f,en,I have cough Does that mean I might be infected,en,0,0,0,0,1,1,0,2,nextsteps,0,0,0
160,2020-03-21 20:56:54.137,a0147f27-050a-456f-9d52-8f4b317ba678,zh,how is going,en,0,0,0,0,0,0,0,0,,0,0,0
161,2020-03-22 11:54:26.169,6173618c-7291-45d0-8b5c-ca71a8e2e4ff,en,Can the Covid survive in the air,en,0,0,0,0,0,0,0,0,,0,0,0
162,2020-03-24 00:16:32.216,04d8887f-99ab-4148-a615-cfc89f9917e0,en,Does covid 19 test anonymous,en,0,0,0,0,0,0,1,1,test,0,0,0
163,2020-03-22 13:33:58.806,1fc3566f-0b50-4b55-a2a6-8448e5fb5d15,en,What kind of medication can I take if I have the virus,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
164,2020-03-21 17:41:30.343,a450d496-8c9b-497f-b19e-b5371abac3f6,en,Will Covid19 go away like the 1918 influenza and SARS did,en,0,0,0,0,0,0,0,0,,0,0,0
165,2020-03-23 15:07:45.759,253f115d-8fe4-4782-aae2-c247d6da2032,en,Are there still flights within Canada,en,0,0,0,0,0,0,0,0,,0,0,0
167,2020-03-22 13:27:59.007,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,Is there a vaccine for corona virus,en,0,0,0,0,0,0,0,0,,0,0,0
176,2020-03-23 04:52:23.213,40af037e-f13f-4db3-85cc-3985a144d597,en,I have fever what I should do,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
177,2020-03-21 21:37:13.343,3b9bc929-27fa-40df-ae67-e24ad9a547b6,en,Does a throat feel itchy or really sore and a symptom,en,1,0,0,0,0,0,0,1,symptom,0,0,0
179,2020-03-23 09:19:32.029,5e6eb356-0de6-4e9b-888c-978692b94fb0,en,Precautions to measure,en,0,0,0,0,0,0,0,0,,0,0,0
186,2020-03-23 17:00:34.706,eb2e1204-e195-4149-acd8-f717654e9c22,en,How many confirmed cases in Ontario now,en,0,0,1,0,0,0,0,1,cases,0,0,0
187,2020-03-22 09:50:59.627,4508c214-cc94-4d85-9e93-ac1c77bac593,en,If I m sneezing should I get tested for corona virus,en,0,0,0,0,0,0,1,1,test,0,0,0
188,2020-03-22 14:51:49.224,9943a63e-5fbb-4bfb-bcbf-a1ea626cddde,en,Are we going to have trouble buying milk,en,0,0,0,0,0,0,0,0,,0,0,0
189,2020-03-23 08:28:28.928,9db5e060-f3c1-418c-a30f-e67f18eb2ed9,en,What is Covid19,en,0,1,0,0,0,0,0,1,about,0,0,0
190,2020-03-22 14:26:11.921,5676ef6b-e1c8-4abd-b50e-55644265685f,en,Is headache a symptom of this pandemic,en,1,0,0,0,0,0,0,1,symptom,0,0,0
194,2020-03-22 12:07:12.342,59a2603a-03eb-4f8f-8422-6fc6eaedbce0,en,How much longer will society need to socially isolate,en,0,0,0,0,0,0,0,1,isolation,0,0,1
199,2020-03-22 15:40:23.555,dcc33a42-d9fc-4e7b-832e-406610f147a5,en,Is itchy throat sign of covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
201,2020-03-22 05:35:12.909,0767dfda-13f9-4f5b-a57d-7284913a7fb4,en,Where are the testing centers located in Mtl,en,0,0,0,0,0,0,1,1,test,0,0,0
202,2020-03-19 17:59:25.201,ce80a1dc-7cbd-4922-8b00-b491a17da62e,en,mental health,en,0,0,0,0,0,0,0,0,,0,0,0
206,2020-03-22 19:53:39.8,9410efa1-ed15-44ed-a9c9-314a8eaf641e,en,When will the treatment be available for this pandemic,en,0,0,0,0,0,0,0,0,,0,0,0
207,2020-03-22 13:27:59.058,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,which hospital takes the test for covid 19,en,0,0,0,0,0,0,1,1,test,0,0,0
211,2020-03-22 12:32:08.073,0f13b85e-8a94-43be-90df-10d7cee538d6,en,What is the current situation of COVID 19 infections,en,0,1,0,0,1,0,0,2,infection,0,0,0
213,2020-03-22 00:10:19.935,165dfaa6-84a9-4f0b-85ed-a217530bd003,en,How does it spread,en,0,0,0,0,0,0,0,0,,0,0,0
