,Unnamed: 0,question,ahc_label,rule_based,ahc_manual_clutser_label,cluster
0,169,Are research fundings going to be cut as a result of the virus,0.0,unclassified,,
1,439,Is it ok to go outside to get fresh air,0.0,unclassified,,
2,78,Should I star home and even avoid going to the supermarket and drugstore,0.0,unclassified,,
3,46,Are we going to have trouble buying milk,0.0,unclassified,,
4,38,Will Covid19 go away like the 1918 influenza and SARS did,0.0,unclassified,,
5,94,Where should I go,0.0,unclassified,,
6,60,when covid 19 is going to stop,0.0,unclassified,,
7,342,When should I go to the ER,0.0,unclassified,,
8,34,how is going,0.0,unclassified,,
9,64,Am I allowed to go for a walk,0.0,unclassified,,
10,228,When will it be ok to go outside,0.0,unclassified,,
11,621,how much fever should i tolerate before going to the doctor,0.0,unclassified,,
12,479,Is there more than one strain of COVID 19,1.0,unclassified,,
13,176,How does COVID 19 affect lungs And how do you see this pandemic will impact the world s economy,1.0,unclassified,,
14,73,Impact of covid,1.0,unclassified,,
15,173,age wise statistics for covid 19,1.0,unclassified,,
16,180,How can I differ between covid and normal flu,1.0,unclassified,,
17,133,Is it true that COVID 19 can survive up to a few days on hard surfaces,1.0,unclassified,,
18,255,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID 19,1.0,unclassified,,
19,92,How does COVID 19 kill its victims,1.0,unclassified,,
20,216,Is it safe to order food during the COVID 19 pandemic,1.0,unclassified,,
21,127,How about covid situations,1.0,unclassified,,
22,115,How can I make sure I am buying from grocery is safe from COVID 19,1.0,unclassified,,
23,329,How should I keep my family safe during covid 19,1.0,unclassified,,
24,292,My head hurts my body aches a little and I feel a cold coming How do I know if this is Covid 19 or just an ordinary cold,1.0,unclassified,,
25,392,Can you smoke cannabis during Covid,1.0,unclassified,,
26,389,Will the pandemic affect university research,1.0,unclassified,,
27,74,Will herd immunity be the only means of eradicating COVID 19,1.0,unclassified,,
28,490,Define covid 18,1.0,unclassified,,
29,483,Would using heated vapor humidifier help with sanitizing the sinuses of the covid 19,1.0,unclassified,,
30,600,What are the side effects of hydroxychloroquine for treating COVID 19,1.0,unclassified,,
31,495,How do i knew if i got covid,1.0,unclassified,,
32,500,Infomation about covid,1.0,unclassified,,
33,542,What places of laval has covid 19,1.0,unclassified,,
34,591,Should I be moving house during a pandemic,1.0,unclassified,,
35,50,Is itchy throat sign of covid 19,1.0,unclassified,,
36,545,It would possible to predict the time of this pandemic,1.0,unclassified,,
37,108,How to protect my family from COVID 19,2.0,unclassified,protection/precaution,protection/precaution
38,663,What can we do to protect ourselves from COVID 19,2.0,unclassified,protection/precaution,protection/precaution
