,question,ahc_label,cluster
133,Does Wearing gloves help,0.0,unclassified
308,Should I wear mask,0.0,unclassified
310,Why does the government think that we don t need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks regardless if they are sick or not,0.0,unclassified
307,Is it useful to wear a mask if we are not sick,0.0,unclassified
311,Does a mask actually help if I m not sick,0.0,unclassified
309,Do I need a mask,0.0,unclassified
93,When this virus terminated,1.0,unclassified
111,What is the difference between a bacteria and a virus,1.0,unclassified
110,how can one fight the virus,1.0,unclassified
109,Can this virus infect me in an airborne fashion,1.0,unclassified
105,How contagious is the virus,1.0,unclassified
303,How often should i take my temperature,1.0,unclassified
104,Does temperature has any effect on the virus,1.0,unclassified
103,How severe is the virus,1.0,unclassified
101,Is the virus airborne,1.0,unclassified
245,What are effective immunity boosters,1.0,unclassified
148,Will it get better in summer with higher temperatures,1.0,unclassified
99,Will the virus affect my sexual ability,1.0,unclassified
84,How long does the virus remain active and alive after attacking a human body,1.0,unclassified
97,Has the virus evolved,1.0,unclassified
298,If you recover from the virus can you still be a carrier,1.0,unclassified
90,If I cross someone on the street how are the chance to catch the virus,1.0,unclassified
102,how painful will it be if I got the virus,1.0,unclassified
112,Do we see a future where this virus won t be such a threat anymore,1.0,unclassified
261,What should you do if you dont have water and soap and sanitizer,2.0,unclassified
199,Is ordering food from a restaurant discouraged,2.0,unclassified
201,Should I visit my parents in a seniors home,2.0,unclassified
202,when will germany reach the peak,2.0,unclassified
207,What s the capital of Palestine,2.0,unclassified
197,I recently relocated to Quebec Can I request RAMQ card with visiting the RAMQ office,2.0,unclassified
180,What s happen for country near the Ecuador with a lot of hot,2.0,unclassified
181,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery We have Sobey s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way,2.0,unclassified
182,As of today can we gather only 2,2.0,unclassified
183,im sneezing should i be worried,2.0,unclassified
265,When will we be back to work,2.0,unclassified
264,In this time of crisis is it okay to feed the raccoons,2.0,unclassified
186,Chlono,2.0,unclassified
203,Is it transmissible through anal sex,2.0,unclassified
187,What should I do,2.0,unclassified
189,Can I fo,2.0,unclassified
190,What is your name,2.0,unclassified
191,Where can we find ventilator,2.0,unclassified
192,South korea,2.0,unclassified
193,is it made by human or by nature,2.0,unclassified
194,What is,2.0,unclassified
263,how are you,2.0,unclassified
188,When will the schools reopen,2.0,unclassified
198,hat should I do if my 2 year old child starts having a runny nose,2.0,unclassified
205,what has caused it,2.0,unclassified
178,Why didn t you answer my first question,2.0,unclassified
231,What is the mortality rate,2.0,unclassified
232,What s the point of asking you questions if you don t have answers,2.0,unclassified
233,How much it s prevelent in Pakistan,2.0,unclassified
234,How are you,2.0,unclassified
235,what is self monitoring,2.0,unclassified
236,how to prevent,2.0,unclassified
237,why is my dick so big,2.0,unclassified
238,Hypertension,2.0,unclassified
239,How s the shortness of breath,2.0,unclassified
244,When should I contact a doctor,2.0,unclassified
246,how old are you,2.0,unclassified
247,What is the advice surrounding outdoor exercise sport,2.0,unclassified
257,Non,2.0,unclassified
249,When do I expect to hear back from you,2.0,unclassified
250,My father is 80 years and food is delivered to him daily Can food containers and food itself be contaminated by COVID,2.0,unclassified
251,Should I not touch my mail,2.0,unclassified
252,Option to run the questions for children,2.0,unclassified
253,who can you do,2.0,unclassified
254,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,2.0,unclassified
230,What is it,2.0,unclassified
260,How to avoid exposure,2.0,unclassified
258,good morning,2.0,unclassified
227,When should I visit a doctor,2.0,unclassified
206,Can I still see my friends,2.0,unclassified
208,If this is really deep learning how deep is your model,2.0,unclassified
209,Will there be any changes in PGWP,2.0,unclassified
210,Are there still flights within Canada,2.0,unclassified
211,Sorry I het enter before I was done am I just being paranoid and giving myself an ulcer my husband has pulmonary fibrosis so I m really worried about him,2.0,unclassified
212,My son is flying from Kansas to England on the 30th April He is flying into Heathrow and then travelling home to Manchester by train,2.0,unclassified
213,How are you,2.0,unclassified
214,Does washing clothes in the washing machine prevent transmission,2.0,unclassified
215,Mortality rate today,2.0,unclassified
216,what is canada quarantine policy,2.0,unclassified
259,WHat is your name,2.0,unclassified
219,What the size,2.0,unclassified
220,I worry for my mental health during quarantine,2.0,unclassified
221,Precautions to measure,2.0,unclassified
222,mental health,2.0,unclassified
223,Suffering from trout echiting,2.0,unclassified
224,what is this site,2.0,unclassified
225,Have there been any deceased children so far,2.0,unclassified
226,What should i do if i am short of breath,2.0,unclassified
228,When will the municipalities post heat maps to identify hot spots for Covid positive residents,2.0,unclassified
266,Is ACE Inhibitor harmful,2.0,unclassified
256,could we have done better,2.0,unclassified
322,How many will lose their jobs due to the chinese virus,2.0,unclassified
314,Do we have this epidemic and many more to come because we re not taking care of the earth we re destroying more and more trees and humans are eating more wild animals that have viruses per a talk from Alanna Shaikh,2.0,unclassified
317,How do we best organize people so that duplicate work is not being done,2.0,unclassified
136,Should I use Sudafed,2.0,unclassified
318,Will people on LTD Long Term Disability drill receive their payments,2.0,unclassified
137,Do you think Taiwan is good,2.0,unclassified
319,how to interact with people,2.0,unclassified
139,Do I need to be seen by a doctor,2.0,unclassified
76,Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide instead of scrambling or ordering these last minute and also have enough hospitals built because if we don t do that we ll have to do what China did and build a hospital at the last minute,2.0,unclassified
321,what are the conditions under which people are most likely to develop complications versus those who won t,2.0,unclassified
144,Do I need to wash my vegetables and fruits,2.0,unclassified
312,what is this rainbow thing that people are talking about,2.0,unclassified
36,It would possible to predict the time of this pandemic,2.0,unclassified
34,Should I be moving house during a pandemic,2.0,unclassified
26,Will the pandemic affect university research,2.0,unclassified
255,When will be done,2.0,unclassified
296,where did it start,2.0,unclassified
268,Why is Trudeau asleep,2.0,unclassified
313,How many thing you do not understand,2.0,unclassified
240,Could stores open a few hours a week for the elderly,3.0,unclassified
241,Is it safe to jog run outside,3.0,unclassified
242,Are vet clinics still open,3.0,unclassified
243,Is it safe to give blood,3.0,unclassified
217,is the liquor store open,3.0,unclassified
151,Do I need to disinfect things I buy like groceries and supplies,3.0,unclassified
196,Will 1 meter distancing safe,3.0,unclassified
150,Will the groceries shut down,3.0,unclassified
138,is the grocery open,3.0,unclassified
140,What should I use to disinfect grocery bags and grocery items,3.0,unclassified
149,What have you implemented to help older people who do not know how to use the internet phone to obtain their groceries and medicine,3.0,unclassified
146,Are there any federal or provincial services to help senior citizens get grocery safely,3.0,unclassified
337,Corona virus characteristics,4.0,unclassified
332,how to know that somebody have a corona,4.0,unclassified
333,Does the fever persists in corona,4.0,unclassified
155,how much does corona virus stay on each kind of surfaces,4.0,unclassified
334,is there a new form of corona virus,4.0,unclassified
335,What the different between corona and COVID_19,4.0,unclassified
